col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Allyson Y Schwartz,,,1,0,5,3,4,5,3,3,2,2,2,2,0,1
Katie Mcginty,,,,0,0,1,1,0,0,0,0,0,0,0,0,1
Edward M Lloyd Jr,,,,,0,11,11,11,10,10,10,8,8,6,0,1
Latrice Y Bryant,,,,,,0,8,7,8,9,7,7,6,4,0,1
Gwen Collins,,,,,,,0,9,8,8,8,7,7,5,0,1
Humberto Perez,,,,,,,,0,9,8,9,8,7,5,0,1
David Rodriguez,,,,,,,,,0,9,9,9,8,6,0,1
Barbara Carroll,,,,,,,,,,0,8,8,8,6,0,1
Louis Agre,,,,,,,,,,,0,8,7,5,0,1
Karen Voss,,,,,,,,,,,,0,7,5,0,1
Elaine Tomlin,,,,,,,,,,,,,0,6,0,1
Ruth I Birchett,,,,,,,,,,,,,,0,0,1
Dawn Thomas,,,,,,,,,,,,,,,1,1
Total,46,14,10,2,29,23,15,14,13,12,12,10,8,7,1,1
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,2
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Edward M Lloyd Jr,Gwen Collins,David Rodriguez,Barbara Carroll,Elaine Tomlin,Ruth I Birchett,Humberto Perez,Karen Voss,Louis Agre,Dawn Thomas,2
Tom Wolf,23,0,0,0,19,8,5,8,4,5,4,4,3,3,2,2
Robert M Mccord,,5,0,0,12,7,8,5,7,6,4,2,5,4,0,2
Allyson Y Schwartz,,,6,0,7,6,9,6,7,6,7,10,7,7,0,2
Katie Mcginty,,,,2,1,2,1,2,0,1,2,1,1,1,0,2
Latrice Y Bryant,,,,,0,14,15,13,15,16,12,13,13,12,1,2
Edward M Lloyd Jr,,,,,,0,11,13,12,11,13,11,12,11,1,2
Gwen Collins,,,,,,,0,10,15,14,11,12,13,13,1,2
David Rodriguez,,,,,,,,0,11,11,12,11,11,12,1,2
Barbara Carroll,,,,,,,,,0,14,13,12,13,12,1,2
Elaine Tomlin,,,,,,,,,,0,13,10,12,12,0,2
Ruth I Birchett,,,,,,,,,,,1,12,13,12,1,2
