col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,All
,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,All
W Curtis Thomas,38,0,0,0,370,208,154,8,All
K Williams Medley,,1,0,0,79,8,18,2,All
Emily Rodriguez,,,6,0,24,37,15,6,All
Kenneth T Walker Jr,,,,5,31,35,5,5,All
Tom Wolf,,,,,53,0,0,0,All
Allyson Y Schwartz,,,,,,22,0,0,All
Robert M Mccord,,,,,,,15,0,All
Katie Mcginty,,,,,,,,2,All
Total,778,108,88,81,557,310,207,23,All
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,1
,W Curtis Thomas,Emily Rodriguez,Kenneth T Walker Jr,K Williams Medley,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,1
W Curtis Thomas,4,0,0,0,28,12,14,1,1
Emily Rodriguez,,1,0,0,4,9,8,0,1
Kenneth T Walker Jr,,,0,0,0,8,1,0,1
K Williams Medley,,,,0,3,1,1,0,1
Tom Wolf,,,,,8,0,0,0,1
Allyson Y Schwartz,,,,,,3,0,0,1
Robert M Mccord,,,,,,,3,0,1
Katie Mcginty,,,,,,,,0,1
Total,59,22,9,5,43,33,27,1,1
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,2
,W Curtis Thomas,K Williams Medley,Kenneth T Walker Jr,Emily Rodriguez,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,2
W Curtis Thomas,2,0,0,0,48,31,21,1,2
K Williams Medley,,0,0,0,11,1,3,0,2
Kenneth T Walker Jr,,,0,0,4,2,0,0,2
Emily Rodriguez,,,,0,0,1,1,0,2
Tom Wolf,,,,,6,0,0,0,2
Allyson Y Schwartz,,,,,,3,0,0,2
Robert M Mccord,,,,,,,1,0,2
Katie Mcginty,,,,,,,,0,2
Total,103,15,6,2,69,38,26,1,2
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,3
,W Curtis Thomas,Kenneth T Walker Jr,Emily Rodriguez,K Williams Medley,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,3
W Curtis Thomas,3,0,0,0,54,29,23,2,3
Kenneth T Walker Jr,,0,0,0,5,2,0,0,3
Emily Rodriguez,,,1,0,2,1,2,0,3
K Williams Medley,,,,0,4,1,0,0,3
Tom Wolf,,,,,5,0,0,0,3
Allyson Y Schwartz,,,,,,0,0,0,3
Robert M Mccord,,,,,,,1,0,3
Katie Mcginty,,,,,,,,1,3
Total,111,7,6,5,70,33,26,3,3
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,4
,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,4
W Curtis Thomas,7,0,0,0,77,32,22,1,4
K Williams Medley,,0,0,0,19,2,3,0,4
Emily Rodriguez,,,1,0,4,6,0,4,4
Kenneth T Walker Jr,,,,0,4,5,0,0,4
Tom Wolf,,,,,8,0,0,0,4
Allyson Y Schwartz,,,,,,7,0,0,4
Robert M Mccord,,,,,,,1,0,4
Katie Mcginty,,,,,,,,0,4
Total,139,24,15,9,112,52,26,5,4
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,5
,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,5
W Curtis Thomas,4,0,0,0,30,22,9,2,5
K Williams Medley,,0,0,0,5,1,1,0,5
Emily Rodriguez,,,0,0,0,2,1,0,5
Kenneth T Walker Jr,,,,0,0,0,0,0,5
Tom Wolf,,,,,5,0,0,0,5
Allyson Y Schwartz,,,,,,1,0,0,5
Robert M Mccord,,,,,,,0,0,5
Katie Mcginty,,,,,,,,0,5
Total,67,7,3,0,40,26,11,2,5
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,6
,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,6
W Curtis Thomas,8,0,0,0,19,9,7,0,6
K Williams Medley,,0,0,0,4,1,0,0,6
Emily Rodriguez,,,0,0,1,1,1,0,6
Kenneth T Walker Jr,,,,0,0,0,3,0,6
Tom Wolf,,,,,6,0,0,0,6
Robert M Mccord,,,,,,3,0,0,6
Allyson Y Schwartz,,,,,,,2,0,6
Katie Mcginty,,,,,,,,0,6
Total,43,5,3,3,30,14,13,0,6
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,7
,W Curtis Thomas,Kenneth T Walker Jr,Emily Rodriguez,K Williams Medley,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,7
W Curtis Thomas,0,0,0,0,18,13,5,0,7
Kenneth T Walker Jr,,1,0,0,3,2,1,0,7
Emily Rodriguez,,,0,0,2,3,0,0,7
K Williams Medley,,,,0,4,0,0,0,7
Tom Wolf,,,,,2,0,0,0,7
Allyson Y Schwartz,,,,,,1,0,0,7
Robert M Mccord,,,,,,,0,0,7
Katie Mcginty,,,,,,,,0,7
Total,36,7,5,4,29,19,6,0,7
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,8
,W Curtis Thomas,Kenneth T Walker Jr,Emily Rodriguez,K Williams Medley,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,8
W Curtis Thomas,0,0,0,0,5,3,2,0,8
Kenneth T Walker Jr,,1,0,0,1,3,0,0,8
Emily Rodriguez,,,0,0,2,0,0,0,8
K Williams Medley,,,,0,0,0,0,0,8
Tom Wolf,,,,,1,0,0,0,8
Allyson Y Schwartz,,,,,,2,0,0,8
Robert M Mccord,,,,,,,0,0,8
Katie Mcginty,,,,,,,,0,8
Total,10,5,2,0,9,8,2,0,8
,Representative In The General Assembly 181st District - Democrat,,,,Governor - Democrat,,,,9
