col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,All
,Louise Bishop,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,All
Louise Bishop,546,"3,461",245,172,115,76,All
Mike Stack,,260,0,0,0,0,All
Mark Smith,,,28,0,0,0,All
Brandon P Neuman,,,,62,0,0,All
Mark Critz,,,,,17,0,All
Brad Koplinski,,,,,,26,All
Total,"4,615","3,721",273,234,132,102,All
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,1
,Louise Bishop,Mike Stack,Brandon P Neuman,Mark Critz,Mark Smith,Brad Koplinski,1
Louise Bishop,12,50,2,3,3,1,1
Mike Stack,,3,0,0,0,0,1
Brandon P Neuman,,,1,0,0,0,1
Mark Critz,,,,0,0,0,1
Mark Smith,,,,,0,0,1
Brad Koplinski,,,,,,0,1
Total,71,53,3,3,3,1,1
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,2
,Louise Bishop,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,2
Louise Bishop,17,74,5,2,1,0,2
Mike Stack,,8,0,0,0,0,2
Mark Smith,,,0,0,0,0,2
Mark Critz,,,,0,0,0,2
Brad Koplinski,,,,,0,0,2
Brandon P Neuman,,,,,,1,2
Total,99,82,5,2,1,1,2
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,3
,Louise Bishop,Mike Stack,Brandon P Neuman,Brad Koplinski,Mark Critz,Mark Smith,3
Louise Bishop,7,69,2,3,2,2,3
Mike Stack,,4,0,0,0,0,3
Brandon P Neuman,,,3,0,0,0,3
Brad Koplinski,,,,1,0,0,3
Mark Critz,,,,,0,0,3
Mark Smith,,,,,,0,3
Total,85,73,5,4,2,2,3
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,4
,Louise Bishop,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,4
Louise Bishop,13,63,2,0,0,0,4
Mike Stack,,2,0,0,0,0,4
Mark Smith,,,1,0,0,0,4
Brad Koplinski,,,,0,0,0,4
Brandon P Neuman,,,,,0,0,4
Mark Critz,,,,,,0,4
Total,78,65,3,0,0,0,4
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,5
,Louise Bishop,Mike Stack,Mark Critz,Brandon P Neuman,Mark Smith,Brad Koplinski,5
Louise Bishop,9,60,4,1,2,0,5
Mike Stack,,5,0,0,0,0,5
Mark Critz,,,1,0,0,0,5
Brandon P Neuman,,,,1,0,0,5
Mark Smith,,,,,0,0,5
Brad Koplinski,,,,,,0,5
Total,76,65,5,2,2,0,5
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,6
,Louise Bishop,Mike Stack,Brandon P Neuman,Mark Smith,Mark Critz,Brad Koplinski,6
Louise Bishop,14,81,7,8,4,0,6
Mike Stack,,7,0,0,0,0,6
Brandon P Neuman,,,2,0,0,0,6
Mark Smith,,,,0,0,0,6
Mark Critz,,,,,1,0,6
Brad Koplinski,,,,,,0,6
Total,114,88,9,8,5,0,6
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,7
,Louise Bishop,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,7
Louise Bishop,21,87,6,3,2,2,7
Mike Stack,,6,0,0,0,0,7
Mark Smith,,,2,0,0,0,7
Brandon P Neuman,,,,2,0,0,7
Brad Koplinski,,,,,0,0,7
Mark Critz,,,,,,0,7
Total,121,93,8,5,2,2,7
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,8
,Louise Bishop,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,8
Louise Bishop,21,120,10,6,5,0,8
Mike Stack,,4,0,0,0,0,8
Mark Smith,,,0,0,0,0,8
Brandon P Neuman,,,,1,0,0,8
Mark Critz,,,,,0,0,8
Brad Koplinski,,,,,,0,8
Total,162,124,10,7,5,0,8
,Representative In The General Assembly 192nd District - Democrat,Lieutenant Governor - Democrat,,,,,9
