col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 203rd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Dwight Evans,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Dwight Evans,470,"1,265",955,868,839,789,735,632,578,485,472,17,All
Latrice Y Bryant,,19,793,728,689,612,599,528,479,416,395,9,All
Gwen Collins,,,8,759,724,532,534,569,496,432,416,4,All
Barbara Carroll,,,,5,701,509,488,517,459,404,410,3,All
Elaine Tomlin,,,,,5,483,479,502,445,382,398,7,All
David Rodriguez,,,,,,12,577,497,497,412,376,9,All
Edward M Lloyd Jr,,,,,,,3,489,457,404,367,9,All
Karen Voss,,,,,,,,5,471,426,401,4,All
Humberto Perez,,,,,,,,,5,402,332,5,All
Louis Agre,,,,,,,,,,7,285,6,All
Ruth I Birchett,,,,,,,,,,,0,1,All
Dawn Thomas,,,,,,,,,,,,0,All
Total,"2,287","1,324","1,025",916,887,832,762,677,624,527,499,18,All
