col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Domenick demuro,Marylouise Isaacson,Nekisha Fulton,Albert C Littlepage,Michelle L Rumbaugh,Thomas J Rumbaugh,All
W Curtis Thomas,124,0,0,0,578,249,215,169,129,118,114,105,86,All
K Williams Medley,,11,0,0,56,40,56,11,18,14,13,9,10,All
Emily Rodriguez,,,16,0,42,24,33,28,37,25,23,26,13,All
Kenneth T Walker Jr,,,,15,42,29,26,27,29,23,22,19,14,All
Darrell L Clarke,,,,,19,288,273,205,168,156,150,139,109,All
Matthew D Myers,,,,,,3,264,192,148,138,136,122,98,All
Micah Mahjoubian,,,,,,,2,176,137,132,130,115,89,All
Domenick demuro,,,,,,,,1,135,125,132,108,95,All
Marylouise Isaacson,,,,,,,,,0,145,141,134,101,All
Nekisha Fulton,,,,,,,,,,0,132,130,96,All
Albert C Littlepage,,,,,,,,,,,4,113,97,All
Michelle L Rumbaugh,,,,,,,,,,,,0,89,All
Thomas J Rumbaugh,,,,,,,,,,,,,0,All
Total,778,108,88,81,747,354,341,242,213,181,178,159,123,All
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,1
,W Curtis Thomas,Emily Rodriguez,Kenneth T Walker Jr,K Williams Medley,Darrell L Clarke,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Nekisha Fulton,Domenick demuro,Michelle L Rumbaugh,Albert C Littlepage,Thomas J Rumbaugh,1
W Curtis Thomas,13,0,0,0,41,16,14,16,12,11,10,10,11,1
Emily Rodriguez,,5,0,0,10,12,7,7,8,7,8,6,3,1
Kenneth T Walker Jr,,,1,0,3,4,4,3,6,4,5,6,3,1
K Williams Medley,,,,0,1,2,3,2,2,2,1,1,0,1
Darrell L Clarke,,,,,1,26,20,23,22,19,19,19,13,1
Marylouise Isaacson,,,,,,0,20,20,23,18,22,20,14,1
Matthew D Myers,,,,,,,1,19,19,19,16,18,13,1
Micah Mahjoubian,,,,,,,,1,18,17,15,18,11,1
Nekisha Fulton,,,,,,,,,0,18,18,20,13,1
Domenick demuro,,,,,,,,,,0,14,19,12,1
Michelle L Rumbaugh,,,,,,,,,,,0,15,12,1
Albert C Littlepage,,,,,,,,,,,,0,13,1
Thomas J Rumbaugh,,,,,,,,,,,,,0,1
Total,59,22,9,5,56,34,29,29,28,24,24,23,17,1
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,2
,W Curtis Thomas,K Williams Medley,Kenneth T Walker Jr,Emily Rodriguez,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Domenick demuro,Marylouise Isaacson,Nekisha Fulton,Albert C Littlepage,Michelle L Rumbaugh,Thomas J Rumbaugh,2
W Curtis Thomas,13,0,0,0,80,44,35,37,22,23,24,20,17,2
K Williams Medley,,0,0,0,11,7,11,5,5,5,5,2,3,2
Kenneth T Walker Jr,,,2,0,3,1,1,2,3,1,0,1,1,2
Emily Rodriguez,,,,0,1,1,2,1,2,2,1,2,2,2
Darrell L Clarke,,,,,3,50,43,41,28,29,28,23,21,2
Matthew D Myers,,,,,,1,41,37,25,27,27,21,19,2
Micah Mahjoubian,,,,,,,0,31,21,23,22,18,16,2
Domenick demuro,,,,,,,,1,26,28,28,22,20,2
Marylouise Isaacson,,,,,,,,,0,26,26,21,19,2
Nekisha Fulton,,,,,,,,,,0,27,24,22,2
Albert C Littlepage,,,,,,,,,,,0,22,20,2
Michelle L Rumbaugh,,,,,,,,,,,,0,18,2
Thomas J Rumbaugh,,,,,,,,,,,,,0,2
Total,103,15,6,2,99,55,50,47,32,31,30,25,23,2
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,3
,W Curtis Thomas,Kenneth T Walker Jr,Emily Rodriguez,K Williams Medley,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Domenick demuro,Albert C Littlepage,Marylouise Isaacson,Nekisha Fulton,Michelle L Rumbaugh,Thomas J Rumbaugh,3
W Curtis Thomas,9,0,0,0,92,46,40,38,22,20,23,17,15,3
Kenneth T Walker Jr,,2,0,0,4,2,1,2,3,2,2,1,2,3
Emily Rodriguez,,,3,0,1,1,0,0,0,2,0,1,0,3
K Williams Medley,,,,0,3,1,0,0,0,2,1,1,0,3
Darrell L Clarke,,,,,1,46,36,39,23,23,22,18,16,3
Matthew D Myers,,,,,,1,37,36,21,19,20,16,14,3
Micah Mahjoubian,,,,,,,1,29,18,17,17,14,12,3
Domenick demuro,,,,,,,,0,21,20,19,15,16,3
Albert C Littlepage,,,,,,,,,1,20,20,15,15,3
Marylouise Isaacson,,,,,,,,,,0,18,16,14,3
Nekisha Fulton,,,,,,,,,,,0,17,13,3
Michelle L Rumbaugh,,,,,,,,,,,,0,11,3
Thomas J Rumbaugh,,,,,,,,,,,,,0,3
Total,111,7,6,5,103,53,43,41,26,26,26,20,17,3
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,,,4
,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Domenick demuro,Marylouise Isaacson,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,4
Darrell L Clarke,4,51,48,26,21,23,21,14,12,104,14,9,6,4
Matthew D Myers,,0,47,23,20,19,16,11,12,43,7,5,4,4
Micah Mahjoubian,,,0,23,18,17,16,12,10,32,5,8,4,4
Domenick demuro,,,,0,15,15,13,10,9,19,0,5,4,4
Marylouise Isaacson,,,,,0,20,17,11,11,17,0,5,4,4
Michelle L Rumbaugh,,,,,,0,18,12,12,17,0,5,3,4
Nekisha Fulton,,,,,,,0,11,10,16,0,5,4,4
