col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 8th Senatorial District,,,,,All
,Mike Stack,Brad Koplinski,Mark Smith,Mark Critz,Brandon P Neuman,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,All
Mike Stack,648,0,0,0,0,"1,166",973,866,784,728,All
Brad Koplinski,,82,0,0,0,102,80,76,80,72,All
Mark Smith,,,29,0,0,95,76,72,59,52,All
Mark Critz,,,,25,0,54,39,35,24,25,All
Brandon P Neuman,,,,,12,38,37,34,35,33,All
Alishea Jackson,,,,,,42,"1,007",986,894,859,All
Rasheen Crews,,,,,,,11,965,848,833,All
Kevin C Hannah,,,,,,,,9,848,834,All
Vernon D Brown,,,,,,,,,18,842,All
James Tyson,,,,,,,,,,3,All
Total,"2,196",204,156,98,71,"1,540","1,256","1,131","1,032",944,All
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 8th Senatorial District,,,,,1
,Mike Stack,Brad Koplinski,Mark Smith,Brandon P Neuman,Mark Critz,Alishea Jackson,Kevin C Hannah,Rasheen Crews,James Tyson,Vernon D Brown,1
Mike Stack,34,0,0,0,0,63,54,52,50,49,1
Brad Koplinski,,10,0,0,0,5,2,4,2,3,1
Mark Smith,,,2,0,0,11,6,6,5,6,1
Brandon P Neuman,,,,1,0,5,5,4,5,4,1
Mark Critz,,,,,1,1,2,2,1,1,1
Alishea Jackson,,,,,,0,61,62,61,60,1
Kevin C Hannah,,,,,,,0,61,58,57,1
Rasheen Crews,,,,,,,,1,58,58,1
James Tyson,,,,,,,,,0,58,1
Vernon D Brown,,,,,,,,,,0,1
Total,117,16,14,8,3,88,72,72,65,65,1
,Member Of - Democratic State Committee 8th Senatorial District,,,,,Lieutenant Governor - Democrat,,,,,2
,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Critz,Mark Smith,2
Alishea Jackson,2,55,54,53,48,51,11,5,5,3,2
Rasheen Crews,,0,50,47,45,40,10,5,2,3,2
Kevin C Hannah,,,0,47,47,38,9,4,2,2,2
Vernon D Brown,,,,1,46,37,9,3,2,1,2
James Tyson,,,,,0,33,8,3,1,1,2
Mike Stack,,,,,,16,0,0,0,0,2
Brad Koplinski,,,,,,,4,0,0,0,2
Brandon P Neuman,,,,,,,,1,0,0,2
Mark Critz,,,,,,,,,2,0,2
Mark Smith,,,,,,,,,,1,2
Total,80,63,58,56,49,77,15,7,7,5,2
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 8th Senatorial District,,,,,3
,Mike Stack,Mark Smith,Brad Koplinski,Mark Critz,Brandon P Neuman,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,3
Mike Stack,26,0,0,0,0,53,49,41,36,30,3
Mark Smith,,1,0,0,0,9,9,9,8,7,3
Brad Koplinski,,,0,0,0,5,5,5,5,5,3
Mark Critz,,,,1,0,2,1,1,1,1,3
Brandon P Neuman,,,,,0,0,1,0,0,0,3
Alishea Jackson,,,,,,5,52,52,47,43,3
Rasheen Crews,,,,,,,0,50,45,42,3
Kevin C Hannah,,,,,,,,0,47,42,3
Vernon D Brown,,,,,,,,,0,42,3
James Tyson,,,,,,,,,,1,3
Total,101,13,5,3,1,76,67,58,52,46,3
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 8th Senatorial District,,,,,4
,Mike Stack,Brad Koplinski,Mark Smith,Mark Critz,Brandon P Neuman,Alishea Jackson,Rasheen Crews,Vernon D Brown,Kevin C Hannah,James Tyson,4
Mike Stack,14,0,0,0,0,34,22,18,16,16,4
Brad Koplinski,,2,0,0,0,6,4,5,4,4,4
Mark Smith,,,2,0,0,2,2,1,2,1,4
Mark Critz,,,,0,0,2,1,1,1,1,4
