col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,1
,Kathy Enggasser,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Louis Farinella,Jacqulyne Scott,Larry King,1
Kathy Enggasser,7,11,11,8,8,1,0,1
Barbara A Deeley,,3,13,7,8,1,0,1
Patrick Parkinson,,,2,7,9,1,0,1
Mary Ann Quartullo,,,,3,7,1,0,1
Louis Farinella,,,,,1,1,0,1
Jacqulyne Scott,,,,,,0,0,1
Larry King,,,,,,,0,1
Total,19,17,16,11,10,1,0,1
,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,2
,Kathy Enggasser,Louis Farinella,Patrick Parkinson,Barbara A Deeley,Mary Ann Quartullo,Jacqulyne Scott,Larry King,2
Kathy Enggasser,7,7,6,5,6,0,0,2
Louis Farinella,,2,7,7,6,0,0,2
Patrick Parkinson,,,2,7,5,0,0,2
Barbara A Deeley,,,,0,6,0,0,2
Mary Ann Quartullo,,,,,1,0,0,2
Jacqulyne Scott,,,,,,0,0,2
Larry King,,,,,,,0,2
Total,14,11,10,9,8,0,0,2
,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,3
,Kathy Enggasser,Patrick Parkinson,Barbara A Deeley,Mary Ann Quartullo,Louis Farinella,Jacqulyne Scott,Larry King,3
Kathy Enggasser,25,24,23,24,20,0,0,3
Patrick Parkinson,,5,25,25,24,0,0,3
Barbara A Deeley,,,7,22,22,0,0,3
Mary Ann Quartullo,,,,1,23,0,0,3
Louis Farinella,,,,,3,0,0,3
Jacqulyne Scott,,,,,,0,0,3
Larry King,,,,,,,0,3
Total,51,34,33,29,28,0,0,3
,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,4
,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Larry King,Jacqulyne Scott,4
Kathy Enggasser,11,21,23,22,22,2,0,4
Louis Farinella,,10,20,21,20,2,0,4
Barbara A Deeley,,,5,23,21,2,0,4
Patrick Parkinson,,,,5,21,2,0,4
Mary Ann Quartullo,,,,,1,2,0,4
Larry King,,,,,,0,0,4
Jacqulyne Scott,,,,,,,0,4
