col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Chaka Fattah,"6,667","9,072","6,299","5,912","5,575","5,356","4,840","3,887","3,536","3,340","3,008",149,All
Latrice Y Bryant,,672,"5,907","5,721","5,424","4,666","4,521","3,719","3,299","3,019","2,809",76,All
Gwen Collins,,,198,"5,855","5,518","3,762","3,620","4,022","3,473","3,230","2,965",64,All
Barbara Carroll,,,,95,"5,635","3,622","3,394","3,671","3,241","2,955","2,947",53,All
Elaine Tomlin,,,,,89,"3,459","3,279","3,527","3,101","2,864","2,835",55,All
David Rodriguez,,,,,,337,"4,385","3,566","3,532","3,100","2,662",92,All
Edward M Lloyd Jr,,,,,,,155,"3,375","3,131","2,933","2,516",91,All
Karen Voss,,,,,,,,60,"3,354","3,190","2,809",42,All
Humberto Perez,,,,,,,,,84,"2,997","2,356",43,All
Louis Agre,,,,,,,,,,202,"2,173",39,All
Ruth I Birchett,,,,,,,,,,,50,29,All
Dawn Thomas,,,,,,,,,,,,18,All
Total,"20,018","11,226","7,886","7,300","6,871","6,770","5,991","4,927","4,526","4,340","3,746",198,All
