col_1,col_2,division
,Representative In Congress 2nd District - Republican,All
,Armond James,All
Armond James,52,All
Total,52,All
,Representative In Congress 2nd District - Republican,1
,Armond James,1
Armond James,6,1
Total,6,1
,Representative In Congress 2nd District - Republican,2
,Armond James,2
Armond James,5,2
Total,5,2
,Representative In Congress 2nd District - Republican,3
,Armond James,3
Armond James,1,3
Total,1,3
,Representative In Congress 2nd District - Republican,4
,Armond James,4
Armond James,2,4
Total,2,4
,Representative In Congress 2nd District - Republican,6
,Armond James,6
Armond James,4,6
Total,4,6
,Representative In Congress 2nd District - Republican,7
,Armond James,7
Armond James,6,7
Total,6,7
,Representative In Congress 2nd District - Republican,8
,Armond James,8
Armond James,2,8
Total,2,8
,Representative In Congress 2nd District - Republican,9
,Armond James,9
Armond James,2,9
Total,2,9
,Representative In Congress 2nd District - Republican,10
,Armond James,10
Armond James,2,10
Total,2,10
,Representative In Congress 2nd District - Republican,11
,Armond James,11
Armond James,4,11
Total,4,11
,Representative In Congress 2nd District - Republican,12
,Armond James,12
Armond James,1,12
Total,1,12
,Representative In Congress 2nd District - Republican,13
,Armond James,13
Armond James,1,13
Total,1,13
,Representative In Congress 2nd District - Republican,14
,Armond James,14
Armond James,1,14
Total,1,14
,Representative In Congress 2nd District - Republican,15
,Armond James,15
Armond James,2,15
Total,2,15
,Representative In Congress 2nd District - Republican,16
,Armond James,16
Armond James,6,16
Total,6,16
,Representative In Congress 2nd District - Republican,17
,Armond James,17
Armond James,7,17
Total,7,17
