col_1,col_2,division
,Lieutenant Governor - Republican,1
,Jim Cawley,1
Jim Cawley,3,1
Total,3,1
,Lieutenant Governor - Republican,2
,Jim Cawley,2
Jim Cawley,1,2
Total,1,2
,Lieutenant Governor - Republican,3
,Jim Cawley,3
Jim Cawley,3,3
Total,3,3
,Lieutenant Governor - Republican,4
,Jim Cawley,4
Jim Cawley,4,4
Total,4,4
,Lieutenant Governor - Republican,5
,Jim Cawley,5
Jim Cawley,2,5
Total,2,5
,Lieutenant Governor - Republican,7
,Jim Cawley,7
Jim Cawley,6,7
Total,6,7
,Lieutenant Governor - Republican,8
,Jim Cawley,8
Jim Cawley,2,8
Total,2,8
,Lieutenant Governor - Republican,9
,Jim Cawley,9
Jim Cawley,1,9
Total,1,9
,Lieutenant Governor - Republican,10
,Jim Cawley,10
Jim Cawley,2,10
Total,2,10
,Lieutenant Governor - Republican,11
,Jim Cawley,11
Jim Cawley,1,11
Total,1,11
,Lieutenant Governor - Republican,13
,Jim Cawley,13
Jim Cawley,1,13
Total,1,13
,Lieutenant Governor - Republican,14
,Jim Cawley,14
Jim Cawley,1,14
Total,1,14
,Lieutenant Governor - Republican,15
,Jim Cawley,15
Jim Cawley,4,15
Total,4,15
,Lieutenant Governor - Republican,16
,Jim Cawley,16
Jim Cawley,2,16
Total,2,16
,Lieutenant Governor - Republican,18
,Jim Cawley,18
Jim Cawley,3,18
Total,3,18
,Lieutenant Governor - Republican,19
,Jim Cawley,19
Jim Cawley,1,19
Total,1,19
,Lieutenant Governor - Republican,22
,Jim Cawley,22
Jim Cawley,1,22
Total,1,22
,Lieutenant Governor - Republican,23
,Jim Cawley,23
Jim Cawley,6,23
Total,6,23
,Lieutenant Governor - Republican,24
,Jim Cawley,24
Jim Cawley,4,24
Total,4,24
,Lieutenant Governor - Republican,25
,Jim Cawley,25
Jim Cawley,1,25
Total,1,25
,Lieutenant Governor - Republican,26
,Jim Cawley,26
Jim Cawley,4,26
Total,4,26
,Lieutenant Governor - Republican,27
,Jim Cawley,27
Jim Cawley,1,27
Total,1,27
,Lieutenant Governor - Republican,28
,Jim Cawley,28
Jim Cawley,3,28
Total,3,28
,Lieutenant Governor - Republican,All
,Jim Cawley,All
Jim Cawley,57,All
Total,57,All
