col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,All
,Robert A Brady,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Larry King,Jacqulyne Scott,All
Robert A Brady,"1,201","2,060","1,494","1,191","1,131","1,070",38,32,All
Kathy Enggasser,,170,"1,042",998,970,956,34,27,All
Louis Farinella,,,129,895,906,894,38,31,All
Barbara A Deeley,,,,34,902,914,37,28,All
Patrick Parkinson,,,,,53,879,36,28,All
Mary Ann Quartullo,,,,,,15,33,27,All
Larry King,,,,,,,1,4,All
Jacqulyne Scott,,,,,,,,1,All
Total,"4,201","2,330","1,700","1,294","1,251","1,160",39,34,All
