col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,All
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,All
Ronald Granville Waters,653,"1,163",984,780,628,565,All
Alishea Jackson,,38,736,708,526,493,All
Rasheen Crews,,,16,702,493,469,All
Kevin C Hannah,,,,7,478,463,All
Vernon D Brown,,,,,25,496,All
James Tyson,,,,,,8,All
Total,"2,285","1,230","1,034",809,675,595,All
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,1
,Ronald Granville Waters,Alishea Jackson,Kevin C Hannah,Rasheen Crews,James Tyson,Vernon D Brown,1
Ronald Granville Waters,21,26,24,22,16,14,1
Alishea Jackson,,1,16,16,13,12,1
Kevin C Hannah,,,0,17,12,12,1
Rasheen Crews,,,,1,13,12,1
James Tyson,,,,,0,12,1
Vernon D Brown,,,,,,1,1
Total,65,28,25,24,17,16,1
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,2
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,2
Ronald Granville Waters,27,52,39,32,26,24,2
Alishea Jackson,,0,31,26,21,19,2
Rasheen Crews,,,0,27,19,20,2
Kevin C Hannah,,,,3,17,18,2
Vernon D Brown,,,,,3,19,2
James Tyson,,,,,,1,2
Total,99,53,40,36,29,25,2
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,3
,Ronald Granville Waters,Alishea Jackson,Kevin C Hannah,Rasheen Crews,James Tyson,Vernon D Brown,3
Ronald Granville Waters,39,54,38,38,29,27,3
Alishea Jackson,,3,33,32,27,27,3
Kevin C Hannah,,,1,32,24,24,3
Rasheen Crews,,,,0,24,24,3
James Tyson,,,,,1,26,3
Vernon D Brown,,,,,,0,3
Total,103,57,39,38,30,27,3
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,4
,Ronald Granville Waters,Rasheen Crews,Alishea Jackson,Kevin C Hannah,Vernon D Brown,James Tyson,4
Ronald Granville Waters,38,74,41,25,21,19,4
Rasheen Crews,,0,27,24,18,15,4
Alishea Jackson,,,1,24,19,18,4
Kevin C Hannah,,,,0,17,15,4
Vernon D Brown,,,,,0,15,4
James Tyson,,,,,,0,4
Total,135,76,44,26,23,21,4
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,5
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,5
Ronald Granville Waters,35,30,29,18,12,11,5
Alishea Jackson,,1,17,15,8,9,5
Rasheen Crews,,,0,16,9,10,5
Kevin C Hannah,,,,0,10,9,5
Vernon D Brown,,,,,1,9,5
James Tyson,,,,,,0,5
Total,82,31,29,18,13,11,5
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,6
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,6
Ronald Granville Waters,17,50,34,32,25,23,6
Alishea Jackson,,2,28,28,17,18,6
Rasheen Crews,,,1,27,16,14,6
Kevin C Hannah,,,,0,17,18,6
Vernon D Brown,,,,,0,19,6
James Tyson,,,,,,0,6
Total,92,57,40,35,29,27,6
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,7
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,7
Ronald Granville Waters,18,57,47,38,26,22,7
Alishea Jackson,,1,37,36,23,21,7
Rasheen Crews,,,3,38,23,23,7
Kevin C Hannah,,,,0,21,22,7
Vernon D Brown,,,,,1,21,7
James Tyson,,,,,,0,7
Total,90,59,52,40,27,23,7
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,8
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Vernon D Brown,Kevin C Hannah,James Tyson,8
Ronald Granville Waters,37,40,32,24,26,20,8
Alishea Jackson,,0,24,17,23,16,8
Rasheen Crews,,,0,18,25,16,8
Vernon D Brown,,,,3,17,16,8
Kevin C Hannah,,,,,0,15,8
James Tyson,,,,,,0,8
Total,94,40,32,27,26,20,8
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,9
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,9
Ronald Granville Waters,47,62,59,43,34,29,9
Alishea Jackson,,3,46,42,26,25,9
Rasheen Crews,,,1,43,26,24,9
Kevin C Hannah,,,,0,24,23,9
Vernon D Brown,,,,,1,26,9
James Tyson,,,,,,0,9
Total,135,69,64,46,37,32,9
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,10
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,10
Ronald Granville Waters,35,46,39,26,24,21,10
Alishea Jackson,,2,26,25,20,19,10
Rasheen Crews,,,0,25,18,19,10
Kevin C Hannah,,,,0,17,17,10
Vernon D Brown,,,,,1,21,10
James Tyson,,,,,,0,10
Total,101,49,40,27,26,22,10
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,11
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,11
Ronald Granville Waters,33,84,66,60,54,43,11
Alishea Jackson,,2,56,54,48,39,11
Rasheen Crews,,,2,53,41,36,11
Kevin C Hannah,,,,0,40,35,11
Vernon D Brown,,,,,2,41,11
James Tyson,,,,,,0,11
Total,141,88,71,61,57,45,11
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,12
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,12
Ronald Granville Waters,24,50,37,35,32,23,12
Alishea Jackson,,2,32,31,27,22,12
Rasheen Crews,,,2,30,21,20,12
Kevin C Hannah,,,,0,24,22,12
Vernon D Brown,,,,,1,24,12
James Tyson,,,,,,0,12
Total,90,54,41,36,34,24,12
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,13
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,13
Ronald Granville Waters,32,27,20,16,13,12,13
Alishea Jackson,,0,14,15,10,10,13
Rasheen Crews,,,0,15,10,10,13
Kevin C Hannah,,,,1,10,9,13
Vernon D Brown,,,,,2,10,13
James Tyson,,,,,,0,13
Total,68,27,20,17,15,12,13
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,14
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,James Tyson,Vernon D Brown,14
Ronald Granville Waters,24,78,72,62,56,52,14
Alishea Jackson,,4,58,56,44,46,14
Rasheen Crews,,,0,55,48,44,14
Kevin C Hannah,,,,0,43,43,14
James Tyson,,,,,0,45,14
Vernon D Brown,,,,,,2,14
Total,133,82,75,62,58,55,14
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,15
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,15
Ronald Granville Waters,22,80,63,54,41,36,15
Alishea Jackson,,4,55,52,37,35,15
Rasheen Crews,,,0,52,34,32,15
Kevin C Hannah,,,,0,33,33,15
Vernon D Brown,,,,,0,35,15
James Tyson,,,,,,0,15
Total,118,85,64,55,42,37,15
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,16
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,16
Ronald Granville Waters,41,62,48,39,37,33,16
Alishea Jackson,,3,39,36,29,27,16
Rasheen Crews,,,1,36,30,27,16
Kevin C Hannah,,,,0,27,27,16
Vernon D Brown,,,,,2,29,16
James Tyson,,,,,,2,16
Total,125,68,53,41,39,35,16
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,17
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,17
Ronald Granville Waters,40,72,60,42,40,33,17
Alishea Jackson,,2,44,40,33,29,17
Rasheen Crews,,,1,39,33,28,17
Kevin C Hannah,,,,1,28,28,17
Vernon D Brown,,,,,2,28,17
James Tyson,,,,,,0,17
Total,143,76,62,44,44,34,17
,Representative In The General Assembly 191st District - Democrat,Member Of - Democratic State Committee 8th Senatorial District,,,,,18
,Ronald Granville Waters,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,18
Ronald Granville Waters,36,73,49,43,32,32,18
Alishea Jackson,,1,39,38,27,27,18
Rasheen Crews,,,1,36,23,21,18
Kevin C Hannah,,,,0,23,21,18
Vernon D Brown,,,,,3,25,18
James Tyson,,,,,,1,18
