col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,1
,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Critz,Mark Smith,Marylouise Isaacson,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Albert C Littlepage,Nekisha Fulton,Domenick demuro,Thomas J Rumbaugh,1
Mike Stack,38,0,0,0,0,125,103,106,106,95,84,82,75,41,1
Brad Koplinski,,3,0,0,0,4,3,3,2,3,2,3,3,3,1
Brandon P Neuman,,,4,0,0,0,1,0,0,2,0,1,1,1,1
Mark Critz,,,,1,0,1,3,1,4,1,0,1,0,0,1
Mark Smith,,,,,2,1,2,1,2,1,2,1,1,0,1
Marylouise Isaacson,,,,,,1,92,95,94,99,86,86,76,41,1
Darrell L Clarke,,,,,,,0,85,82,80,77,74,70,34,1
Matthew D Myers,,,,,,,,1,86,83,82,75,73,43,1
Micah Mahjoubian,,,,,,,,,0,77,78,72,68,34,1
Michelle L Rumbaugh,,,,,,,,,,0,77,79,66,40,1
Albert C Littlepage,,,,,,,,,,,0,71,69,38,1
Nekisha Fulton,,,,,,,,,,,,0,65,34,1
Domenick demuro,,,,,,,,,,,,,0,30,1
Thomas J Rumbaugh,,,,,,,,,,,,,,0,1
Total,201,11,7,6,4,136,115,115,115,106,90,89,82,46,1
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,2
,Mike Stack,Brandon P Neuman,Mark Smith,Mark Critz,Brad Koplinski,Micah Mahjoubian,Marylouise Isaacson,Matthew D Myers,Darrell L Clarke,Michelle L Rumbaugh,Nekisha Fulton,Domenick demuro,Albert C Littlepage,Thomas J Rumbaugh,2
Mike Stack,14,0,0,0,0,62,55,47,44,32,33,30,25,22,2
Brandon P Neuman,,1,0,0,0,2,4,4,3,3,3,5,5,3,2
Mark Smith,,,1,0,0,4,4,2,1,3,2,3,3,3,2
Mark Critz,,,,2,0,1,2,1,2,1,1,0,0,0,2
Brad Koplinski,,,,,0,3,3,1,2,3,3,2,1,2,2
Micah Mahjoubian,,,,,,0,53,41,34,34,34,29,26,22,2
Marylouise Isaacson,,,,,,,0,42,38,41,41,37,31,28,2
Matthew D Myers,,,,,,,,0,36,30,33,32,26,24,2
Darrell L Clarke,,,,,,,,,3,27,28,25,20,20,2
Michelle L Rumbaugh,,,,,,,,,,1,35,28,24,24,2
Nekisha Fulton,,,,,,,,,,,0,28,22,20,2
Domenick demuro,,,,,,,,,,,,0,31,24,2
Albert C Littlepage,,,,,,,,,,,,,0,21,2
Thomas J Rumbaugh,,,,,,,,,,,,,,0,2
Total,98,7,6,5,3,72,68,56,55,43,42,41,34,31,2
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,3
,Mike Stack,Brad Koplinski,Mark Smith,Brandon P Neuman,Mark Critz,Matthew D Myers,Marylouise Isaacson,Micah Mahjoubian,Darrell L Clarke,Nekisha Fulton,Albert C Littlepage,Domenick demuro,Michelle L Rumbaugh,Thomas J Rumbaugh,3
Mike Stack,32,0,0,0,0,87,81,74,71,62,61,57,59,25,3
Brad Koplinski,,5,0,0,0,4,4,3,3,3,1,4,3,3,3
Mark Smith,,,4,0,0,2,1,3,2,0,1,0,0,0,3
Brandon P Neuman,,,,0,0,0,2,1,2,0,0,2,0,0,3
Mark Critz,,,,,1,0,0,0,0,0,0,0,0,0,3
Matthew D Myers,,,,,,1,68,66,64,59,60,58,53,26,3
Marylouise Isaacson,,,,,,,0,65,65,62,60,58,57,26,3
Micah Mahjoubian,,,,,,,,0,59,56,55,53,48,19,3
Darrell L Clarke,,,,,,,,,1,54,54,50,46,20,3
Nekisha Fulton,,,,,,,,,,0,56,51,50,20,3
Albert C Littlepage,,,,,,,,,,,0,51,48,20,3
Domenick demuro,,,,,,,,,,,,0,46,24,3
Michelle L Rumbaugh,,,,,,,,,,,,,0,17,3
Thomas J Rumbaugh,,,,,,,,,,,,,,0,3
Total,147,10,8,5,1,95,88,81,79,65,64,63,62,28,3
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,4
,Mike Stack,Brad Koplinski,Mark Smith,Mark Critz,Brandon P Neuman,Marylouise Isaacson,Micah Mahjoubian,Matthew D Myers,Michelle L Rumbaugh,Darrell L Clarke,Albert C Littlepage,Nekisha Fulton,Domenick demuro,Thomas J Rumbaugh,4
Mike Stack,24,0,0,0,0,87,81,70,68,61,55,48,48,45,4
Brad Koplinski,,3,0,0,0,5,1,1,3,3,1,0,0,1,4
Mark Smith,,,1,0,0,4,2,4,6,3,2,5,4,1,4
Mark Critz,,,,3,0,2,2,2,2,2,1,1,1,2,4
Brandon P Neuman,,,,,0,2,2,2,0,3,2,2,2,0,4
Marylouise Isaacson,,,,,,1,72,68,75,57,58,54,55,47,4
Micah Mahjoubian,,,,,,,0,64,59,53,51,45,46,39,4
Matthew D Myers,,,,,,,,1,60,58,56,46,53,39,4
Michelle L Rumbaugh,,,,,,,,,0,49,51,50,50,42,4
Darrell L Clarke,,,,,,,,,,1,44,39,39,27,4
Albert C Littlepage,,,,,,,,,,,0,42,47,34,4
Nekisha Fulton,,,,,,,,,,,,0,42,27,4
Domenick demuro,,,,,,,,,,,,,0,31,4
Thomas J Rumbaugh,,,,,,,,,,,,,,0,4
Total,140,10,8,7,3,104,90,82,80,77,63,58,56,50,4
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,5
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,Marylouise Isaacson,Micah Mahjoubian,Darrell L Clarke,Matthew D Myers,Michelle L Rumbaugh,Domenick demuro,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,5
Mike Stack,43,0,0,0,0,77,76,68,50,44,42,39,39,37,5
Mark Smith,,2,0,0,0,3,2,5,4,4,4,3,4,4,5
Brandon P Neuman,,,0,0,0,4,2,3,4,3,3,3,5,1,5
Brad Koplinski,,,,0,0,4,5,4,4,4,4,4,3,1,5
Mark Critz,,,,,3,2,1,2,2,2,1,1,0,0,5
Marylouise Isaacson,,,,,,1,71,67,52,54,46,46,43,39,5
Micah Mahjoubian,,,,,,,1,64,46,46,43,41,38,35,5
Darrell L Clarke,,,,,,,,0,48,45,42,41,38,34,5
Matthew D Myers,,,,,,,,,1,44,48,41,42,40,5
Michelle L Rumbaugh,,,,,,,,,,0,40,41,35,32,5
Domenick demuro,,,,,,,,,,,0,41,42,36,5
Nekisha Fulton,,,,,,,,,,,,0,33,30,5
Albert C Littlepage,,,,,,,,,,,,,0,33,5
Thomas J Rumbaugh,,,,,,,,,,,,,,0,5
Total,147,8,7,5,5,91,88,83,67,59,55,52,51,44,5
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,6
