col_1,col_2,division
,Representative In The General Assembly 191st District - Democrat,All
,Ronald Granville Waters,All
Ronald Granville Waters,"1,297",All
Total,"1,297",All
,Representative In The General Assembly 191st District - Democrat,2
,Ronald Granville Waters,2
Ronald Granville Waters,58,2
Total,58,2
,Representative In The General Assembly 191st District - Democrat,3
,Ronald Granville Waters,3
Ronald Granville Waters,138,3
Total,138,3
,Representative In The General Assembly 191st District - Democrat,4
,Ronald Granville Waters,4
Ronald Granville Waters,87,4
Total,87,4
,Representative In The General Assembly 191st District - Democrat,5
,Ronald Granville Waters,5
Ronald Granville Waters,121,5
Total,121,5
,Representative In The General Assembly 191st District - Democrat,6
,Ronald Granville Waters,6
Ronald Granville Waters,39,6
Total,39,6
,Representative In The General Assembly 191st District - Democrat,7
,Ronald Granville Waters,7
Ronald Granville Waters,95,7
Total,95,7
,Representative In The General Assembly 191st District - Democrat,8
,Ronald Granville Waters,8
Ronald Granville Waters,53,8
Total,53,8
,Representative In The General Assembly 191st District - Democrat,9
,Ronald Granville Waters,9
Ronald Granville Waters,76,9
Total,76,9
,Representative In The General Assembly 191st District - Democrat,10
,Ronald Granville Waters,10
Ronald Granville Waters,31,10
Total,31,10
,Representative In The General Assembly 191st District - Democrat,11
,Ronald Granville Waters,11
Ronald Granville Waters,59,11
Total,59,11
,Representative In The General Assembly 191st District - Democrat,12
,Ronald Granville Waters,12
Ronald Granville Waters,45,12
Total,45,12
,Representative In The General Assembly 191st District - Democrat,13
,Ronald Granville Waters,13
Ronald Granville Waters,60,13
Total,60,13
,Representative In The General Assembly 191st District - Democrat,14
,Ronald Granville Waters,14
Ronald Granville Waters,58,14
Total,58,14
,Representative In The General Assembly 191st District - Democrat,19
,Ronald Granville Waters,19
Ronald Granville Waters,33,19
Total,33,19
,Representative In The General Assembly 191st District - Democrat,20
,Ronald Granville Waters,20
Ronald Granville Waters,35,20
Total,35,20
,Representative In The General Assembly 191st District - Democrat,21
,Ronald Granville Waters,21
Ronald Granville Waters,16,21
Total,16,21
,Representative In The General Assembly 191st District - Democrat,23
,Ronald Granville Waters,23
Ronald Granville Waters,32,23
Total,32,23
,Representative In The General Assembly 191st District - Democrat,24
,Ronald Granville Waters,24
Ronald Granville Waters,61,24
Total,61,24
,Representative In The General Assembly 191st District - Democrat,25
,Ronald Granville Waters,25
Ronald Granville Waters,49,25
Total,49,25
,Representative In The General Assembly 191st District - Democrat,26
,Ronald Granville Waters,26
Ronald Granville Waters,33,26
Total,33,26
,Representative In The General Assembly 191st District - Democrat,33
,Ronald Granville Waters,33
Ronald Granville Waters,33,33
Total,33,33
,Representative In The General Assembly 191st District - Democrat,34
,Ronald Granville Waters,34
Ronald Granville Waters,47,34
Total,47,34
,Representative In The General Assembly 191st District - Democrat,47
,Ronald Granville Waters,47
Ronald Granville Waters,38,47
Total,38,47
