col_1,col_2,division
,Representative In The General Assembly 188th District - Republican,All
,Ernest Adkins,All
Ernest Adkins,58,All
Total,58,All
,Representative In The General Assembly 188th District - Republican,1
,Ernest Adkins,1
Ernest Adkins,3,1
Total,3,1
,Representative In The General Assembly 188th District - Republican,2
,Ernest Adkins,2
Ernest Adkins,4,2
Total,4,2
,Representative In The General Assembly 188th District - Republican,3
,Ernest Adkins,3
Ernest Adkins,2,3
Total,2,3
,Representative In The General Assembly 188th District - Republican,5
,Ernest Adkins,5
Ernest Adkins,2,5
Total,2,5
,Representative In The General Assembly 188th District - Republican,6
,Ernest Adkins,6
Ernest Adkins,2,6
Total,2,6
,Representative In The General Assembly 188th District - Republican,7
,Ernest Adkins,7
Ernest Adkins,5,7
Total,5,7
,Representative In The General Assembly 188th District - Republican,11
,Ernest Adkins,11
Ernest Adkins,2,11
Total,2,11
,Representative In The General Assembly 188th District - Republican,12
,Ernest Adkins,12
Ernest Adkins,2,12
Total,2,12
,Representative In The General Assembly 188th District - Republican,13
,Ernest Adkins,13
Ernest Adkins,5,13
Total,5,13
,Representative In The General Assembly 188th District - Republican,14
,Ernest Adkins,14
Ernest Adkins,5,14
Total,5,14
,Representative In The General Assembly 188th District - Republican,15
,Ernest Adkins,15
Ernest Adkins,7,15
Total,7,15
,Representative In The General Assembly 188th District - Republican,16
,Ernest Adkins,16
Ernest Adkins,2,16
Total,2,16
,Representative In The General Assembly 188th District - Republican,21
,Ernest Adkins,21
Ernest Adkins,1,21
Total,1,21
,Representative In The General Assembly 188th District - Republican,23
,Ernest Adkins,23
Ernest Adkins,16,23
Total,16,23
