col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Member Of - Democratic State Committee 8th Senatorial District,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Albert C Littlepage,Nekisha Fulton,Marylouise Isaacson,Domenick demuro,Michelle L Rumbaugh,Thomas J Rumbaugh,All
Alishea Jackson,524,"1,274","1,239",797,782,0,0,0,0,0,0,0,0,0,All
Rasheen Crews,,472,"1,237",781,781,0,0,0,0,0,0,0,0,0,All
Kevin C Hannah,,,234,737,747,0,0,0,0,0,0,0,0,0,All
Vernon D Brown,,,,184,758,0,0,0,0,0,0,0,0,0,All
James Tyson,,,,,87,0,0,0,0,0,0,0,0,0,All
Darrell L Clarke,,,,,,147,213,198,151,154,144,135,126,86,All
Matthew D Myers,,,,,,,39,180,129,128,119,126,103,76,All
Micah Mahjoubian,,,,,,,,33,117,116,113,117,98,72,All
Albert C Littlepage,,,,,,,,,18,143,132,120,110,81,All
Nekisha Fulton,,,,,,,,,,9,138,109,122,79,All
Marylouise Isaacson,,,,,,,,,,,10,115,119,75,All
Domenick demuro,,,,,,,,,,,,14,92,64,All
Michelle L Rumbaugh,,,,,,,,,,,,,4,68,All
Thomas J Rumbaugh,,,,,,,,,,,,,,1,All
Total,"1,962","1,893","1,573","1,124",984,430,273,242,207,194,185,176,149,97,All
