col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,Barbara Carroll,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Lamont Thomas,268,0,916,589,522,522,612,541,439,409,350,323,18,All
Stephen Kinsey,,161,584,434,414,417,244,230,197,173,156,157,7,All
Latrice Y Bryant,,,11,838,782,797,630,614,529,481,427,395,9,All
Gwen Collins,,,,14,765,808,539,489,553,489,451,407,8,All
Elaine Tomlin,,,,,7,775,497,451,502,441,399,390,8,All
Barbara Carroll,,,,,,2,505,453,503,439,400,402,6,All
David Rodriguez,,,,,,,7,571,504,485,430,367,12,All
Edward M Lloyd Jr,,,,,,,,3,455,422,395,334,11,All
Karen Voss,,,,,,,,,3,462,436,379,6,All
Humberto Perez,,,,,,,,,,2,406,318,3,All
Louis Agre,,,,,,,,,,,5,291,4,All
Ruth I Birchett,,,,,,,,,,,,1,4,All
Dawn Thomas,,,,,,,,,,,,,0,All
Total,"1,603",959,"1,534","1,078",965,962,882,790,666,613,537,491,26,All
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,2
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,David Rodriguez,Karen Voss,Edward M Lloyd Jr,Elaine Tomlin,Barbara Carroll,Gwen Collins,Humberto Perez,Ruth I Birchett,Louis Agre,Dawn Thomas,2
Lamont Thomas,20,0,77,39,30,33,30,30,28,24,18,17,0,2
Stephen Kinsey,,4,10,5,7,4,7,6,6,7,6,1,0,2
Latrice Y Bryant,,,1,29,27,27,32,29,27,24,20,15,0,2
David Rodriguez,,,,1,25,25,23,23,20,20,14,15,0,2
Karen Voss,,,,,1,19,28,26,29,25,21,17,0,2
Edward M Lloyd Jr,,,,,,1,19,18,18,19,13,14,0,2
Elaine Tomlin,,,,,,,0,28,27,24,22,15,0,2
Barbara Carroll,,,,,,,,0,27,22,22,13,0,2
Gwen Collins,,,,,,,,,0,23,20,16,0,2
Humberto Perez,,,,,,,,,,0,16,14,0,2
Ruth I Birchett,,,,,,,,,,,0,9,0,2
Louis Agre,,,,,,,,,,,,0,0,2
Dawn Thomas,,,,,,,,,,,,,0,2
Total,127,19,88,45,40,38,37,36,36,33,24,19,0,2
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,3
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,Edward M Lloyd Jr,David Rodriguez,Humberto Perez,Karen Voss,Ruth I Birchett,Louis Agre,Dawn Thomas,3
Lamont Thomas,18,0,67,49,47,43,34,35,32,29,26,23,0,3
Stephen Kinsey,,10,39,25,25,28,13,11,9,7,7,5,0,3
Latrice Y Bryant,,,1,64,63,61,40,38,29,32,26,25,0,3
Gwen Collins,,,,1,65,61,33,37,30,32,27,25,0,3
Barbara Carroll,,,,,0,61,32,36,29,31,27,23,0,3
Elaine Tomlin,,,,,,0,34,36,32,32,27,25,0,3
Edward M Lloyd Jr,,,,,,,0,31,26,27,22,21,0,3
David Rodriguez,,,,,,,,0,30,31,25,24,0,3
Humberto Perez,,,,,,,,,0,26,21,22,0,3
Karen Voss,,,,,,,,,,0,22,23,0,3
Ruth I Birchett,,,,,,,,,,,0,17,0,3
Louis Agre,,,,,,,,,,,,1,0,3
Dawn Thomas,,,,,,,,,,,,,0,3
Total,114,55,107,76,73,72,47,46,41,36,33,29,0,3
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,4
,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,Barbara Carroll,David Rodriguez,Karen Voss,Edward M Lloyd Jr,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Lamont Thomas,Stephen Kinsey,4
Latrice Y Bryant,0,39,39,41,26,25,26,23,23,17,0,30,30,4
Gwen Collins,,1,40,41,25,29,21,26,26,17,0,29,23,4
Elaine Tomlin,,,0,45,24,25,21,24,23,19,0,25,24,4
Barbara Carroll,,,,0,23,25,22,24,22,19,0,23,25,4
David Rodriguez,,,,,0,22,21,22,21,15,0,22,10,4
Karen Voss,,,,,,0,19,25,24,17,0,18,10,4
Edward M Lloyd Jr,,,,,,,0,18,18,12,0,20,9,4
Humberto Perez,,,,,,,,0,23,15,0,20,8,4
Louis Agre,,,,,,,,,0,14,0,19,7,4
Ruth I Birchett,,,,,,,,,,0,0,13,6,4
Dawn Thomas,,,,,,,,,,,0,0,0,4
Lamont Thomas,,,,,,,,,,,,2,0,4
Stephen Kinsey,,,,,,,,,,,,,1,4
Total,60,55,49,48,32,30,29,29,28,19,0,46,38,4
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,5
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,Edward M Lloyd Jr,Gwen Collins,David Rodriguez,Barbara Carroll,Karen Voss,Humberto Perez,Elaine Tomlin,Louis Agre,Ruth I Birchett,Dawn Thomas,5
Lamont Thomas,19,0,48,37,27,32,25,20,19,18,16,17,1,5
Stephen Kinsey,,2,12,18,8,4,2,2,2,3,2,3,1,5
Latrice Y Bryant,,,2,34,20,29,18,16,16,17,14,14,1,5
Edward M Lloyd Jr,,,,0,18,30,16,16,17,14,14,15,1,5
Gwen Collins,,,,,2,16,19,19,19,15,17,14,1,5
David Rodriguez,,,,,,0,16,16,15,12,13,13,1,5
Barbara Carroll,,,,,,,0,17,17,14,14,15,1,5
Karen Voss,,,,,,,,0,20,14,19,14,1,5
Humberto Perez,,,,,,,,,0,14,20,14,1,5
Elaine Tomlin,,,,,,,,,,0,12,13,0,5
Louis Agre,,,,,,,,,,,0,12,1,5
Ruth I Birchett,,,,,,,,,,,,0,1,5
Dawn Thomas,,,,,,,,,,,,,0,5
Total,87,31,63,55,39,36,27,24,23,22,20,20,2,5
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,6
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,David Rodriguez,Gwen Collins,Barbara Carroll,Elaine Tomlin,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,6
Lamont Thomas,11,0,53,51,42,34,36,41,35,32,29,21,0,6
Stephen Kinsey,,14,31,17,24,23,22,14,12,13,12,13,0,6
Latrice Y Bryant,,,0,51,60,51,50,47,42,39,33,26,0,6
David Rodriguez,,,,0,46,38,37,48,46,39,38,29,0,6
Gwen Collins,,,,,0,48,50,44,41,38,33,28,0,6
Barbara Carroll,,,,,,0,45,32,33,31,27,25,0,6
Elaine Tomlin,,,,,,,0,34,33,32,27,23,0,6
Edward M Lloyd Jr,,,,,,,,0,38,40,35,27,0,6
Humberto Perez,,,,,,,,,0,37,32,26,0,6
Karen Voss,,,,,,,,,,0,33,25,0,6
Louis Agre,,,,,,,,,,,0,26,0,6
Ruth I Birchett,,,,,,,,,,,,0,0,6
Dawn Thomas,,,,,,,,,,,,,0,6
Total,89,60,87,72,70,60,59,58,49,47,42,36,0,6
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,7
,Latrice Y Bryant,Gwen Collins,David Rodriguez,Barbara Carroll,Edward M Lloyd Jr,Elaine Tomlin,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Stephen Kinsey,Lamont Thomas,7
Latrice Y Bryant,1,43,35,37,30,37,32,27,25,25,1,38,38,7
Gwen Collins,,0,33,44,28,38,36,29,28,29,1,28,29,7
David Rodriguez,,,0,28,32,26,31,29,27,24,1,22,27,7
Barbara Carroll,,,,0,26,35,30,25,24,25,1,24,24,7
Edward M Lloyd Jr,,,,,0,23,26,27,24,22,1,17,27,7
Elaine Tomlin,,,,,,1,29,24,23,24,1,21,21,7
Karen Voss,,,,,,,0,26,26,27,0,14,24,7
Humberto Perez,,,,,,,,0,25,23,0,14,19,7
Louis Agre,,,,,,,,,0,21,0,14,19,7
Ruth I Birchett,,,,,,,,,,1,0,13,18,7
Dawn Thomas,,,,,,,,,,,0,1,1,7
Stephen Kinsey,,,,,,,,,,,,15,0,7
Lamont Thomas,,,,,,,,,,,,,16,7
Total,77,57,49,48,44,43,38,33,33,32,2,72,69,7
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,8
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,David Rodriguez,Gwen Collins,Elaine Tomlin,Edward M Lloyd Jr,Barbara Carroll,Karen Voss,Humberto Perez,Ruth I Birchett,Louis Agre,Dawn Thomas,8
Lamont Thomas,30,0,67,48,42,42,40,39,39,33,33,26,0,8
Stephen Kinsey,,15,27,24,21,19,20,18,16,17,12,16,0,8
Latrice Y Bryant,,,0,56,53,49,50,48,46,41,37,34,0,8
David Rodriguez,,,,1,47,46,50,43,46,42,37,34,0,8
Gwen Collins,,,,,0,48,44,51,46,45,40,36,0,8
Elaine Tomlin,,,,,,0,42,46,48,38,36,33,0,8
Edward M Lloyd Jr,,,,,,,0,40,40,37,35,30,0,8
Barbara Carroll,,,,,,,,0,43,36,37,30,0,8
Karen Voss,,,,,,,,,1,40,36,34,0,8
Humberto Perez,,,,,,,,,,0,30,32,0,8
Ruth I Birchett,,,,,,,,,,,0,23,0,8
Louis Agre,,,,,,,,,,,,0,0,8
Dawn Thomas,,,,,,,,,,,,,0,8
Total,122,58,95,74,66,61,60,58,57,53,45,44,0,8
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,9
,Lamont Thomas,Stephen Kinsey,Latrice Y Bryant,Elaine Tomlin,Gwen Collins,Barbara Carroll,David Rodriguez,Humberto Perez,Edward M Lloyd Jr,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,9
Lamont Thomas,12,0,71,56,57,44,58,44,48,43,35,23,1,9
Stephen Kinsey,,3,32,31,33,31,14,9,4,8,7,7,0,9
Latrice Y Bryant,,,0,70,72,62,51,44,45,44,38,22,0,9
Elaine Tomlin,,,,0,73,69,52,49,41,48,39,30,0,9
Gwen Collins,,,,,0,70,49,45,38,47,40,26,0,9
Barbara Carroll,,,,,,0,43,40,34,41,35,24,0,9
David Rodriguez,,,,,,,1,49,47,47,39,26,0,9
Humberto Perez,,,,,,,,0,39,45,41,23,0,9
Edward M Lloyd Jr,,,,,,,,,0,41,34,19,0,9
Karen Voss,,,,,,,,,,0,39,26,0,9
Louis Agre,,,,,,,,,,,0,18,0,9
Ruth I Birchett,,,,,,,,,,,,0,0,9
Dawn Thomas,,,,,,,,,,,,,0,9
Total,116,47,105,92,92,76,75,56,53,52,43,32,1,9
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,10
,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,Barbara Carroll,David Rodriguez,Karen Voss,Edward M Lloyd Jr,Louis Agre,Humberto Perez,Ruth I Birchett,Dawn Thomas,Lamont Thomas,Stephen Kinsey,10
Latrice Y Bryant,1,34,30,30,19,16,20,15,15,12,0,33,31,10
Gwen Collins,,0,29,29,16,18,15,16,14,13,2,23,20,10
Elaine Tomlin,,,2,29,14,14,11,13,12,10,1,18,18,10
Barbara Carroll,,,,0,12,14,12,13,12,11,0,18,15,10
David Rodriguez,,,,,0,16,17,16,13,10,1,25,7,10
Karen Voss,,,,,,0,13,15,13,12,1,16,7,10
Edward M Lloyd Jr,,,,,,,0,14,13,11,0,17,4,10
Louis Agre,,,,,,,,0,14,12,0,16,3,10
Humberto Perez,,,,,,,,,0,9,0,14,4,10
Ruth I Birchett,,,,,,,,,,0,0,10,4,10
Dawn Thomas,,,,,,,,,,,0,0,1,10
Lamont Thomas,,,,,,,,,,,,6,0,10
Stephen Kinsey,,,,,,,,,,,,,8,10
Total,66,44,39,34,33,23,22,19,18,15,2,55,47,10
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,11
,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,Edward M Lloyd Jr,David Rodriguez,Louis Agre,Karen Voss,Ruth I Birchett,Humberto Perez,Dawn Thomas,Stephen Kinsey,Lamont Thomas,11
Latrice Y Bryant,1,27,28,22,18,17,12,10,12,10,0,30,20,11
Gwen Collins,,1,27,22,15,15,15,13,12,11,1,19,13,11
Barbara Carroll,,,1,23,15,14,12,11,13,8,1,21,11,11
Elaine Tomlin,,,,0,14,12,11,10,12,7,1,17,10,11
Edward M Lloyd Jr,,,,,0,19,14,12,15,10,1,10,15,11
David Rodriguez,,,,,,0,14,12,14,10,1,8,15,11
Louis Agre,,,,,,,0,13,12,11,1,6,9,11
Karen Voss,,,,,,,,0,11,9,1,5,9,11
Ruth I Birchett,,,,,,,,,0,8,1,6,9,11
Humberto Perez,,,,,,,,,,0,0,5,8,11
Dawn Thomas,,,,,,,,,,,0,0,1,11
Stephen Kinsey,,,,,,,,,,,,16,0,11
Lamont Thomas,,,,,,,,,,,,,7,11
Total,51,34,33,27,25,23,16,15,15,14,1,50,40,11
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,12
