col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 175th District - Democrat,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Sean Sullivan,Michael H O Brien,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Marylouise Isaacson,Domenick demuro,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,All
Sean Sullivan,22,0,65,65,62,42,30,30,26,27,18,All
Michael H O Brien,,21,59,56,36,31,34,25,25,19,18,All
Darrell L Clarke,,,4,68,61,46,41,35,37,36,27,All
Matthew D Myers,,,,2,61,46,47,38,35,38,28,All
Micah Mahjoubian,,,,,0,42,36,29,32,29,19,All
Marylouise Isaacson,,,,,,2,43,47,41,40,30,All
Domenick demuro,,,,,,,1,32,34,33,25,All
Michelle L Rumbaugh,,,,,,,,0,34,33,22,All
Nekisha Fulton,,,,,,,,,0,34,26,All
Albert C Littlepage,,,,,,,,,,3,28,All
Thomas J Rumbaugh,,,,,,,,,,,0,All
Total,153,129,128,124,98,79,68,57,51,50,36,All
,Representative In The General Assembly 175th District - Democrat,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,9
,Michael H O Brien,Sean Sullivan,Matthew D Myers,Micah Mahjoubian,Darrell L Clarke,Marylouise Isaacson,Domenick demuro,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,9
Michael H O Brien,3,0,8,6,4,4,3,2,3,1,0,9
Sean Sullivan,,3,5,6,3,3,3,4,3,3,3,9
Matthew D Myers,,,0,3,5,5,5,4,4,3,1,9
Micah Mahjoubian,,,,0,4,5,4,3,4,3,1,9
Darrell L Clarke,,,,,1,5,5,5,5,4,2,9
Marylouise Isaacson,,,,,,0,5,5,5,4,2,9
Domenick demuro,,,,,,,0,4,5,4,2,9
Michelle L Rumbaugh,,,,,,,,0,4,4,2,9
Nekisha Fulton,,,,,,,,,0,4,2,9
Albert C Littlepage,,,,,,,,,,1,2,9
Thomas J Rumbaugh,,,,,,,,,,,0,9
Total,15,15,13,12,8,7,6,6,6,5,3,9
,Representative In The General Assembly 175th District - Democrat,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,13
,Sean Sullivan,Michael H O Brien,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Domenick demuro,Marylouise Isaacson,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,13
Sean Sullivan,2,0,12,9,10,6,6,6,4,2,2,13
Michael H O Brien,,2,6,5,3,2,1,1,0,0,0,13
Darrell L Clarke,,,0,11,11,5,5,5,2,2,2,13
Matthew D Myers,,,,0,10,4,3,3,1,1,1,13
Micah Mahjoubian,,,,,0,4,3,4,1,1,0,13
Domenick demuro,,,,,,0,6,6,3,2,2,13
Marylouise Isaacson,,,,,,,0,7,3,3,1,13
Michelle L Rumbaugh,,,,,,,,0,3,2,1,13
Nekisha Fulton,,,,,,,,,0,1,1,13
Albert C Littlepage,,,,,,,,,,0,1,13
Thomas J Rumbaugh,,,,,,,,,,,0,13
Total,20,10,18,15,13,10,9,8,4,3,2,13
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,14
,Matthew D Myers,Darrell L Clarke,Albert C Littlepage,Marylouise Isaacson,Nekisha Fulton,Thomas J Rumbaugh,Michelle L Rumbaugh,Domenick demuro,Micah Mahjoubian,Michael H O Brien,Sean Sullivan,14
Matthew D Myers,0,7,6,7,7,7,6,5,5,6,5,14
Darrell L Clarke,,1,6,7,7,6,6,4,5,6,2,14
Albert C Littlepage,,,0,6,6,5,5,4,4,5,3,14
Marylouise Isaacson,,,,0,7,6,6,4,5,5,2,14
Nekisha Fulton,,,,,0,6,6,4,5,5,2,14
Thomas J Rumbaugh,,,,,,0,5,4,4,6,1,14
Michelle L Rumbaugh,,,,,,,0,3,4,5,1,14
Domenick demuro,,,,,,,,0,2,3,2,14
Micah Mahjoubian,,,,,,,,,0,3,2,14
Michael H O Brien,,,,,,,,,,2,0,14
Sean Sullivan,,,,,,,,,,,3,14
Total,11,9,8,7,7,7,6,5,5,10,9,14
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,15
,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Domenick demuro,Albert C Littlepage,Marylouise Isaacson,Nekisha Fulton,Thomas J Rumbaugh,Michelle L Rumbaugh,Michael H O Brien,Sean Sullivan,15
Darrell L Clarke,0,2,2,2,1,1,1,1,0,5,4,15
Matthew D Myers,,0,3,3,2,2,2,2,1,4,1,15
Micah Mahjoubian,,,0,3,2,2,2,2,1,3,1,15
Domenick demuro,,,,0,2,2,2,2,1,2,1,15
