col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 4th District - Democrat,,,All
,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,Leanna Washington,Art Haywood,Brian D Gralnick,All
Mike Stack,131,0,0,0,0,928,730,312,All
Mark Smith,,12,0,0,0,57,57,29,All
Brandon P Neuman,,,15,0,0,48,43,22,All
Mark Critz,,,,8,0,54,37,14,All
Brad Koplinski,,,,,5,22,25,15,All
Leanna Washington,,,,,,166,0,0,All
Art Haywood,,,,,,,109,0,All
Brian D Gralnick,,,,,,,,42,All
Total,"2,101",155,128,113,67,"1,275","1,001",434,All
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 4th District - Democrat,,,1
,Mike Stack,Brandon P Neuman,Mark Smith,Mark Critz,Brad Koplinski,Art Haywood,Leanna Washington,Brian D Gralnick,1
Mike Stack,0,0,0,0,0,39,15,14,1
Brandon P Neuman,,2,0,0,0,2,3,2,1
Mark Smith,,,0,0,0,3,3,0,1
Mark Critz,,,,0,0,3,0,0,1
Brad Koplinski,,,,,0,0,0,0,1
Art Haywood,,,,,,3,0,0,1
Leanna Washington,,,,,,,2,0,1
Brian D Gralnick,,,,,,,,1,1
Total,68,9,6,3,0,50,23,17,1
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 4th District - Democrat,,,2
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,Leanna Washington,Art Haywood,Brian D Gralnick,2
Mike Stack,8,0,0,0,0,51,41,15,2
Mark Smith,,0,0,0,0,5,4,0,2
Brandon P Neuman,,,1,0,0,3,3,0,2
Brad Koplinski,,,,0,0,2,1,0,2
Mark Critz,,,,,0,0,0,1,2
Leanna Washington,,,,,,9,0,0,2
Art Haywood,,,,,,,9,0,2
Brian D Gralnick,,,,,,,,2,2
Total,115,9,7,3,1,70,58,18,2
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 4th District - Democrat,,,3
