col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Governor - Democrat,,,,All
,Jalila D Parker,Cindy Bass,Nedia S Ralston,Ron Couser,Bill Durham,Sherrie Cohen,Janet Thompson,M Karen Bojar,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,All
Jalila D Parker,6,"2,114","2,008","1,757","1,643","1,267",892,634,"1,479",917,896,35,All
Cindy Bass,,7,"1,771","1,826","1,690","1,081",900,644,"1,077","1,000",763,28,All
Nedia S Ralston,,,4,"1,542","1,403",983,591,505,943,663,738,20,All
Ron Couser,,,,1,"1,581",830,611,467,770,650,643,17,All
Bill Durham,,,,,0,727,656,351,698,600,636,12,All
Sherrie Cohen,,,,,,4,653,554,838,556,358,11,All
Janet Thompson,,,,,,,1,386,464,455,198,18,All
M Karen Bojar,,,,,,,,2,325,313,154,13,All
Tom Wolf,,,,,,,,,531,0,0,0,All
Allyson Y Schwartz,,,,,,,,,,382,0,0,All
Robert M Mccord,,,,,,,,,,,208,0,All
Katie Mcginty,,,,,,,,,,,,20,All
Total,"3,350","2,891","2,383","2,094","1,959","1,775","1,141",809,"2,584","1,815","1,356",72,All
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Governor - Democrat,,,,1
,Jalila D Parker,Cindy Bass,Nedia S Ralston,Ron Couser,Sherrie Cohen,Bill Durham,Janet Thompson,M Karen Bojar,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,1
Jalila D Parker,0,49,50,47,34,40,29,15,36,27,22,2,1
Cindy Bass,,1,44,48,26,40,27,18,21,28,19,1,1
Nedia S Ralston,,,0,38,26,31,18,13,25,19,18,2,1
Ron Couser,,,,0,23,41,21,13,17,19,17,1,1
Sherrie Cohen,,,,,0,19,13,15,24,20,8,0,1
Bill Durham,,,,,,0,23,10,14,17,15,1,1
Janet Thompson,,,,,,,0,9,8,18,7,1,1
M Karen Bojar,,,,,,,,0,5,16,2,0,1
Tom Wolf,,,,,,,,,24,0,0,0,1
Allyson Y Schwartz,,,,,,,,,,19,0,0,1
Robert M Mccord,,,,,,,,,,,8,0,1
Katie Mcginty,,,,,,,,,,,,0,1
Total,87,70,64,54,52,47,34,23,76,65,38,2,1
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Governor - Democrat,,,,2
,Jalila D Parker,Cindy Bass,Nedia S Ralston,Ron Couser,Bill Durham,Sherrie Cohen,Janet Thompson,M Karen Bojar,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,2
Jalila D Parker,0,100,89,81,76,53,43,27,65,52,42,1,2
Cindy Bass,,1,74,82,74,45,44,28,39,51,30,0,2
Nedia S Ralston,,,0,65,53,39,24,21,43,29,25,0,2
Ron Couser,,,,0,67,31,29,21,28,33,27,0,2
Bill Durham,,,,,0,25,32,15,28,30,23,0,2
Sherrie Cohen,,,,,,1,26,21,33,15,15,0,2
Janet Thompson,,,,,,,0,19,16,27,9,0,2
M Karen Bojar,,,,,,,,0,15,11,5,0,2
Tom Wolf,,,,,,,,,25,0,0,0,2
Allyson Y Schwartz,,,,,,,,,,6,0,0,2
Robert M Mccord,,,,,,,,,,,13,0,2
Katie Mcginty,,,,,,,,,,,,2,2
Total,161,123,98,90,83,65,53,32,101,74,61,3,2
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Governor - Democrat,,,,3
