col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,1
,Tom Wolf,Allyson Y Schwartz,Katie Mcginty,Robert M Mccord,Barbara A Deeley,Jacqulyne Scott,Kathy Enggasser,Larry King,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,1
Tom Wolf,43,0,0,0,0,0,0,0,0,0,0,1
Allyson Y Schwartz,,27,0,0,0,0,0,0,0,0,0,1
Katie Mcginty,,,8,0,0,0,0,0,0,0,0,1
Robert M Mccord,,,,8,0,0,0,0,0,0,0,1
Barbara A Deeley,,,,,0,0,0,0,0,0,0,1
Jacqulyne Scott,,,,,,0,0,0,0,0,0,1
Kathy Enggasser,,,,,,,0,0,0,0,0,1
Larry King,,,,,,,,0,0,0,0,1
Louis Farinella,,,,,,,,,0,0,0,1
Mary Ann Quartullo,,,,,,,,,,0,0,1
Patrick Parkinson,,,,,,,,,,,0,1
Total,43,27,8,8,0,0,0,0,0,0,0,1
,Governor - Democrat,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,2
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Barbara A Deeley,Jacqulyne Scott,Kathy Enggasser,Larry King,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,2
Tom Wolf,49,0,0,0,0,0,0,0,0,0,0,2
Allyson Y Schwartz,,37,0,0,0,0,0,0,0,0,0,2
Robert M Mccord,,,9,0,0,0,0,0,0,0,0,2
Katie Mcginty,,,,4,0,0,0,0,0,0,0,2
Barbara A Deeley,,,,,0,0,0,0,0,0,0,2
Jacqulyne Scott,,,,,,0,0,0,0,0,0,2
Kathy Enggasser,,,,,,,0,0,0,0,0,2
Larry King,,,,,,,,0,0,0,0,2
Louis Farinella,,,,,,,,,0,0,0,2
Mary Ann Quartullo,,,,,,,,,,0,0,2
Patrick Parkinson,,,,,,,,,,,0,2
Total,49,37,9,4,0,0,0,0,0,0,0,2
,Governor - Democrat,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,3
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Barbara A Deeley,Jacqulyne Scott,Kathy Enggasser,Larry King,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,3
Tom Wolf,33,0,0,0,0,0,0,0,0,0,0,3
Allyson Y Schwartz,,22,0,0,0,0,0,0,0,0,0,3
Robert M Mccord,,,10,0,0,0,0,0,0,0,0,3
Katie Mcginty,,,,6,0,0,0,0,0,0,0,3
Barbara A Deeley,,,,,0,0,0,0,0,0,0,3
Jacqulyne Scott,,,,,,0,0,0,0,0,0,3
Kathy Enggasser,,,,,,,0,0,0,0,0,3
Larry King,,,,,,,,0,0,0,0,3
Louis Farinella,,,,,,,,,0,0,0,3
Mary Ann Quartullo,,,,,,,,,,0,0,3
Patrick Parkinson,,,,,,,,,,,0,3
Total,33,22,10,6,0,0,0,0,0,0,0,3
,Governor - Democrat,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,4
,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,Barbara A Deeley,Jacqulyne Scott,Kathy Enggasser,Larry King,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,4
Allyson Y Schwartz,38,0,0,0,0,0,0,0,0,0,0,4
Tom Wolf,,33,0,0,0,0,0,0,0,0,0,4
Robert M Mccord,,,12,0,0,0,0,0,0,0,0,4
Katie Mcginty,,,,5,0,0,0,0,0,0,0,4
Barbara A Deeley,,,,,0,0,0,0,0,0,0,4
Jacqulyne Scott,,,,,,0,0,0,0,0,0,4
Kathy Enggasser,,,,,,,0,0,0,0,0,4
Larry King,,,,,,,,0,0,0,0,4
Louis Farinella,,,,,,,,,0,0,0,4
Mary Ann Quartullo,,,,,,,,,,0,0,4
Patrick Parkinson,,,,,,,,,,,0,4
Total,38,33,12,5,0,0,0,0,0,0,0,4
,Governor - Democrat,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,5
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Barbara A Deeley,Jacqulyne Scott,Kathy Enggasser,Larry King,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,5
Tom Wolf,56,0,0,0,0,0,0,0,0,0,0,5
Allyson Y Schwartz,,35,0,0,0,0,0,0,0,0,0,5
Robert M Mccord,,,8,0,0,0,0,0,0,0,0,5
Katie Mcginty,,,,4,0,0,0,0,0,0,0,5
Barbara A Deeley,,,,,0,0,0,0,0,0,0,5
Jacqulyne Scott,,,,,,0,0,0,0,0,0,5
Kathy Enggasser,,,,,,,0,0,0,0,0,5
Larry King,,,,,,,,0,0,0,0,5
Louis Farinella,,,,,,,,,0,0,0,5
Mary Ann Quartullo,,,,,,,,,,0,0,5
Patrick Parkinson,,,,,,,,,,,0,5
Total,56,35,8,4,0,0,0,0,0,0,0,5
,Governor - Democrat,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,6
