col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,All
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,James Harrity,Marnie Aument Loughrey,Donna J Derose,Frank T Brzozowski,All
Tom Wolf,274,0,0,0,410,399,218,192,All
Allyson Y Schwartz,,175,0,0,212,199,218,160,All
Robert M Mccord,,,84,0,128,91,62,46,All
Katie Mcginty,,,,22,33,37,35,30,All
James Harrity,,,,,5,352,321,304,All
Marnie Aument Loughrey,,,,,,5,336,282,All
Donna J Derose,,,,,,,1,300,All
Frank T Brzozowski,,,,,,,,2,All
Total,996,592,281,83,789,733,538,433,All
,Governor - Democrat,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,1
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,James Harrity,Marnie Aument Loughrey,Donna J Derose,Frank T Brzozowski,1
Tom Wolf,12,0,0,0,16,13,9,5,1
Allyson Y Schwartz,,5,0,0,8,5,9,5,1
Robert M Mccord,,,3,0,6,3,2,1,1
Katie Mcginty,,,,0,3,2,2,4,1
James Harrity,,,,,0,16,14,13,1
Marnie Aument Loughrey,,,,,,0,14,13,1
Donna J Derose,,,,,,,0,12,1
Frank T Brzozowski,,,,,,,,0,1
Total,37,17,9,4,33,23,22,15,1
,Governor - Democrat,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,2
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Marnie Aument Loughrey,James Harrity,Frank T Brzozowski,Donna J Derose,2
Tom Wolf,8,0,0,0,17,15,11,7,2
Allyson Y Schwartz,,4,0,0,5,3,3,5,2
Robert M Mccord,,,2,0,3,6,1,1,2
Katie Mcginty,,,,0,0,0,0,0,2
Marnie Aument Loughrey,,,,,0,11,7,10,2
James Harrity,,,,,,0,7,10,2
Frank T Brzozowski,,,,,,,0,7,2
Donna J Derose,,,,,,,,0,2
Total,39,13,9,0,25,24,15,13,2
,Governor - Democrat,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,3
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Marnie Aument Loughrey,James Harrity,Donna J Derose,Frank T Brzozowski,3
Tom Wolf,9,0,0,0,11,9,6,6,3
Allyson Y Schwartz,,7,0,0,5,3,4,3,3
Robert M Mccord,,,4,0,1,2,0,0,3
Katie Mcginty,,,,0,4,2,2,3,3
Marnie Aument Loughrey,,,,,0,9,8,7,3
James Harrity,,,,,,0,10,7,3
Donna J Derose,,,,,,,0,7,3
Frank T Brzozowski,,,,,,,,0,3
Total,26,17,6,5,21,16,12,12,3
,Governor - Democrat,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,4
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,James Harrity,Marnie Aument Loughrey,Donna J Derose,Frank T Brzozowski,4
Tom Wolf,14,0,0,0,27,21,15,13,4
Allyson Y Schwartz,,9,0,0,9,6,4,5,4
Robert M Mccord,,,1,0,7,4,1,1,4
Katie Mcginty,,,,1,0,1,2,0,4
James Harrity,,,,,0,15,14,14,4
Marnie Aument Loughrey,,,,,,0,13,12,4
Donna J Derose,,,,,,,0,13,4
Frank T Brzozowski,,,,,,,,0,4
Total,55,24,13,3,43,32,22,19,4
,Member Of - Democratic State Committee 2nd Senatorial District,,,,Governor - Democrat,,,,5
,Marnie Aument Loughrey,James Harrity,Donna J Derose,Frank T Brzozowski,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,5
Marnie Aument Loughrey,0,9,11,9,14,8,2,2,5
James Harrity,,0,8,9,4,9,2,2,5
Donna J Derose,,,0,9,3,8,2,2,5
Frank T Brzozowski,,,,0,4,7,0,2,5
Tom Wolf,,,,,8,0,0,0,5
Allyson Y Schwartz,,,,,,8,0,0,5
Robert M Mccord,,,,,,,2,0,5
Katie Mcginty,,,,,,,,0,5
Total,27,17,16,13,26,23,7,3,5
,Member Of - Democratic State Committee 2nd Senatorial District,,,,Governor - Democrat,,,,6
,James Harrity,Marnie Aument Loughrey,Donna J Derose,Frank T Brzozowski,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,6
James Harrity,0,11,13,9,20,11,8,0,6
Marnie Aument Loughrey,,0,10,8,13,9,4,0,6
Donna J Derose,,,1,8,7,11,3,0,6
Frank T Brzozowski,,,,0,4,6,3,0,6
Tom Wolf,,,,,6,0,0,0,6
Allyson Y Schwartz,,,,,,4,0,0,6
Robert M Mccord,,,,,,,2,0,6
Katie Mcginty,,,,,,,,0,6
Total,40,27,23,14,39,26,13,0,6
,Governor - Democrat,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,7
