col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Marylouise Isaacson,Domenick demuro,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,All
Tom Wolf,"6,506",0,0,0,"5,686","5,023","4,098","3,421","2,990","2,897","2,454","2,341","2,149",All
Allyson Y Schwartz,,"4,757",0,0,"4,872","4,271","3,797","3,745","3,257","3,143","2,754","2,259","2,263",All
Robert M Mccord,,,"2,078",0,"2,557","2,201","2,049","1,874","1,337","1,563","1,441","1,152","1,101",All
Katie Mcginty,,,,618,541,528,472,580,470,464,419,368,295,All
Darrell L Clarke,,,,,55,"8,807","7,910","6,756","6,016","5,844","5,501","4,849","4,415",All
Matthew D Myers,,,,,,36,"8,020","6,738","6,671","6,048","5,546","5,116","4,880",All
Micah Mahjoubian,,,,,,,11,"6,597","5,708","5,564","5,385","4,686","4,170",All
Marylouise Isaacson,,,,,,,,2,"5,675","6,906","6,395","5,438","4,566",All
Domenick demuro,,,,,,,,,32,"4,943","4,745","4,758","3,804",All
Michelle L Rumbaugh,,,,,,,,,,3,"5,727","4,622","4,354",All
Nekisha Fulton,,,,,,,,,,,0,"4,608","3,785",All
Albert C Littlepage,,,,,,,,,,,,8,"3,468",All
Thomas J Rumbaugh,,,,,,,,,,,,,16,All
Total,"15,387","12,069","5,804","1,643","13,876","12,245","10,572","9,649","8,165","8,106","7,099","6,152","5,888",All
