col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Darrell L Clarke,Micah Mahjoubian,Matthew D Myers,Michelle L Rumbaugh,Marylouise Isaacson,Nekisha Fulton,Domenick demuro,Albert C Littlepage,Thomas J Rumbaugh,All
Latrice Y Bryant,139,321,314,303,252,233,151,124,121,124,6,0,0,0,0,0,0,0,0,0,All
Gwen Collins,,23,314,298,145,131,162,138,132,123,2,0,0,0,0,0,0,0,0,0,All
Barbara Carroll,,,7,321,141,119,136,116,115,122,2,0,0,0,0,0,0,0,0,0,All
Elaine Tomlin,,,,10,123,108,131,112,104,121,2,0,0,0,0,0,0,0,0,0,All
David Rodriguez,,,,,30,226,141,135,128,107,7,0,0,0,0,0,0,0,0,0,All
Edward M Lloyd Jr,,,,,,25,131,117,115,99,6,0,0,0,0,0,0,0,0,0,All
Karen Voss,,,,,,,9,132,131,120,1,0,0,0,0,0,0,0,0,0,All
Humberto Perez,,,,,,,,1,119,93,2,0,0,0,0,0,0,0,0,0,All
Louis Agre,,,,,,,,,7,88,2,0,0,0,0,0,0,0,0,0,All
Ruth I Birchett,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,All
Dawn Thomas,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,All
Darrell L Clarke,,,,,,,,,,,,28,25,20,19,18,18,19,13,6,All
Micah Mahjoubian,,,,,,,,,,,,,3,21,15,16,16,17,12,6,All
Matthew D Myers,,,,,,,,,,,,,,2,14,13,11,18,14,6,All
Michelle L Rumbaugh,,,,,,,,,,,,,,,0,21,19,13,15,7,All
Marylouise Isaacson,,,,,,,,,,,,,,,,1,20,13,14,8,All
Nekisha Fulton,,,,,,,,,,,,,,,,,0,14,14,8,All
Domenick demuro,,,,,,,,,,,,,,,,,,0,11,7,All
Albert C Littlepage,,,,,,,,,,,,,,,,,,,0,7,All
Thomas J Rumbaugh,,,,,,,,,,,,,,,,,,,,0,All
Total,649,411,385,373,324,292,202,166,166,162,11,63,32,28,27,25,23,22,19,8,All
