col_1,col_2,division
,Representative In The General Assembly 173rd District - Republican,All
,Mike Tomlinson,All
Mike Tomlinson,168,All
Total,168,All
,Representative In The General Assembly 173rd District - Republican,4
,Mike Tomlinson,4
Mike Tomlinson,18,4
Total,18,4
,Representative In The General Assembly 173rd District - Republican,6
,Mike Tomlinson,6
Mike Tomlinson,8,6
Total,8,6
,Representative In The General Assembly 173rd District - Republican,8
,Mike Tomlinson,8
Mike Tomlinson,11,8
Total,11,8
,Representative In The General Assembly 173rd District - Republican,9
,Mike Tomlinson,9
Mike Tomlinson,6,9
Total,6,9
,Representative In The General Assembly 173rd District - Republican,10
,Mike Tomlinson,10
Mike Tomlinson,4,10
Total,4,10
,Representative In The General Assembly 173rd District - Republican,11
,Mike Tomlinson,11
Mike Tomlinson,6,11
Total,6,11
,Representative In The General Assembly 173rd District - Republican,12
,Mike Tomlinson,12
Mike Tomlinson,9,12
Total,9,12
,Representative In The General Assembly 173rd District - Republican,13
,Mike Tomlinson,13
Mike Tomlinson,14,13
Total,14,13
,Representative In The General Assembly 173rd District - Republican,14
,Mike Tomlinson,14
Mike Tomlinson,4,14
Total,4,14
,Representative In The General Assembly 173rd District - Republican,15
,Mike Tomlinson,15
Mike Tomlinson,8,15
Total,8,15
,Representative In The General Assembly 173rd District - Republican,16
,Mike Tomlinson,16
Mike Tomlinson,8,16
Total,8,16
,Representative In The General Assembly 173rd District - Republican,17
,Mike Tomlinson,17
Mike Tomlinson,12,17
Total,12,17
,Representative In The General Assembly 173rd District - Republican,18
,Mike Tomlinson,18
Mike Tomlinson,12,18
Total,12,18
,Representative In The General Assembly 173rd District - Republican,20
,Mike Tomlinson,20
Mike Tomlinson,6,20
Total,6,20
,Representative In The General Assembly 173rd District - Republican,21
,Mike Tomlinson,21
Mike Tomlinson,7,21
Total,7,21
,Representative In The General Assembly 173rd District - Republican,22
,Mike Tomlinson,22
Mike Tomlinson,7,22
Total,7,22
,Representative In The General Assembly 173rd District - Republican,25
,Mike Tomlinson,25
Mike Tomlinson,17,25
Total,17,25
,Representative In The General Assembly 173rd District - Republican,26
,Mike Tomlinson,26
Mike Tomlinson,11,26
Total,11,26
