col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,1
,Robert A Brady,Matthew D Myers,Darrell L Clarke,Micah Mahjoubian,Thomas J Rumbaugh,Domenick demuro,Marylouise Isaacson,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,1
Robert A Brady,17,36,36,31,25,24,22,20,19,13,1
Matthew D Myers,,0,27,24,17,18,9,11,10,9,1
Darrell L Clarke,,,1,25,17,19,13,12,14,11,1
Micah Mahjoubian,,,,1,15,15,18,17,17,15,1
Thomas J Rumbaugh,,,,,2,15,8,11,9,8,1
Domenick demuro,,,,,,1,13,13,14,13,1
Marylouise Isaacson,,,,,,,1,16,17,14,1
Michelle L Rumbaugh,,,,,,,,1,15,12,1
Nekisha Fulton,,,,,,,,,0,14,1
Albert C Littlepage,,,,,,,,,,0,1
Total,77,39,38,35,28,25,25,23,20,15,1
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,2
,Robert A Brady,Marylouise Isaacson,Matthew D Myers,Michelle L Rumbaugh,Micah Mahjoubian,Darrell L Clarke,Nekisha Fulton,Thomas J Rumbaugh,Domenick demuro,Albert C Littlepage,2
Robert A Brady,15,41,40,40,41,40,31,32,29,28,2
Marylouise Isaacson,,0,32,38,29,30,33,24,28,30,2
Matthew D Myers,,,1,31,33,34,26,27,25,27,2
Michelle L Rumbaugh,,,,0,26,27,30,28,27,27,2
Micah Mahjoubian,,,,,0,33,25,23,22,24,2
Darrell L Clarke,,,,,,1,27,21,24,25,2
Nekisha Fulton,,,,,,,0,18,26,25,2
Thomas J Rumbaugh,,,,,,,,0,18,20,2
Domenick demuro,,,,,,,,,0,25,2
Albert C Littlepage,,,,,,,,,,0,2
Total,82,46,45,45,44,43,36,36,34,32,2
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,3
,Robert A Brady,Matthew D Myers,Darrell L Clarke,Micah Mahjoubian,Thomas J Rumbaugh,Domenick demuro,Michelle L Rumbaugh,Marylouise Isaacson,Nekisha Fulton,Albert C Littlepage,3
Robert A Brady,18,91,87,74,70,46,30,27,20,15,3
Matthew D Myers,,0,80,65,65,39,21,20,16,13,3
Darrell L Clarke,,,1,63,61,36,16,15,12,10,3
Micah Mahjoubian,,,,1,54,27,18,19,16,12,3
Thomas J Rumbaugh,,,,,0,36,21,20,17,13,3
Domenick demuro,,,,,,0,14,19,16,14,3
Michelle L Rumbaugh,,,,,,,0,21,17,11,3
Marylouise Isaacson,,,,,,,,2,20,14,3
Nekisha Fulton,,,,,,,,,0,13,3
Albert C Littlepage,,,,,,,,,,0,3
Total,134,91,88,76,71,46,31,30,20,15,3
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,4
,Robert A Brady,Matthew D Myers,Micah Mahjoubian,Darrell L Clarke,Thomas J Rumbaugh,Marylouise Isaacson,Domenick demuro,Michelle L Rumbaugh,Albert C Littlepage,Nekisha Fulton,4
Robert A Brady,19,52,50,48,39,33,31,28,26,26,4
Matthew D Myers,,0,44,41,32,27,26,19,23,25,4
Micah Mahjoubian,,,1,39,32,30,27,22,25,26,4
Darrell L Clarke,,,,2,26,22,22,14,21,20,4
Thomas J Rumbaugh,,,,,1,22,23,19,18,22,4
Marylouise Isaacson,,,,,,2,25,19,24,25,4
Domenick demuro,,,,,,,0,16,22,22,4
Michelle L Rumbaugh,,,,,,,,0,13,16,4
Albert C Littlepage,,,,,,,,,0,21,4
Nekisha Fulton,,,,,,,,,,0,4
Total,90,52,51,50,40,35,31,28,26,26,4
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,5
,Robert A Brady,Matthew D Myers,Micah Mahjoubian,Darrell L Clarke,Thomas J Rumbaugh,Domenick demuro,Marylouise Isaacson,Albert C Littlepage,Nekisha Fulton,Michelle L Rumbaugh,5
Robert A Brady,3,36,38,33,23,15,13,10,9,8,5
Matthew D Myers,,2,34,32,24,17,15,12,11,10,5
Micah Mahjoubian,,,0,34,22,17,15,13,10,10,5
Darrell L Clarke,,,,0,20,15,13,10,8,8,5
Thomas J Rumbaugh,,,,,0,11,9,6,7,7,5
Domenick demuro,,,,,,0,14,11,9,9,5
Marylouise Isaacson,,,,,,,0,11,11,10,5
Albert C Littlepage,,,,,,,,0,7,7,5
Nekisha Fulton,,,,,,,,,0,8,5
Michelle L Rumbaugh,,,,,,,,,,0,5
Total,49,41,41,35,26,18,16,13,11,10,5
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,6
,Robert A Brady,Matthew D Myers,Darrell L Clarke,Thomas J Rumbaugh,Domenick demuro,Marylouise Isaacson,Micah Mahjoubian,Michelle L Rumbaugh,Albert C Littlepage,Nekisha Fulton,6
Robert A Brady,7,25,26,20,12,11,13,11,9,5,6
Matthew D Myers,,3,22,15,11,9,11,11,8,5,6
Darrell L Clarke,,,0,16,10,9,11,11,8,5,6
Thomas J Rumbaugh,,,,0,8,5,5,8,4,2,6
Domenick demuro,,,,,0,8,5,8,8,3,6
Marylouise Isaacson,,,,,,0,8,9,10,6,6
Micah Mahjoubian,,,,,,,0,7,7,4,6
Michelle L Rumbaugh,,,,,,,,0,7,6,6
Albert C Littlepage,,,,,,,,,0,4,6
Nekisha Fulton,,,,,,,,,,0,6
Total,44,28,26,21,14,13,13,12,10,6,6
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,7
,Robert A Brady,Michelle L Rumbaugh,Thomas J Rumbaugh,Matthew D Myers,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Micah Mahjoubian,Albert C Littlepage,Nekisha Fulton,7
Robert A Brady,8,23,19,17,17,11,9,9,7,8,7
Michelle L Rumbaugh,,0,20,13,10,9,9,5,7,6,7
Thomas J Rumbaugh,,,1,9,8,6,7,4,5,4,7
Matthew D Myers,,,,0,12,9,8,8,6,7,7
Darrell L Clarke,,,,,0,8,8,7,6,7,7
Domenick demuro,,,,,,1,8,6,6,6,7
Marylouise Isaacson,,,,,,,1,5,8,7,7
Micah Mahjoubian,,,,,,,,0,3,4,7
Albert C Littlepage,,,,,,,,,0,5,7
Nekisha Fulton,,,,,,,,,,0,7
Total,41,24,21,19,17,12,11,10,8,8,7
,Representative In Congress 1st District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,8
,Robert A Brady,Matthew D Myers,Darrell L Clarke,Micah Mahjoubian,Domenick demuro,Thomas J Rumbaugh,Michelle L Rumbaugh,Marylouise Isaacson,Nekisha Fulton,Albert C Littlepage,8
Robert A Brady,5,40,35,33,24,26,26,22,19,16,8
Matthew D Myers,,0,35,33,25,23,23,23,20,18,8
Darrell L Clarke,,,0,31,21,18,20,20,16,16,8
Micah Mahjoubian,,,,1,19,18,22,21,20,17,8
Domenick demuro,,,,,1,10,17,19,16,16,8
Thomas J Rumbaugh,,,,,,1,17,12,11,7,8
Michelle L Rumbaugh,,,,,,,0,19,18,14,8
Marylouise Isaacson,,,,,,,,0,18,16,8
Nekisha Fulton,,,,,,,,,0,13,8
Albert C Littlepage,,,,,,,,,,1,8
Total,62,44,39,38,29,29,28,26,22,20,8
