col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,All
,Stephen Kinsey,Lamont Thomas,Cindy Bass,Jalila D Parker,Sherrie Cohen,Nedia S Ralston,Janet Thompson,Ron Couser,Bill Durham,M Karen Bojar,All
Stephen Kinsey,205,0,"1,092",934,641,688,443,392,370,299,All
Lamont Thomas,,105,409,452,360,303,253,192,174,176,All
Cindy Bass,,,62,889,653,676,601,506,458,408,All
Jalila D Parker,,,,30,609,784,515,444,387,364,All
Sherrie Cohen,,,,,23,460,453,413,362,363,All
Nedia S Ralston,,,,,,4,341,310,247,297,All
Janet Thompson,,,,,,,6,351,369,283,All
Ron Couser,,,,,,,,6,350,251,All
Bill Durham,,,,,,,,,1,192,All
M Karen Bojar,,,,,,,,,,6,All
Total,"1,854",858,"1,612","1,453","1,051","1,030",721,605,556,499,All
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,1
,Stephen Kinsey,Lamont Thomas,Jalila D Parker,Cindy Bass,Sherrie Cohen,Nedia S Ralston,Janet Thompson,Bill Durham,Ron Couser,M Karen Bojar,1
Stephen Kinsey,5,0,20,25,16,15,6,8,8,6,1
Lamont Thomas,,5,20,12,16,11,10,8,7,6,1
Jalila D Parker,,,1,18,19,18,12,12,14,7,1
Cindy Bass,,,,2,14,13,13,12,13,8,1
Sherrie Cohen,,,,,2,13,10,9,12,6,1
Nedia S Ralston,,,,,,0,5,8,8,8,1
Janet Thompson,,,,,,,0,10,10,4,1
Bill Durham,,,,,,,,0,11,6,1
Ron Couser,,,,,,,,,0,5,1
M Karen Bojar,,,,,,,,,,0,1
Total,50,42,41,40,35,27,17,16,15,13,1
,Representative In The General Assembly 201st District - Democrat,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,2
,Stephen Kinsey,Lamont Thomas,Cindy Bass,Jalila D Parker,Sherrie Cohen,Nedia S Ralston,Janet Thompson,Ron Couser,M Karen Bojar,Bill Durham,2
Stephen Kinsey,6,0,54,44,31,32,16,16,10,11,2
Lamont Thomas,,4,25,31,31,20,16,9,11,10,2
Cindy Bass,,,2,41,35,32,31,24,20,17,2
Jalila D Parker,,,,3,36,37,21,21,16,15,2
Sherrie Cohen,,,,,2,30,28,21,20,15,2
Nedia S Ralston,,,,,,0,17,15,15,9,2
Janet Thompson,,,,,,,1,17,13,16,2
Ron Couser,,,,,,,,0,12,13,2
M Karen Bojar,,,,,,,,,0,4,2
Bill Durham,,,,,,,,,,0,2
Total,89,58,84,79,64,53,34,27,22,21,2
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Representative In The General Assembly 201st District - Democrat,,3
,Jalila D Parker,Cindy Bass,Nedia S Ralston,Sherrie Cohen,Bill Durham,Janet Thompson,Ron Couser,M Karen Bojar,Stephen Kinsey,Lamont Thomas,3
Jalila D Parker,3,29,27,19,17,14,15,14,38,17,3
Cindy Bass,,2,18,18,15,13,13,10,31,11,3
Nedia S Ralston,,,0,13,7,8,11,11,25,9,3
Sherrie Cohen,,,,0,11,12,12,11,18,13,3
Bill Durham,,,,,0,11,9,5,15,4,3
Janet Thompson,,,,,,0,5,7,13,5,3
Ron Couser,,,,,,,0,7,11,4,3
M Karen Bojar,,,,,,,,0,8,5,3
Stephen Kinsey,,,,,,,,,0,0,3
Lamont Thomas,,,,,,,,,,2,3
Total,60,45,36,32,19,18,16,14,54,33,3
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Representative In The General Assembly 201st District - Democrat,,4
,Cindy Bass,Jalila D Parker,Sherrie Cohen,Nedia S Ralston,Janet Thompson,Ron Couser,Bill Durham,M Karen Bojar,Stephen Kinsey,Lamont Thomas,4
Cindy Bass,3,83,61,64,52,53,49,41,84,47,4
Jalila D Parker,,2,55,63,45,45,35,34,66,42,4
Sherrie Cohen,,,1,43,35,39,35,31,49,28,4
Nedia S Ralston,,,,0,29,30,24,28,43,32,4
Janet Thompson,,,,,1,35,30,26,39,19,4
Ron Couser,,,,,,0,32,29,39,19,4
Bill Durham,,,,,,,0,19,35,16,4
M Karen Bojar,,,,,,,,0,24,20,4
Stephen Kinsey,,,,,,,,,8,0,4
Lamont Thomas,,,,,,,,,,5,4
Total,137,114,80,78,61,59,53,46,126,68,4
