col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In The General Assembly 202nd District - Democrat,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,All
,Jared Solomon,Mark B Cohen,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Jacqulyne Scott,Larry King,All
Jared Solomon,133,0,206,139,127,106,110,1,1,All
Mark B Cohen,,103,167,110,85,82,74,10,3,All
Kathy Enggasser,,,3,161,159,144,150,7,4,All
Louis Farinella,,,,0,132,137,134,8,4,All
Barbara A Deeley,,,,,3,130,142,6,4,All
Patrick Parkinson,,,,,,4,136,7,4,All
Mary Ann Quartullo,,,,,,,2,6,4,All
Jacqulyne Scott,,,,,,,,0,0,All
Larry King,,,,,,,,,0,All
Total,440,363,380,252,217,194,187,11,4,All
