col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,All
,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Jalila D Parker,Cindy Bass,Nedia S Ralston,Sherrie Cohen,Janet Thompson,Ron Couser,Bill Durham,M Karen Bojar,All
Latrice Y Bryant,303,502,474,453,378,350,341,292,269,255,2,0,0,0,0,0,0,0,0,All
Gwen Collins,,44,487,475,340,307,357,299,282,267,2,0,0,0,0,0,0,0,0,All
Barbara Carroll,,,6,475,311,291,331,282,263,264,2,0,0,0,0,0,0,0,0,All
Elaine Tomlin,,,,12,311,290,324,276,258,252,2,0,0,0,0,0,0,0,0,All
David Rodriguez,,,,,53,344,316,301,270,240,3,0,0,0,0,0,0,0,0,All
Edward M Lloyd Jr,,,,,,25,285,263,246,214,1,0,0,0,0,0,0,0,0,All
Karen Voss,,,,,,,5,289,269,257,1,0,0,0,0,0,0,0,0,All
Humberto Perez,,,,,,,,8,257,209,1,0,0,0,0,0,0,0,0,All
Louis Agre,,,,,,,,,12,199,1,0,0,0,0,0,0,0,0,All
Ruth I Birchett,,,,,,,,,,8,1,0,0,0,0,0,0,0,0,All
Dawn Thomas,,,,,,,,,,,1,0,0,0,0,0,0,0,0,All
Jalila D Parker,,,,,,,,,,,,128,376,420,235,165,153,154,129,All
Cindy Bass,,,,,,,,,,,,,162,322,214,170,165,164,127,All
Nedia S Ralston,,,,,,,,,,,,,,42,200,123,130,116,100,All
Sherrie Cohen,,,,,,,,,,,,,,,87,135,136,133,120,All
Janet Thompson,,,,,,,,,,,,,,,,7,100,125,83,All
Ron Couser,,,,,,,,,,,,,,,,,10,119,92,All
Bill Durham,,,,,,,,,,,,,,,,,,7,58,All
M Karen Bojar,,,,,,,,,,,,,,,,,,,9,All
Total,968,656,577,564,506,430,417,370,342,321,5,667,647,511,393,221,213,208,170,All
