col_1,col_2,division
,Senator In The General Assembly 2nd District - Republican,All
,John Jenkins,All
John Jenkins,228,All
Total,228,All
,Senator In The General Assembly 2nd District - Republican,1
,John Jenkins,1
John Jenkins,19,1
Total,19,1
,Senator In The General Assembly 2nd District - Republican,2
,John Jenkins,2
John Jenkins,20,2
Total,20,2
,Senator In The General Assembly 2nd District - Republican,3
,John Jenkins,3
John Jenkins,7,3
Total,7,3
,Senator In The General Assembly 2nd District - Republican,4
,John Jenkins,4
John Jenkins,12,4
Total,12,4
,Senator In The General Assembly 2nd District - Republican,5
,John Jenkins,5
John Jenkins,41,5
Total,41,5
,Senator In The General Assembly 2nd District - Republican,6
,John Jenkins,6
John Jenkins,7,6
Total,7,6
,Senator In The General Assembly 2nd District - Republican,7
,John Jenkins,7
John Jenkins,11,7
Total,11,7
,Senator In The General Assembly 2nd District - Republican,8
,John Jenkins,8
John Jenkins,5,8
Total,5,8
,Senator In The General Assembly 2nd District - Republican,9
,John Jenkins,9
John Jenkins,10,9
Total,10,9
,Senator In The General Assembly 2nd District - Republican,10
,John Jenkins,10
John Jenkins,9,10
Total,9,10
,Senator In The General Assembly 2nd District - Republican,11
,John Jenkins,11
John Jenkins,13,11
Total,13,11
,Senator In The General Assembly 2nd District - Republican,12
,John Jenkins,12
John Jenkins,13,12
Total,13,12
,Senator In The General Assembly 2nd District - Republican,13
,John Jenkins,13
John Jenkins,2,13
Total,2,13
,Senator In The General Assembly 2nd District - Republican,14
,John Jenkins,14
John Jenkins,1,14
Total,1,14
,Senator In The General Assembly 2nd District - Republican,15
,John Jenkins,15
John Jenkins,1,15
Total,1,15
,Senator In The General Assembly 2nd District - Republican,16
,John Jenkins,16
John Jenkins,1,16
Total,1,16
,Senator In The General Assembly 2nd District - Republican,17
,John Jenkins,17
John Jenkins,1,17
Total,1,17
,Senator In The General Assembly 2nd District - Republican,18
,John Jenkins,18
John Jenkins,1,18
Total,1,18
,Senator In The General Assembly 2nd District - Republican,19
,John Jenkins,19
John Jenkins,2,19
Total,2,19
,Senator In The General Assembly 2nd District - Republican,20
,John Jenkins,20
John Jenkins,13,20
Total,13,20
,Senator In The General Assembly 2nd District - Republican,21
,John Jenkins,21
John Jenkins,2,21
Total,2,21
,Senator In The General Assembly 2nd District - Republican,22
,John Jenkins,22
John Jenkins,3,22
Total,3,22
,Senator In The General Assembly 2nd District - Republican,24
,John Jenkins,24
John Jenkins,7,24
Total,7,24
,Senator In The General Assembly 2nd District - Republican,25
,John Jenkins,25
John Jenkins,4,25
Total,4,25
,Senator In The General Assembly 2nd District - Republican,26
,John Jenkins,26
John Jenkins,2,26
Total,2,26
,Senator In The General Assembly 2nd District - Republican,27
,John Jenkins,27
John Jenkins,2,27
Total,2,27
,Senator In The General Assembly 2nd District - Republican,29
,John Jenkins,29
John Jenkins,2,29
Total,2,29
,Senator In The General Assembly 2nd District - Republican,30
,John Jenkins,30
John Jenkins,3,30
Total,3,30
,Senator In The General Assembly 2nd District - Republican,31
,John Jenkins,31
John Jenkins,2,31
Total,2,31
,Senator In The General Assembly 2nd District - Republican,32
,John Jenkins,32
John Jenkins,12,32
Total,12,32
