col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
,Chaka Fattah,Latrice Y Bryant,David Rodriguez,Barbara Carroll,Edward M Lloyd Jr,Elaine Tomlin,Gwen Collins,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,4
Chaka Fattah,18,85,48,44,43,42,42,36,33,25,25,1,4
Latrice Y Bryant,,7,32,37,38,34,36,28,27,19,23,1,4
David Rodriguez,,,0,31,33,29,29,27,27,22,18,0,4
Barbara Carroll,,,,0,31,39,36,29,29,21,24,1,4
Edward M Lloyd Jr,,,,,2,30,33,27,29,22,23,1,4
Elaine Tomlin,,,,,,0,35,27,31,24,22,0,4
Gwen Collins,,,,,,,0,27,31,23,22,0,4
Humberto Perez,,,,,,,,0,25,20,18,0,4
Karen Voss,,,,,,,,,0,22,20,0,4
Louis Agre,,,,,,,,,,0,14,0,4
Ruth I Birchett,,,,,,,,,,,0,1,4
Dawn Thomas,,,,,,,,,,,,0,4
Total,131,95,50,47,46,44,44,38,34,26,26,1,4
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,5
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,5
Chaka Fattah,19,95,57,50,51,37,33,30,28,25,23,0,5
Latrice Y Bryant,,7,54,48,48,31,30,30,26,23,22,0,5
Barbara Carroll,,,1,49,49,27,25,29,27,24,24,0,5
Gwen Collins,,,,1,43,23,22,28,22,22,19,0,5
Elaine Tomlin,,,,,0,25,24,26,23,22,20,0,5
David Rodriguez,,,,,,1,30,25,24,24,18,0,5
Edward M Lloyd Jr,,,,,,,0,24,23,23,17,0,5
Karen Voss,,,,,,,,0,24,24,20,0,5
Humberto Perez,,,,,,,,,0,23,17,0,5
Louis Agre,,,,,,,,,,0,17,0,5
Ruth I Birchett,,,,,,,,,,,0,0,5
Dawn Thomas,,,,,,,,,,,,0,5
Total,126,104,60,54,53,38,34,33,30,27,25,0,5
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,6
,Chaka Fattah,Latrice Y Bryant,Edward M Lloyd Jr,David Rodriguez,Gwen Collins,Barbara Carroll,Elaine Tomlin,Ruth I Birchett,Humberto Perez,Karen Voss,Louis Agre,Dawn Thomas,6
Chaka Fattah,33,40,20,20,20,19,15,12,12,10,9,1,6
Latrice Y Bryant,,2,15,15,15,17,16,12,11,11,8,0,6
Edward M Lloyd Jr,,,4,15,9,11,10,10,9,11,10,0,6
David Rodriguez,,,,3,10,12,10,10,10,10,9,0,6
Gwen Collins,,,,,1,16,13,10,8,9,7,0,6
Barbara Carroll,,,,,,0,15,13,12,12,8,0,6
Elaine Tomlin,,,,,,,0,10,9,11,7,0,6
Ruth I Birchett,,,,,,,,0,10,12,7,0,6
Humberto Perez,,,,,,,,,0,9,5,0,6
Karen Voss,,,,,,,,,,0,8,0,6
Louis Agre,,,,,,,,,,,1,0,6
Dawn Thomas,,,,,,,,,,,,0,6
Total,94,44,27,25,24,22,18,15,13,13,12,1,6
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,7
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Gwen Collins,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Ruth I Birchett,Karen Voss,Louis Agre,Humberto Perez,Dawn Thomas,7
Chaka Fattah,11,38,20,18,16,14,13,11,9,7,5,0,7
Latrice Y Bryant,,1,8,12,13,9,10,7,8,5,4,0,7
Barbara Carroll,,,0,12,6,10,6,5,7,4,4,0,7
Gwen Collins,,,,0,7,11,7,7,9,5,5,0,7
David Rodriguez,,,,,1,5,10,4,6,4,4,0,7
Elaine Tomlin,,,,,,1,5,5,6,2,2,0,7
Edward M Lloyd Jr,,,,,,,0,4,6,4,4,0,7
Ruth I Birchett,,,,,,,,0,6,5,4,0,7
Karen Voss,,,,,,,,,0,4,4,0,7
Louis Agre,,,,,,,,,,0,4,0,7
Humberto Perez,,,,,,,,,,,0,0,7
Dawn Thomas,,,,,,,,,,,,0,7
Total,75,41,20,19,18,15,13,11,10,7,5,0,7
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,8
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,David Rodriguez,Ruth I Birchett,Humberto Perez,Louis Agre,Dawn Thomas,8
Chaka Fattah,12,43,32,30,26,18,17,15,15,14,13,1,8
Latrice Y Bryant,,2,29,26,24,16,13,14,14,14,13,0,8
Barbara Carroll,,,0,25,24,15,12,13,14,13,12,0,8
Gwen Collins,,,,0,21,15,14,14,12,13,13,1,8
Elaine Tomlin,,,,,0,11,9,10,11,10,10,0,8
Edward M Lloyd Jr,,,,,,1,11,12,14,14,13,0,8
Karen Voss,,,,,,,0,10,11,11,11,1,8
David Rodriguez,,,,,,,,0,11,12,12,0,8
Ruth I Birchett,,,,,,,,,0,13,12,0,8
Humberto Perez,,,,,,,,,,0,13,0,8
Louis Agre,,,,,,,,,,,0,0,8
Dawn Thomas,,,,,,,,,,,,0,8
Total,65,46,32,31,27,20,17,16,16,15,14,1,8
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,9
,Chaka Fattah,Latrice Y Bryant,David Rodriguez,Edward M Lloyd Jr,Barbara Carroll,Gwen Collins,Elaine Tomlin,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,9
Chaka Fattah,15,58,34,30,29,30,25,20,17,15,16,1,9
Latrice Y Bryant,,2,27,28,27,27,23,18,14,14,14,0,9
David Rodriguez,,,1,23,11,16,13,15,15,15,12,1,9
Edward M Lloyd Jr,,,,0,14,17,12,15,14,13,11,0,9
Barbara Carroll,,,,,0,21,20,11,10,10,9,0,9
Gwen Collins,,,,,,1,20,16,15,14,13,0,9
Elaine Tomlin,,,,,,,0,13,11,11,9,0,9
Karen Voss,,,,,,,,0,14,13,12,0,9
Humberto Perez,,,,,,,,,0,14,10,0,9
Louis Agre,,,,,,,,,,1,10,0,9
Ruth I Birchett,,,,,,,,,,,0,0,9
Dawn Thomas,,,,,,,,,,,,0,9
Total,92,66,38,33,31,31,25,21,17,17,16,1,9
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,10
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,Edward M Lloyd Jr,David Rodriguez,Humberto Perez,Ruth I Birchett,Karen Voss,Louis Agre,Dawn Thomas,10
Chaka Fattah,19,59,33,30,30,18,20,11,11,9,8,0,10
Latrice Y Bryant,,2,30,26,30,17,16,11,11,10,8,0,10
Barbara Carroll,,,0,25,27,12,10,9,10,8,6,0,10
Gwen Collins,,,,0,24,12,11,9,8,9,6,0,10
Elaine Tomlin,,,,,0,14,12,11,9,10,8,0,10
Edward M Lloyd Jr,,,,,,3,14,11,10,10,8,0,10
David Rodriguez,,,,,,,0,11,9,10,8,0,10
Humberto Perez,,,,,,,,0,8,9,7,0,10
Ruth I Birchett,,,,,,,,,0,7,5,0,10
Karen Voss,,,,,,,,,,0,6,0,10
Louis Agre,,,,,,,,,,,0,0,10
Dawn Thomas,,,,,,,,,,,,0,10
Total,93,62,35,33,31,23,21,12,12,10,9,0,10
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,11
,Chaka Fattah,Latrice Y Bryant,Elaine Tomlin,Gwen Collins,Barbara Carroll,Ruth I Birchett,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Dawn Thomas,11
Chaka Fattah,15,39,28,27,25,17,16,15,10,10,10,0,11
Latrice Y Bryant,,0,26,24,25,14,11,13,9,8,9,0,11
Elaine Tomlin,,,1,24,26,12,9,11,9,8,9,0,11
Gwen Collins,,,,0,22,11,9,10,8,7,7,0,11
Barbara Carroll,,,,,0,11,8,9,9,7,8,0,11
Ruth I Birchett,,,,,,0,8,8,6,5,7,0,11
David Rodriguez,,,,,,,0,11,8,7,8,0,11
Edward M Lloyd Jr,,,,,,,,1,8,7,9,0,11
Humberto Perez,,,,,,,,,0,5,8,0,11
Karen Voss,,,,,,,,,,0,6,0,11
Louis Agre,,,,,,,,,,,0,0,11
Dawn Thomas,,,,,,,,,,,,0,11
Total,67,40,30,28,26,17,16,16,10,10,10,0,11
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,12
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,Edward M Lloyd Jr,David Rodriguez,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,12
Chaka Fattah,21,36,23,23,21,19,19,16,13,13,9,1,12
Latrice Y Bryant,,0,20,22,20,15,14,13,14,13,10,0,12
Barbara Carroll,,,1,19,20,10,12,12,12,11,9,1,12
Gwen Collins,,,,0,17,11,12,14,14,13,8,1,12
Elaine Tomlin,,,,,0,9,10,11,10,11,9,1,12
Edward M Lloyd Jr,,,,,,2,13,9,10,10,6,0,12
David Rodriguez,,,,,,,0,11,10,10,7,0,12
Karen Voss,,,,,,,,0,12,13,8,0,12
Humberto Perez,,,,,,,,,0,12,7,0,12
Louis Agre,,,,,,,,,,0,8,0,12
Ruth I Birchett,,,,,,,,,,,0,0,12
Dawn Thomas,,,,,,,,,,,,0,12
Total,77,41,26,25,24,23,20,17,16,15,11,1,12
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,13
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Edward M Lloyd Jr,David Rodriguez,Karen Voss,Elaine Tomlin,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,13
Chaka Fattah,11,57,39,35,32,30,27,25,25,19,12,0,13
Latrice Y Bryant,,0,37,30,26,26,23,21,22,17,10,0,13
Gwen Collins,,,1,32,22,24,23,21,22,16,11,0,13
Barbara Carroll,,,,0,17,19,18,20,17,14,10,0,13
Edward M Lloyd Jr,,,,,0,20,21,11,21,17,9,0,13
David Rodriguez,,,,,,0,22,13,21,17,9,0,13
Karen Voss,,,,,,,0,13,20,18,8,0,13
Elaine Tomlin,,,,,,,,0,10,11,9,0,13
Humberto Perez,,,,,,,,,1,15,8,0,13
Louis Agre,,,,,,,,,,0,8,0,13
Ruth I Birchett,,,,,,,,,,,0,0,13
Dawn Thomas,,,,,,,,,,,,0,13
Total,83,60,43,38,33,31,28,27,27,21,13,0,13
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,14
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Karen Voss,Edward M Lloyd Jr,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,14
Chaka Fattah,27,69,57,54,50,28,25,26,20,19,10,1,14
Latrice Y Bryant,,3,48,45,41,19,20,19,16,17,9,0,14
Gwen Collins,,,0,47,46,19,24,17,19,20,11,0,14
Barbara Carroll,,,,0,44,15,20,15,15,16,8,0,14
Elaine Tomlin,,,,,1,15,18,13,13,15,9,0,14
David Rodriguez,,,,,,1,19,16,15,14,8,0,14
Karen Voss,,,,,,,1,17,16,18,10,0,14
Edward M Lloyd Jr,,,,,,,,0,13,14,6,0,14
Humberto Perez,,,,,,,,,0,17,8,0,14
Louis Agre,,,,,,,,,,0,10,0,14
Ruth I Birchett,,,,,,,,,,,0,0,14
Dawn Thomas,,,,,,,,,,,,0,14
Total,127,72,61,56,53,30,28,26,23,21,11,1,14
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,15
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,15
Chaka Fattah,18,62,45,42,41,40,40,36,33,33,13,0,15
Latrice Y Bryant,,1,42,40,40,38,39,34,33,32,12,0,15
Gwen Collins,,,1,43,43,36,37,34,34,33,13,0,15
Barbara Carroll,,,,0,41,36,35,35,34,33,11,0,15
Elaine Tomlin,,,,,1,34,35,33,33,32,11,0,15
David Rodriguez,,,,,,0,37,34,33,33,10,0,15
Edward M Lloyd Jr,,,,,,,0,31,31,30,10,0,15
Humberto Perez,,,,,,,,0,32,32,10,0,15
Karen Voss,,,,,,,,,0,31,9,0,15
Louis Agre,,,,,,,,,,0,8,0,15
Ruth I Birchett,,,,,,,,,,,0,0,15
Dawn Thomas,,,,,,,,,,,,0,15
Total,89,65,49,45,44,42,42,37,34,34,13,0,15
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,16
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,Barbara Carroll,Edward M Lloyd Jr,David Rodriguez,Karen Voss,Ruth I Birchett,Louis Agre,Humberto Perez,Dawn Thomas,16
Chaka Fattah,16,53,44,42,41,19,19,14,13,10,8,1,16
Latrice Y Bryant,,1,36,36,34,15,16,12,12,10,8,1,16
Gwen Collins,,,0,36,36,14,13,12,13,10,8,1,16
Elaine Tomlin,,,,0,38,10,11,9,9,8,5,0,16
Barbara Carroll,,,,,0,13,13,11,11,10,7,0,16
Edward M Lloyd Jr,,,,,,2,15,10,12,9,8,0,16
David Rodriguez,,,,,,,0,10,11,10,7,0,16
Karen Voss,,,,,,,,0,9,8,5,1,16
Ruth I Birchett,,,,,,,,,0,9,7,0,16
Louis Agre,,,,,,,,,,0,5,0,16
Humberto Perez,,,,,,,,,,,0,0,16
Dawn Thomas,,,,,,,,,,,,0,16
Total,82,54,44,42,41,21,19,14,13,10,8,1,16
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,17
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Ruth I Birchett,Louis Agre,Dawn Thomas,17
Chaka Fattah,15,52,47,44,40,32,21,21,18,19,17,1,17
Latrice Y Bryant,,2,37,33,35,23,18,16,13,17,14,1,17
Barbara Carroll,,,0,38,40,20,14,16,15,16,15,1,17
Gwen Collins,,,,0,35,18,14,17,15,15,15,1,17
Elaine Tomlin,,,,,0,18,16,15,14,16,14,1,17
David Rodriguez,,,,,,1,22,17,18,15,16,1,17
Edward M Lloyd Jr,,,,,,,0,12,14,12,13,1,17
Karen Voss,,,,,,,,0,15,13,14,1,17
Humberto Perez,,,,,,,,,0,11,15,1,17
Ruth I Birchett,,,,,,,,,,0,13,0,17
Louis Agre,,,,,,,,,,,0,0,17
Dawn Thomas,,,,,,,,,,,,0,17
Total,91,55,50,47,45,37,25,22,20,19,17,1,17
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,18
,Chaka Fattah,Gwen Collins,Barbara Carroll,Latrice Y Bryant,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,18
Chaka Fattah,26,108,105,100,90,85,81,75,74,68,59,1,18
Gwen Collins,,1,106,80,89,79,78,77,76,71,58,0,18
Barbara Carroll,,,0,81,91,80,78,77,77,71,60,0,18
Latrice Y Bryant,,,,4,66,63,61,54,54,48,36,0,18
Elaine Tomlin,,,,,0,68,65,65,65,59,47,0,18
David Rodriguez,,,,,,1,81,75,75,69,55,1,18
Edward M Lloyd Jr,,,,,,,1,73,73,68,53,0,18
Karen Voss,,,,,,,,0,73,68,53,0,18
Humberto Perez,,,,,,,,,0,68,53,0,18
Louis Agre,,,,,,,,,,0,49,0,18
Ruth I Birchett,,,,,,,,,,,0,0,18
Dawn Thomas,,,,,,,,,,,,0,18
Total,168,114,110,110,93,92,87,79,78,72,61,1,18
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,19
,Chaka Fattah,Latrice Y Bryant,Barbara Carroll,Elaine Tomlin,Gwen Collins,David Rodriguez,Karen Voss,Edward M Lloyd Jr,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,19
Chaka Fattah,31,61,35,32,33,24,24,21,19,15,13,2,19
Latrice Y Bryant,,4,33,30,30,21,19,20,18,13,11,1,19
Barbara Carroll,,,0,29,32,11,15,12,13,10,9,1,19
Elaine Tomlin,,,,1,27,14,14,14,15,12,10,1,19
Gwen Collins,,,,,1,12,16,13,14,12,11,1,19
David Rodriguez,,,,,,2,14,19,16,11,9,0,19
Karen Voss,,,,,,,1,15,17,13,10,1,19
Edward M Lloyd Jr,,,,,,,,2,16,12,8,1,19
Humberto Perez,,,,,,,,,0,13,9,1,19
Louis Agre,,,,,,,,,,0,8,1,19
Ruth I Birchett,,,,,,,,,,,0,0,19
Dawn Thomas,,,,,,,,,,,,0,19
Total,108,70,39,36,36,27,27,23,19,15,14,2,19
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,20
,Chaka Fattah,Latrice Y Bryant,Elaine Tomlin,Gwen Collins,Barbara Carroll,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,20
Chaka Fattah,17,67,41,42,41,36,29,25,23,21,19,0,20
Latrice Y Bryant,,1,38,35,38,26,23,23,22,18,17,0,20
Elaine Tomlin,,,3,33,35,21,21,22,20,17,16,0,20
Gwen Collins,,,,1,35,25,21,24,22,20,18,0,20
Barbara Carroll,,,,,0,23,19,22,20,18,16,0,20
David Rodriguez,,,,,,0,25,25,23,20,19,0,20
Edward M Lloyd Jr,,,,,,,1,23,21,18,17,0,20
Humberto Perez,,,,,,,,0,24,21,20,0,20
Karen Voss,,,,,,,,,0,19,18,0,20
Louis Agre,,,,,,,,,,0,15,0,20
Ruth I Birchett,,,,,,,,,,,0,0,20
Dawn Thomas,,,,,,,,,,,,0,20
Total,102,70,44,44,43,37,31,26,24,22,20,0,20
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,21
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,Barbara Carroll,David Rodriguez,Humberto Perez,Edward M Lloyd Jr,Louis Agre,Karen Voss,Ruth I Birchett,Dawn Thomas,21
Chaka Fattah,23,54,40,39,37,25,23,24,23,19,20,2,21
Latrice Y Bryant,,0,35,30,31,23,21,20,21,17,17,1,21
Gwen Collins,,,0,30,31,18,20,17,20,17,16,0,21
Elaine Tomlin,,,,0,30,19,19,17,19,15,17,0,21
Barbara Carroll,,,,,0,17,18,16,18,14,15,0,21
David Rodriguez,,,,,,0,17,19,18,15,16,2,21
Humberto Perez,,,,,,,0,15,19,14,14,0,21
Edward M Lloyd Jr,,,,,,,,0,16,14,14,1,21
Louis Agre,,,,,,,,,0,16,16,0,21
Karen Voss,,,,,,,,,,0,12,0,21
Ruth I Birchett,,,,,,,,,,,0,0,21
Dawn Thomas,,,,,,,,,,,,0,21
Total,98,55,42,40,38,26,25,24,24,20,20,3,21
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,22
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,22
Chaka Fattah,26,78,45,46,45,25,25,20,19,14,15,5,22
Latrice Y Bryant,,1,36,35,34,19,20,14,13,9,13,2,22
Gwen Collins,,,2,40,34,16,15,18,19,13,11,3,22
Barbara Carroll,,,,0,38,15,14,14,15,8,11,6,22
Elaine Tomlin,,,,,0,15,16,15,14,10,11,4,22
David Rodriguez,,,,,,0,20,15,15,11,12,3,22
Edward M Lloyd Jr,,,,,,,0,15,15,12,12,4,22
Humberto Perez,,,,,,,,0,17,12,11,2,22
Karen Voss,,,,,,,,,0,12,11,2,22
Louis Agre,,,,,,,,,,0,7,1,22
Ruth I Birchett,,,,,,,,,,,0,1,22
Dawn Thomas,,,,,,,,,,,,0,22
Total,125,79,51,50,47,25,25,22,21,15,15,6,22
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,23
,Chaka Fattah,Latrice Y Bryant,Edward M Lloyd Jr,David Rodriguez,Gwen Collins,Barbara Carroll,Elaine Tomlin,Karen Voss,Louis Agre,Humberto Perez,Ruth I Birchett,Dawn Thomas,23
Chaka Fattah,18,40,30,26,24,22,16,18,16,13,11,0,23
Latrice Y Bryant,,2,21,19,19,16,10,12,11,11,7,0,23
Edward M Lloyd Jr,,,0,21,16,16,12,13,15,11,9,0,23
David Rodriguez,,,,2,16,15,12,11,13,12,9,0,23
Gwen Collins,,,,,0,20,15,13,14,12,10,0,23
Barbara Carroll,,,,,,0,15,13,15,12,11,0,23
Elaine Tomlin,,,,,,,0,9,11,9,7,0,23
Karen Voss,,,,,,,,0,13,10,6,0,23
Louis Agre,,,,,,,,,0,11,8,0,23
Humberto Perez,,,,,,,,,,0,7,0,23
Ruth I Birchett,,,,,,,,,,,0,0,23
Dawn Thomas,,,,,,,,,,,,0,23
Total,81,44,32,30,25,23,18,18,16,13,12,0,23
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,24
,Chaka Fattah,Latrice Y Bryant,Gwen Collins,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Barbara Carroll,Humberto Perez,Louis Agre,Elaine Tomlin,Ruth I Birchett,Dawn Thomas,24
Chaka Fattah,12,18,16,15,15,15,14,12,10,10,9,0,24
Latrice Y Bryant,,2,14,12,11,12,13,11,10,9,9,0,24
Gwen Collins,,,0,13,12,14,14,12,10,10,9,0,24
David Rodriguez,,,,0,11,13,12,12,10,9,9,0,24
Edward M Lloyd Jr,,,,,0,12,10,10,9,7,8,0,24
Karen Voss,,,,,,0,12,12,10,9,9,0,24
Barbara Carroll,,,,,,,0,11,9,9,8,0,24
