col_1,col_2,col_3,division
,Representative In Congress 13th District - Republican,,1
,Bev Plosa Bowser,Carson Dee Adcock,1
Bev Plosa Bowser,3,0,1
Carson Dee Adcock,,0,1
Total,3,0,1
,Representative In Congress 13th District - Republican,,2
,Carson Dee Adcock,Bev Plosa Bowser,2
Carson Dee Adcock,1,0,2
Bev Plosa Bowser,,0,2
Total,1,0,2
,Representative In Congress 13th District - Republican,,3
,Bev Plosa Bowser,Carson Dee Adcock,3
Bev Plosa Bowser,2,0,3
Carson Dee Adcock,,1,3
Total,2,1,3
,Representative In Congress 13th District - Republican,,4
,Bev Plosa Bowser,Carson Dee Adcock,4
Bev Plosa Bowser,5,0,4
Carson Dee Adcock,,3,4
Total,5,3,4
,Representative In Congress 13th District - Republican,,5
,Bev Plosa Bowser,Carson Dee Adcock,5
Bev Plosa Bowser,5,0,5
Carson Dee Adcock,,2,5
Total,5,2,5
,Representative In Congress 13th District - Republican,,6
,Bev Plosa Bowser,Carson Dee Adcock,6
Bev Plosa Bowser,6,0,6
Carson Dee Adcock,,1,6
Total,6,1,6
,Representative In Congress 13th District - Republican,,7
,Carson Dee Adcock,Bev Plosa Bowser,7
Carson Dee Adcock,2,0,7
Bev Plosa Bowser,,1,7
Total,2,1,7
,Representative In Congress 13th District - Republican,,8
,Bev Plosa Bowser,Carson Dee Adcock,8
Bev Plosa Bowser,4,0,8
Carson Dee Adcock,,0,8
Total,4,0,8
,Representative In Congress 13th District - Republican,,9
,Bev Plosa Bowser,Carson Dee Adcock,9
Bev Plosa Bowser,10,0,9
Carson Dee Adcock,,10,9
Total,10,10,9
,Representative In Congress 13th District - Republican,,10
,Carson Dee Adcock,Bev Plosa Bowser,10
Carson Dee Adcock,13,0,10
Bev Plosa Bowser,,9,10
Total,13,9,10
,Representative In Congress 13th District - Republican,,12
,Bev Plosa Bowser,Carson Dee Adcock,12
Bev Plosa Bowser,1,0,12
Carson Dee Adcock,,0,12
Total,1,0,12
,Representative In Congress 13th District - Republican,,13
,Bev Plosa Bowser,Carson Dee Adcock,13
Bev Plosa Bowser,11,0,13
Carson Dee Adcock,,8,13
Total,11,8,13
,Representative In Congress 13th District - Republican,,14
,Bev Plosa Bowser,Carson Dee Adcock,14
Bev Plosa Bowser,8,0,14
Carson Dee Adcock,,7,14
Total,8,7,14
,Representative In Congress 13th District - Republican,,15
,Bev Plosa Bowser,Carson Dee Adcock,15
Bev Plosa Bowser,3,0,15
Carson Dee Adcock,,2,15
Total,3,2,15
,Representative In Congress 13th District - Republican,,16
,Bev Plosa Bowser,Carson Dee Adcock,16
Bev Plosa Bowser,1,0,16
Carson Dee Adcock,,0,16
Total,1,0,16
,Representative In Congress 13th District - Republican,,17
,Bev Plosa Bowser,Carson Dee Adcock,17
Bev Plosa Bowser,1,0,17
Carson Dee Adcock,,0,17
Total,1,0,17
,Representative In Congress 13th District - Republican,,18
,Bev Plosa Bowser,Carson Dee Adcock,18
Bev Plosa Bowser,2,0,18
Carson Dee Adcock,,0,18
Total,2,0,18
,Representative In Congress 13th District - Republican,,20
,Bev Plosa Bowser,Carson Dee Adcock,20
Bev Plosa Bowser,2,0,20
Carson Dee Adcock,,1,20
Total,2,1,20
,Representative In Congress 13th District - Republican,,21
,Bev Plosa Bowser,Carson Dee Adcock,21
Bev Plosa Bowser,2,0,21
Carson Dee Adcock,,0,21
Total,2,0,21
,Representative In Congress 13th District - Republican,,22
,Carson Dee Adcock,Bev Plosa Bowser,22
Carson Dee Adcock,4,0,22
Bev Plosa Bowser,,0,22
Total,4,0,22
,Representative In Congress 13th District - Republican,,23
,Bev Plosa Bowser,Carson Dee Adcock,23
Bev Plosa Bowser,1,0,23
Carson Dee Adcock,,0,23
Total,1,0,23
,Representative In Congress 13th District - Republican,,All
,Bev Plosa Bowser,Carson Dee Adcock,All
Bev Plosa Bowser,77,0,All
Carson Dee Adcock,,55,All
Total,77,55,All
