col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,W Curtis Thomas,Kenneth T Walker Jr,K Williams Medley,Emily Rodriguez,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,Edward M Lloyd Jr,David Rodriguez,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
W Curtis Thomas,100,0,0,0,229,160,146,135,92,89,62,60,55,49,4,All
Kenneth T Walker Jr,,43,0,0,41,44,32,25,24,18,25,13,18,15,2,All
K Williams Medley,,,14,0,64,20,19,17,42,39,14,8,12,12,4,All
Emily Rodriguez,,,,8,22,21,17,17,15,19,18,19,15,12,0,All
Latrice Y Bryant,,,,,9,195,176,174,131,116,96,70,77,66,6,All
Gwen Collins,,,,,,1,179,168,96,91,101,79,81,70,3,All
Barbara Carroll,,,,,,,0,171,88,75,88,71,69,66,4,All
Elaine Tomlin,,,,,,,,0,82,78,86,69,69,62,3,All
Edward M Lloyd Jr,,,,,,,,,0,117,90,73,76,61,5,All
David Rodriguez,,,,,,,,,,0,80,81,74,60,4,All
Karen Voss,,,,,,,,,,,0,72,79,67,1,All
Humberto Perez,,,,,,,,,,,,1,70,49,4,All
Louis Agre,,,,,,,,,,,,,0,51,1,All
Ruth I Birchett,,,,,,,,,,,,,,1,0,All
Dawn Thomas,,,,,,,,,,,,,,,0,All
Total,429,107,100,44,375,253,223,204,175,166,120,101,100,89,10,All
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,1
,W Curtis Thomas,K Williams Medley,Kenneth T Walker Jr,Emily Rodriguez,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,Edward M Lloyd Jr,David Rodriguez,Barbara Carroll,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,1
W Curtis Thomas,5,0,0,0,16,11,9,7,7,7,4,4,4,3,1,1
K Williams Medley,,0,0,0,4,2,2,3,3,2,2,2,1,2,0,1
Kenneth T Walker Jr,,,1,0,2,2,3,2,2,2,1,2,1,2,0,1
Emily Rodriguez,,,,0,1,2,2,2,2,2,3,1,2,1,0,1
Latrice Y Bryant,,,,,2,13,13,11,10,11,7,7,6,6,0,1
Gwen Collins,,,,,,0,14,10,10,13,9,9,8,8,0,1
Elaine Tomlin,,,,,,,0,9,9,13,8,8,7,8,0,1
Edward M Lloyd Jr,,,,,,,,0,11,8,9,9,8,7,1,1
David Rodriguez,,,,,,,,,0,8,8,8,7,7,0,1
Barbara Carroll,,,,,,,,,,0,7,7,6,7,0,1
Humberto Perez,,,,,,,,,,,0,8,7,6,0,1
Karen Voss,,,,,,,,,,,,0,7,7,0,1
Louis Agre,,,,,,,,,,,,,0,5,0,1
Ruth I Birchett,,,,,,,,,,,,,,0,0,1
Dawn Thomas,,,,,,,,,,,,,,,0,1
Total,27,5,4,3,26,17,16,15,14,13,10,9,8,8,1,1
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,2
,W Curtis Thomas,K Williams Medley,Emily Rodriguez,Kenneth T Walker Jr,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,2
W Curtis Thomas,12,0,0,0,28,21,20,20,13,13,12,10,11,8,1,2
K Williams Medley,,2,0,0,3,0,0,0,3,3,0,0,0,0,0,2
Emily Rodriguez,,,2,0,4,4,4,3,3,2,3,4,2,3,0,2
Kenneth T Walker Jr,,,,0,0,0,1,0,0,0,0,0,0,0,0,2
Latrice Y Bryant,,,,,1,19,21,18,11,10,9,11,9,8,0,2
Barbara Carroll,,,,,,0,22,21,11,12,13,13,11,8,1,2
Gwen Collins,,,,,,,0,21,12,11,12,13,11,10,0,2
Elaine Tomlin,,,,,,,,0,10,10,10,11,9,7,1,2
David Rodriguez,,,,,,,,,0,11,12,11,9,9,1,2
Edward M Lloyd Jr,,,,,,,,,,0,11,11,10,7,1,2
Humberto Perez,,,,,,,,,,,0,10,11,8,1,2
Karen Voss,,,,,,,,,,,,0,10,9,0,2
Louis Agre,,,,,,,,,,,,,0,7,0,2
Ruth I Birchett,,,,,,,,,,,,,,0,0,2
Dawn Thomas,,,,,,,,,,,,,,,0,2
Total,57,8,6,1,38,27,27,25,19,18,15,14,13,11,1,2
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,,,3
