col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,1
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Ken Washington,Jacque Whaumbush,Monica Maria Djerassi,Kathryn S Huggins,Lisa Rhodes,Willie Jordan,1
Tom Wolf,34,0,0,0,29,13,2,2,1,1,1
Allyson Y Schwartz,,1,0,0,4,1,3,2,2,1,1
Robert M Mccord,,,0,0,2,3,0,0,0,0,1
Katie Mcginty,,,,0,0,0,0,0,0,0,1
Ken Washington,,,,,0,5,2,2,2,2,1
Jacque Whaumbush,,,,,,0,2,2,2,2,1
Monica Maria Djerassi,,,,,,,0,4,2,2,1
Kathryn S Huggins,,,,,,,,0,2,2,1
Lisa Rhodes,,,,,,,,,0,2,1
Willie Jordan,,,,,,,,,,0,1
Total,74,8,4,0,35,17,5,4,3,2,1
,Governor - Democrat,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,2
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Ken Washington,Jacque Whaumbush,Monica Maria Djerassi,Kathryn S Huggins,Lisa Rhodes,Willie Jordan,2
Tom Wolf,17,0,0,0,42,24,11,9,9,7,2
Allyson Y Schwartz,,27,0,0,10,6,7,7,5,4,2
Robert M Mccord,,,7,0,6,5,5,4,3,5,2
Katie Mcginty,,,,1,3,2,5,3,3,3,2
Ken Washington,,,,,2,18,15,15,16,16,2
Jacque Whaumbush,,,,,,0,16,15,17,14,2
Monica Maria Djerassi,,,,,,,0,15,15,14,2
Kathryn S Huggins,,,,,,,,0,16,13,2
Lisa Rhodes,,,,,,,,,0,15,2
Willie Jordan,,,,,,,,,,1,2
Total,79,46,18,9,63,37,28,23,20,20,2
,Governor - Democrat,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,3
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Ken Washington,Jacque Whaumbush,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Willie Jordan,3
Tom Wolf,25,0,0,0,33,18,6,6,7,4,3
Allyson Y Schwartz,,19,0,0,12,9,7,8,6,5,3
Robert M Mccord,,,7,0,5,6,3,2,2,1,3
Katie Mcginty,,,,0,0,0,0,0,0,0,3
Ken Washington,,,,,0,14,10,8,10,8,3
Jacque Whaumbush,,,,,,0,9,10,10,8,3
Kathryn S Huggins,,,,,,,0,9,9,9,3
Monica Maria Djerassi,,,,,,,,0,11,7,3
Lisa Rhodes,,,,,,,,,0,7,3
Willie Jordan,,,,,,,,,,0,3
Total,69,44,17,0,50,33,16,16,15,10,3
,Governor - Democrat,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,4
,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,Ken Washington,Monica Maria Djerassi,Jacque Whaumbush,Kathryn S Huggins,Lisa Rhodes,Willie Jordan,4
Allyson Y Schwartz,17,0,0,0,11,13,8,12,7,7,4
Tom Wolf,,13,0,0,19,8,12,7,8,7,4
Robert M Mccord,,,3,0,1,2,1,1,1,1,4
Katie Mcginty,,,,1,0,0,0,0,0,0,4
Ken Washington,,,,,0,16,18,14,15,14,4
Monica Maria Djerassi,,,,,,0,14,16,14,14,4
Jacque Whaumbush,,,,,,,0,14,14,14,4
Kathryn S Huggins,,,,,,,,0,14,14,4
Lisa Rhodes,,,,,,,,,0,13,4
Willie Jordan,,,,,,,,,,0,4
Total,38,34,6,1,31,23,21,20,16,15,4
,Governor - Democrat,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,5
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Ken Washington,Jacque Whaumbush,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Willie Jordan,5
Tom Wolf,20,0,0,0,23,15,4,3,2,2,5
Allyson Y Schwartz,,13,0,0,6,8,5,5,2,2,5
Robert M Mccord,,,2,0,2,1,2,1,0,0,5
Katie Mcginty,,,,1,0,0,0,0,0,0,5
Ken Washington,,,,,1,9,6,6,3,3,5
Jacque Whaumbush,,,,,,0,8,7,4,3,5
Kathryn S Huggins,,,,,,,0,8,4,3,5
Monica Maria Djerassi,,,,,,,,0,4,3,5
Lisa Rhodes,,,,,,,,,0,3,5
Willie Jordan,,,,,,,,,,0,5
Total,54,26,5,1,32,24,11,9,4,4,5
