col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 195th District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Michelle F Brownlee,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Ruth I Birchett,Humberto Perez,Louis Agre,Dawn Thomas,All
Michelle F Brownlee,490,"1,313",797,771,730,676,614,391,391,341,324,25,All
Latrice Y Bryant,,25,678,664,638,535,519,321,278,276,262,9,All
Gwen Collins,,,16,657,626,318,297,355,273,301,284,6,All
Barbara Carroll,,,,5,670,300,271,295,270,259,240,6,All
Elaine Tomlin,,,,,3,285,255,284,263,251,233,5,All
David Rodriguez,,,,,,6,487,296,225,289,265,14,All
Edward M Lloyd Jr,,,,,,,9,283,206,257,249,11,All
Karen Voss,,,,,,,,8,244,294,283,3,All
Ruth I Birchett,,,,,,,,,15,198,179,3,All
Humberto Perez,,,,,,,,,,2,265,4,All
Louis Agre,,,,,,,,,,,3,4,All
Dawn Thomas,,,,,,,,,,,,1,All
Total,"2,321","1,401",884,834,787,706,655,442,430,384,365,28,All
