col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Chaka Fattah,Darrell L Clarke,Marylouise Isaacson,Michelle L Rumbaugh,Micah Mahjoubian,Matthew D Myers,Nekisha Fulton,Domenick demuro,Thomas J Rumbaugh,Albert C Littlepage,All
Chaka Fattah,10,37,32,31,27,27,24,21,19,14,All
Darrell L Clarke,,6,25,24,21,22,19,18,16,12,All
Marylouise Isaacson,,,1,27,25,21,23,21,20,15,All
Michelle L Rumbaugh,,,,1,21,20,22,20,18,13,All
Micah Mahjoubian,,,,,1,21,19,19,18,13,All
Matthew D Myers,,,,,,0,18,18,17,13,All
Nekisha Fulton,,,,,,,0,18,17,12,All
Domenick demuro,,,,,,,,0,17,13,All
Thomas J Rumbaugh,,,,,,,,,0,14,All
Albert C Littlepage,,,,,,,,,,0,All
Total,61,44,36,34,30,28,24,22,20,15,All
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,15
,Chaka Fattah,Darrell L Clarke,Marylouise Isaacson,Michelle L Rumbaugh,Micah Mahjoubian,Matthew D Myers,Nekisha Fulton,Domenick demuro,Thomas J Rumbaugh,Albert C Littlepage,15
Chaka Fattah,10,37,32,31,27,27,24,21,19,14,15
Darrell L Clarke,,6,25,24,21,22,19,18,16,12,15
Marylouise Isaacson,,,1,27,25,21,23,21,20,15,15
Michelle L Rumbaugh,,,,1,21,20,22,20,18,13,15
Micah Mahjoubian,,,,,1,21,19,19,18,13,15
Matthew D Myers,,,,,,0,18,18,17,13,15
Nekisha Fulton,,,,,,,0,18,17,12,15
Domenick demuro,,,,,,,,0,17,13,15
Thomas J Rumbaugh,,,,,,,,,0,14,15
Albert C Littlepage,,,,,,,,,,0,15
Total,61,44,36,34,30,28,24,22,20,15,15
