col_1,col_2,col_3,division
,Governor - Republican,,1
,Tom Corbett,Robert Guzzardi,1
Tom Corbett,2,0,1
Robert Guzzardi,,0,1
Total,2,0,1
,Governor - Republican,,2
,Tom Corbett,Robert Guzzardi,2
Tom Corbett,4,0,2
Robert Guzzardi,,0,2
Total,4,0,2
,Governor - Republican,,3
,Tom Corbett,Robert Guzzardi,3
Tom Corbett,1,0,3
Robert Guzzardi,,0,3
Total,1,0,3
,Governor - Republican,,4
,Tom Corbett,Robert Guzzardi,4
Tom Corbett,1,0,4
Robert Guzzardi,,0,4
Total,1,0,4
,Governor - Republican,,6
,Tom Corbett,Robert Guzzardi,6
Tom Corbett,1,0,6
Robert Guzzardi,,0,6
Total,1,0,6
,Governor - Republican,,7
,Tom Corbett,Robert Guzzardi,7
Tom Corbett,1,0,7
Robert Guzzardi,,0,7
Total,1,0,7
,Governor - Republican,,8
,Tom Corbett,Robert Guzzardi,8
Tom Corbett,1,0,8
Robert Guzzardi,,0,8
Total,1,0,8
,Governor - Republican,,9
,Tom Corbett,Robert Guzzardi,9
Tom Corbett,1,0,9
Robert Guzzardi,,0,9
Total,1,0,9
,Governor - Republican,,12
,Tom Corbett,Robert Guzzardi,12
Tom Corbett,1,0,12
Robert Guzzardi,,0,12
Total,1,0,12
,Governor - Republican,,15
,Tom Corbett,Robert Guzzardi,15
Tom Corbett,1,0,15
Robert Guzzardi,,0,15
Total,1,0,15
,Governor - Republican,,16
,Tom Corbett,Robert Guzzardi,16
Tom Corbett,1,0,16
Robert Guzzardi,,0,16
Total,1,0,16
,Governor - Republican,,17
,Tom Corbett,Robert Guzzardi,17
Tom Corbett,1,0,17
Robert Guzzardi,,0,17
Total,1,0,17
,Governor - Republican,,18
,Tom Corbett,Robert Guzzardi,18
Tom Corbett,1,0,18
Robert Guzzardi,,0,18
Total,1,0,18
,Governor - Republican,,21
,Tom Corbett,Robert Guzzardi,21
Tom Corbett,6,0,21
Robert Guzzardi,,0,21
Total,6,0,21
,Governor - Republican,,22
,Tom Corbett,Robert Guzzardi,22
Tom Corbett,2,0,22
Robert Guzzardi,,0,22
Total,2,0,22
,Governor - Republican,,All
,Tom Corbett,Robert Guzzardi,All
Tom Corbett,25,0,All
Robert Guzzardi,,0,All
Total,25,0,All
