col_1,col_2,col_3,col_4,col_5,col_6,division
,Lieutenant Governor - Democrat,,,,,All
,Mike Stack,Mark Smith,Mark Critz,Brandon P Neuman,Brad Koplinski,All
Mike Stack,"1,227",0,0,0,0,All
Mark Smith,,88,0,0,0,All
Mark Critz,,,77,0,0,All
Brandon P Neuman,,,,57,0,All
Brad Koplinski,,,,,42,All
Total,"1,227",88,77,57,42,All
,Lieutenant Governor - Democrat,,,,,1
,Mike Stack,Mark Critz,Mark Smith,Brad Koplinski,Brandon P Neuman,1
Mike Stack,49,0,0,0,0,1
Mark Critz,,5,0,0,0,1
Mark Smith,,,3,0,0,1
Brad Koplinski,,,,2,0,1
Brandon P Neuman,,,,,0,1
Total,49,5,3,2,0,1
,Lieutenant Governor - Democrat,,,,,2
,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Smith,Mark Critz,2
Mike Stack,55,0,0,0,0,2
Brad Koplinski,,3,0,0,0,2
Brandon P Neuman,,,3,0,0,2
Mark Smith,,,,3,0,2
Mark Critz,,,,,2,2
Total,55,3,3,3,2,2
,Lieutenant Governor - Democrat,,,,,3
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,3
Mike Stack,72,0,0,0,0,3
Mark Critz,,2,0,0,0,3
Mark Smith,,,2,0,0,3
Brandon P Neuman,,,,1,0,3
Brad Koplinski,,,,,0,3
Total,72,2,2,1,0,3
,Lieutenant Governor - Democrat,,,,,4
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,4
Mike Stack,27,0,0,0,0,4
Mark Smith,,4,0,0,0,4
Mark Critz,,,1,0,0,4
Brad Koplinski,,,,0,0,4
Brandon P Neuman,,,,,0,4
Total,27,4,1,0,0,4
,Lieutenant Governor - Democrat,,,,,5
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,5
Mike Stack,47,0,0,0,0,5
Mark Smith,,5,0,0,0,5
Mark Critz,,,4,0,0,5
Brad Koplinski,,,,3,0,5
Brandon P Neuman,,,,,0,5
Total,47,5,4,3,0,5
,Lieutenant Governor - Democrat,,,,,6
,Mike Stack,Brandon P Neuman,Brad Koplinski,Mark Smith,Mark Critz,6
Mike Stack,46,0,0,0,0,6
Brandon P Neuman,,4,0,0,0,6
Brad Koplinski,,,3,0,0,6
Mark Smith,,,,3,0,6
Mark Critz,,,,,1,6
Total,46,4,3,3,1,6
,Lieutenant Governor - Democrat,,,,,7
,Mike Stack,Mark Critz,Brad Koplinski,Brandon P Neuman,Mark Smith,7
Mike Stack,68,0,0,0,0,7
Mark Critz,,4,0,0,0,7
Brad Koplinski,,,2,0,0,7
Brandon P Neuman,,,,1,0,7
Mark Smith,,,,,1,7
Total,68,4,2,1,1,7
,Lieutenant Governor - Democrat,,,,,8
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,8
Mike Stack,88,0,0,0,0,8
Mark Critz,,6,0,0,0,8
Mark Smith,,,4,0,0,8
Brandon P Neuman,,,,2,0,8
Brad Koplinski,,,,,1,8
Total,88,6,4,2,1,8
,Lieutenant Governor - Democrat,,,,,9
,Mike Stack,Mark Critz,Mark Smith,Brad Koplinski,Brandon P Neuman,9
Mike Stack,76,0,0,0,0,9
Mark Critz,,13,0,0,0,9
Mark Smith,,,10,0,0,9
Brad Koplinski,,,,7,0,9
Brandon P Neuman,,,,,5,9
Total,76,13,10,7,5,9
,Lieutenant Governor - Democrat,,,,,10
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,10
Mike Stack,43,0,0,0,0,10
Mark Smith,,3,0,0,0,10
Brandon P Neuman,,,2,0,0,10
Brad Koplinski,,,,1,0,10
Mark Critz,,,,,1,10
Total,43,3,2,1,1,10
,Lieutenant Governor - Democrat,,,,,11
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,11
Mike Stack,94,0,0,0,0,11
Mark Critz,,9,0,0,0,11
Mark Smith,,,7,0,0,11
Brandon P Neuman,,,,6,0,11
Brad Koplinski,,,,,1,11
Total,94,9,7,6,1,11
,Lieutenant Governor - Democrat,,,,,12
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,12
Mike Stack,45,0,0,0,0,12
Mark Smith,,6,0,0,0,12
Brad Koplinski,,,4,0,0,12
Brandon P Neuman,,,,2,0,12
Mark Critz,,,,,1,12
Total,45,6,4,2,1,12
,Lieutenant Governor - Democrat,,,,,13
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,13
Mike Stack,66,0,0,0,0,13
Mark Critz,,8,0,0,0,13
Mark Smith,,,4,0,0,13
Brandon P Neuman,,,,3,0,13
Brad Koplinski,,,,,1,13
Total,66,8,4,3,1,13
,Lieutenant Governor - Democrat,,,,,14
,Mike Stack,Mark Critz,Brad Koplinski,Mark Smith,Brandon P Neuman,14
Mike Stack,49,0,0,0,0,14
Mark Critz,,3,0,0,0,14
Brad Koplinski,,,2,0,0,14
Mark Smith,,,,2,0,14
Brandon P Neuman,,,,,0,14
Total,49,3,2,2,0,14
,Lieutenant Governor - Democrat,,,,,15
