col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,1
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,1
Tom Wolf,23,0,0,0,0,0,0,0,0,0,0,0,0,1
Allyson Y Schwartz,,15,0,0,0,0,0,0,0,0,0,0,0,1
Robert M Mccord,,,11,0,0,0,0,0,0,0,0,0,0,1
Katie Mcginty,,,,5,0,0,0,0,0,0,0,0,0,1
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,1
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,1
Domenick demuro,,,,,,,0,0,0,0,0,0,0,1
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,1
Matthew D Myers,,,,,,,,,0,0,0,0,0,1
Micah Mahjoubian,,,,,,,,,,0,0,0,0,1
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,1
Nekisha Fulton,,,,,,,,,,,,0,0,1
Thomas J Rumbaugh,,,,,,,,,,,,,0,1
Total,23,15,11,5,0,0,0,0,0,0,0,0,0,1
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,2
,Tom Wolf,Allyson Y Schwartz,Katie Mcginty,Robert M Mccord,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,2
Tom Wolf,21,0,0,0,0,0,0,0,0,0,0,0,0,2
Allyson Y Schwartz,,17,0,0,0,0,0,0,0,0,0,0,0,2
Katie Mcginty,,,7,0,0,0,0,0,0,0,0,0,0,2
Robert M Mccord,,,,5,0,0,0,0,0,0,0,0,0,2
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,2
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,2
Domenick demuro,,,,,,,0,0,0,0,0,0,0,2
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,2
Matthew D Myers,,,,,,,,,0,0,0,0,0,2
Micah Mahjoubian,,,,,,,,,,0,0,0,0,2
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,2
Nekisha Fulton,,,,,,,,,,,,0,0,2
Thomas J Rumbaugh,,,,,,,,,,,,,0,2
Total,21,17,7,5,0,0,0,0,0,0,0,0,0,2
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,3
,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,3
Allyson Y Schwartz,53,0,0,0,0,0,0,0,0,0,0,0,0,3
Tom Wolf,,25,0,0,0,0,0,0,0,0,0,0,0,3
Robert M Mccord,,,10,0,0,0,0,0,0,0,0,0,0,3
Katie Mcginty,,,,4,0,0,0,0,0,0,0,0,0,3
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,3
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,3
Domenick demuro,,,,,,,0,0,0,0,0,0,0,3
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,3
Matthew D Myers,,,,,,,,,0,0,0,0,0,3
Micah Mahjoubian,,,,,,,,,,0,0,0,0,3
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,3
Nekisha Fulton,,,,,,,,,,,,0,0,3
Thomas J Rumbaugh,,,,,,,,,,,,,0,3
Total,53,25,10,4,0,0,0,0,0,0,0,0,0,3
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,4
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,4
Tom Wolf,23,0,0,0,0,0,0,0,0,0,0,0,0,4
Allyson Y Schwartz,,15,0,0,0,0,0,0,0,0,0,0,0,4
Robert M Mccord,,,13,0,0,0,0,0,0,0,0,0,0,4
Katie Mcginty,,,,3,0,0,0,0,0,0,0,0,0,4
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,4
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,4
Domenick demuro,,,,,,,0,0,0,0,0,0,0,4
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,4
Matthew D Myers,,,,,,,,,0,0,0,0,0,4
Micah Mahjoubian,,,,,,,,,,0,0,0,0,4
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,4
Nekisha Fulton,,,,,,,,,,,,0,0,4
Thomas J Rumbaugh,,,,,,,,,,,,,0,4
Total,23,15,13,3,0,0,0,0,0,0,0,0,0,4
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,5
,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,5
Allyson Y Schwartz,20,0,0,0,0,0,0,0,0,0,0,0,0,5
Tom Wolf,,14,0,0,0,0,0,0,0,0,0,0,0,5
Robert M Mccord,,,3,0,0,0,0,0,0,0,0,0,0,5
Katie Mcginty,,,,0,0,0,0,0,0,0,0,0,0,5
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,5
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,5
Domenick demuro,,,,,,,0,0,0,0,0,0,0,5
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,5
Matthew D Myers,,,,,,,,,0,0,0,0,0,5
Micah Mahjoubian,,,,,,,,,,0,0,0,0,5
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,5
Nekisha Fulton,,,,,,,,,,,,0,0,5
Thomas J Rumbaugh,,,,,,,,,,,,,0,5
Total,20,14,3,0,0,0,0,0,0,0,0,0,0,5
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,6
,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,6
Allyson Y Schwartz,18,0,0,0,0,0,0,0,0,0,0,0,0,6
Tom Wolf,,15,0,0,0,0,0,0,0,0,0,0,0,6
Robert M Mccord,,,4,0,0,0,0,0,0,0,0,0,0,6
Katie Mcginty,,,,1,0,0,0,0,0,0,0,0,0,6
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,6
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,6
Domenick demuro,,,,,,,0,0,0,0,0,0,0,6
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,6
Matthew D Myers,,,,,,,,,0,0,0,0,0,6
Micah Mahjoubian,,,,,,,,,,0,0,0,0,6
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,6
Nekisha Fulton,,,,,,,,,,,,0,0,6
Thomas J Rumbaugh,,,,,,,,,,,,,0,6
Total,18,15,4,1,0,0,0,0,0,0,0,0,0,6
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,7
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,7
Tom Wolf,33,0,0,0,0,0,0,0,0,0,0,0,0,7
Allyson Y Schwartz,,15,0,0,0,0,0,0,0,0,0,0,0,7
Robert M Mccord,,,14,0,0,0,0,0,0,0,0,0,0,7
Katie Mcginty,,,,1,0,0,0,0,0,0,0,0,0,7
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,7
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,7
Domenick demuro,,,,,,,0,0,0,0,0,0,0,7
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,7
Matthew D Myers,,,,,,,,,0,0,0,0,0,7
Micah Mahjoubian,,,,,,,,,,0,0,0,0,7
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,7
Nekisha Fulton,,,,,,,,,,,,0,0,7
Thomas J Rumbaugh,,,,,,,,,,,,,0,7
Total,33,15,14,1,0,0,0,0,0,0,0,0,0,7
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,8
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,8
Tom Wolf,17,0,0,0,0,0,0,0,0,0,0,0,0,8
Robert M Mccord,,16,0,0,0,0,0,0,0,0,0,0,0,8
Allyson Y Schwartz,,,13,0,0,0,0,0,0,0,0,0,0,8
Katie Mcginty,,,,2,0,0,0,0,0,0,0,0,0,8
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,8
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,8
Domenick demuro,,,,,,,0,0,0,0,0,0,0,8
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,8
Matthew D Myers,,,,,,,,,0,0,0,0,0,8
Micah Mahjoubian,,,,,,,,,,0,0,0,0,8
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,8
Nekisha Fulton,,,,,,,,,,,,0,0,8
Thomas J Rumbaugh,,,,,,,,,,,,,0,8
Total,17,16,13,2,0,0,0,0,0,0,0,0,0,8
,Governor - Democrat,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,9
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Albert C Littlepage,Darrell L Clarke,Domenick demuro,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Thomas J Rumbaugh,9
Tom Wolf,24,0,0,0,0,0,0,0,0,0,0,0,0,9
Allyson Y Schwartz,,14,0,0,0,0,0,0,0,0,0,0,0,9
Robert M Mccord,,,7,0,0,0,0,0,0,0,0,0,0,9
Katie Mcginty,,,,2,0,0,0,0,0,0,0,0,0,9
Albert C Littlepage,,,,,0,0,0,0,0,0,0,0,0,9
Darrell L Clarke,,,,,,0,0,0,0,0,0,0,0,9
Domenick demuro,,,,,,,0,0,0,0,0,0,0,9
Marylouise Isaacson,,,,,,,,0,0,0,0,0,0,9
Matthew D Myers,,,,,,,,,0,0,0,0,0,9
Micah Mahjoubian,,,,,,,,,,0,0,0,0,9
Michelle L Rumbaugh,,,,,,,,,,,0,0,0,9
Nekisha Fulton,,,,,,,,,,,,0,0,9
Thomas J Rumbaugh,,,,,,,,,,,,,0,9
Total,24,14,7,2,0,0,0,0,0,0,0,0,0,9
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,Governor - Democrat,,,,10
,Darrell L Clarke,Micah Mahjoubian,Matthew D Myers,Michelle L Rumbaugh,Marylouise Isaacson,Nekisha Fulton,Domenick demuro,Albert C Littlepage,Thomas J Rumbaugh,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,10
Darrell L Clarke,0,25,20,19,18,18,19,13,6,38,20,5,0,10
Micah Mahjoubian,,0,21,15,16,16,17,12,6,13,15,4,0,10
Matthew D Myers,,,0,14,13,11,18,14,6,12,13,3,0,10
Michelle L Rumbaugh,,,,0,21,19,13,15,7,13,13,1,0,10
Marylouise Isaacson,,,,,0,20,13,14,8,11,13,1,0,10
Nekisha Fulton,,,,,,0,14,14,8,9,13,1,0,10
Domenick demuro,,,,,,,0,11,7,9,11,2,0,10
Albert C Littlepage,,,,,,,,0,7,8,10,1,0,10
Thomas J Rumbaugh,,,,,,,,,0,2,5,1,0,10
Tom Wolf,,,,,,,,,,9,0,0,0,10
Allyson Y Schwartz,,,,,,,,,,,3,0,0,10
Robert M Mccord,,,,,,,,,,,,3,0,10
