col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Governor - Democrat,,,,All
,Jalila D Parker,Cindy Bass,Sherrie Cohen,Nedia S Ralston,Ron Couser,Bill Durham,Janet Thompson,M Karen Bojar,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,All
Jalila D Parker,31,"8,542","6,069","7,512","5,614","5,023","4,118","3,550","6,661","4,340","2,380",227,All
Cindy Bass,,32,"5,968","6,274","6,207","5,555","4,634","4,196","5,241","5,726","2,373",301,All
Sherrie Cohen,,,24,"4,256","3,766","3,251","3,431","3,246","4,424","3,473","1,528",208,All
Nedia S Ralston,,,,14,"4,459","3,910","2,678","2,956","4,414","2,886","1,796",162,All
Ron Couser,,,,,4,"4,905","2,960","2,947","2,967","2,632","1,481",165,All
Bill Durham,,,,,,2,"3,102","2,316","2,662","2,391","1,436",136,All
Janet Thompson,,,,,,,7,"2,235","2,246","2,403",865,154,All
M Karen Bojar,,,,,,,,2,"1,899","2,256",953,171,All
Tom Wolf,,,,,,,,,"3,358",0,0,0,All
Allyson Y Schwartz,,,,,,,,,,"2,242",0,0,All
Robert M Mccord,,,,,,,,,,,"1,010",0,All
Katie Mcginty,,,,,,,,,,,,174,All
Total,"13,746","13,745","9,723","9,340","7,277","6,651","5,696","5,298","13,673","10,099","4,828",637,All
