col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,1
,Mike Stack,Mark Critz,Brandon P Neuman,Mark Smith,Brad Koplinski,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Mary Ann Quartullo,Patrick Parkinson,Larry King,Jacqulyne Scott,1
Mike Stack,23,0,0,0,0,26,20,22,19,16,1,0,1
Mark Critz,,0,0,0,0,0,2,0,1,0,0,0,1
Brandon P Neuman,,,1,0,0,0,0,0,0,0,0,0,1
Mark Smith,,,,0,0,0,1,0,0,0,0,0,1
Brad Koplinski,,,,,0,0,0,0,0,0,0,0,1
Kathy Enggasser,,,,,,1,15,16,15,14,1,0,1
Louis Farinella,,,,,,,0,14,15,11,1,0,1
Barbara A Deeley,,,,,,,,0,15,13,1,0,1
Mary Ann Quartullo,,,,,,,,,0,11,1,0,1
Patrick Parkinson,,,,,,,,,,0,1,0,1
Larry King,,,,,,,,,,,0,0,1
Jacqulyne Scott,,,,,,,,,,,,0,1
Total,64,2,1,1,0,27,23,22,20,16,1,0,1
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,2
,Mike Stack,Brad Koplinski,Mark Smith,Brandon P Neuman,Mark Critz,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Mary Ann Quartullo,Patrick Parkinson,Jacqulyne Scott,Larry King,2
Mike Stack,13,0,0,0,0,13,11,7,7,4,1,0,2
Brad Koplinski,,1,0,0,0,1,1,1,1,2,0,0,2
Mark Smith,,,2,0,0,0,0,0,0,1,0,0,2
Brandon P Neuman,,,,0,0,0,0,0,0,0,0,0,2
Mark Critz,,,,,0,0,0,0,0,0,0,0,2
Kathy Enggasser,,,,,,0,5,7,7,5,1,0,2
Louis Farinella,,,,,,,0,5,6,5,1,0,2
Barbara A Deeley,,,,,,,,0,7,5,1,0,2
Mary Ann Quartullo,,,,,,,,,0,5,1,0,2
Patrick Parkinson,,,,,,,,,,0,1,0,2
Jacqulyne Scott,,,,,,,,,,,0,0,2
Larry King,,,,,,,,,,,,0,2
Total,34,3,3,0,0,14,12,8,8,7,1,0,2
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,3
,Mike Stack,Brandon P Neuman,Mark Smith,Mark Critz,Brad Koplinski,Louis Farinella,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,Barbara A Deeley,Jacqulyne Scott,Larry King,3
Mike Stack,17,0,0,0,0,30,20,14,12,13,1,0,3
Brandon P Neuman,,0,0,0,0,0,0,0,2,0,0,0,3
Mark Smith,,,0,0,0,1,1,2,1,1,0,0,3
Mark Critz,,,,0,0,1,0,0,0,0,0,0,3
Brad Koplinski,,,,,0,0,0,0,0,0,0,0,3
Louis Farinella,,,,,,1,12,14,13,12,1,0,3
Kathy Enggasser,,,,,,,0,11,11,11,1,0,3
Mary Ann Quartullo,,,,,,,,0,12,10,1,0,3
Patrick Parkinson,,,,,,,,,0,10,1,0,3
Barbara A Deeley,,,,,,,,,,0,1,0,3
Jacqulyne Scott,,,,,,,,,,,0,0,3
Larry King,,,,,,,,,,,,0,3
Total,58,2,2,1,0,33,21,16,15,14,1,0,3
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,4
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Louis Farinella,Mary Ann Quartullo,Kathy Enggasser,Patrick Parkinson,Barbara A Deeley,Larry King,Jacqulyne Scott,4
Mike Stack,15,0,0,0,0,22,18,15,13,10,1,0,4
Mark Smith,,3,0,0,0,2,1,2,1,1,0,0,4
Brad Koplinski,,,0,0,0,0,1,0,1,0,0,0,4
Brandon P Neuman,,,,1,0,0,0,0,0,0,0,0,4
Mark Critz,,,,,0,0,0,1,1,1,0,0,4
Louis Farinella,,,,,,0,14,12,11,10,1,0,4
Mary Ann Quartullo,,,,,,,0,11,12,10,1,0,4
Kathy Enggasser,,,,,,,,0,12,12,1,0,4
Patrick Parkinson,,,,,,,,,0,12,1,0,4
Barbara A Deeley,,,,,,,,,,0,1,0,4
Larry King,,,,,,,,,,,0,0,4
Jacqulyne Scott,,,,,,,,,,,,0,4
Total,48,6,1,1,1,24,20,18,16,12,1,0,4
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,5
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Jacqulyne Scott,Larry King,5
Mike Stack,18,0,0,0,0,21,21,9,8,7,1,0,5
Mark Smith,,1,0,0,0,0,0,0,0,0,0,0,5
Brad Koplinski,,,0,0,0,0,0,0,0,0,0,0,5
Brandon P Neuman,,,,0,0,0,0,0,0,0,0,0,5
Mark Critz,,,,,0,0,0,0,0,0,0,0,5
Kathy Enggasser,,,,,,0,8,6,5,5,1,0,5
Louis Farinella,,,,,,,0,6,7,6,0,0,5
Barbara A Deeley,,,,,,,,0,6,6,0,0,5
Patrick Parkinson,,,,,,,,,0,5,0,0,5
Mary Ann Quartullo,,,,,,,,,,0,0,0,5
Jacqulyne Scott,,,,,,,,,,,0,0,5
Larry King,,,,,,,,,,,,0,5
Total,55,1,0,0,0,21,21,9,8,7,1,0,5
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,6
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,Louis Farinella,Mary Ann Quartullo,Kathy Enggasser,Barbara A Deeley,Patrick Parkinson,Larry King,Jacqulyne Scott,6
Mike Stack,15,0,0,0,0,75,24,23,21,19,1,0,6
Mark Smith,,1,0,0,0,3,1,0,0,0,0,0,6
Brandon P Neuman,,,0,0,0,1,1,1,0,0,0,0,6
Brad Koplinski,,,,0,0,0,0,0,0,0,0,0,6
Mark Critz,,,,,0,0,0,0,0,0,0,0,6
Louis Farinella,,,,,,0,22,19,18,16,1,0,6
Mary Ann Quartullo,,,,,,,1,17,16,15,0,0,6
Kathy Enggasser,,,,,,,,1,15,13,0,0,6
Barbara A Deeley,,,,,,,,,0,15,0,0,6
Patrick Parkinson,,,,,,,,,,0,0,0,6
Larry King,,,,,,,,,,,0,0,6
Jacqulyne Scott,,,,,,,,,,,,0,6
Total,100,4,1,0,0,79,27,25,21,19,1,0,6
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,7
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Kathy Enggasser,Louis Farinella,Patrick Parkinson,Mary Ann Quartullo,Barbara A Deeley,Jacqulyne Scott,Larry King,7
Mike Stack,9,0,0,0,0,17,19,8,7,5,0,0,7
Mark Smith,,2,0,0,0,1,0,0,0,0,0,0,7
Brad Koplinski,,,0,0,0,1,1,1,2,1,0,0,7
Brandon P Neuman,,,,0,0,1,1,1,0,0,0,0,7
Mark Critz,,,,,1,0,0,0,0,0,0,0,7
Kathy Enggasser,,,,,,1,11,11,9,7,0,0,7
Louis Farinella,,,,,,,0,9,8,7,0,0,7
Patrick Parkinson,,,,,,,,0,9,7,0,0,7
Mary Ann Quartullo,,,,,,,,,0,7,0,0,7
Barbara A Deeley,,,,,,,,,,1,0,0,7
Jacqulyne Scott,,,,,,,,,,,0,0,7
Larry King,,,,,,,,,,,,0,7
Total,37,3,2,2,1,23,23,11,10,8,0,0,7
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,8
,Mike Stack,Brandon P Neuman,Brad Koplinski,Mark Smith,Mark Critz,Louis Farinella,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,Barbara A Deeley,Jacqulyne Scott,Larry King,8
Mike Stack,26,0,0,0,0,44,43,29,24,26,2,1,8
Brandon P Neuman,,0,0,0,0,2,2,2,3,2,1,1,8
Brad Koplinski,,,1,0,0,0,0,0,1,1,0,0,8
Mark Smith,,,,0,0,1,0,1,2,0,0,0,8
Mark Critz,,,,,0,0,0,0,0,0,0,0,8
Louis Farinella,,,,,,0,29,27,25,25,2,1,8
Kathy Enggasser,,,,,,,0,26,25,26,3,2,8
Mary Ann Quartullo,,,,,,,,0,25,25,3,2,8
Patrick Parkinson,,,,,,,,,0,24,3,2,8
Barbara A Deeley,,,,,,,,,,0,3,2,8
Jacqulyne Scott,,,,,,,,,,,0,1,8
Larry King,,,,,,,,,,,,0,8
Total,88,4,2,2,0,47,45,32,30,29,3,2,8
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,9
,Mike Stack,Mark Smith,Brad Koplinski,Mark Critz,Brandon P Neuman,Louis Farinella,Kathy Enggasser,Mary Ann Quartullo,Barbara A Deeley,Patrick Parkinson,Larry King,Jacqulyne Scott,9
Mike Stack,27,0,0,0,0,36,32,22,20,17,1,0,9
Mark Smith,,0,0,0,0,1,2,1,0,0,0,0,9
Brad Koplinski,,,0,0,0,0,0,1,0,0,0,0,9
Mark Critz,,,,0,0,1,0,0,0,0,0,0,9
Brandon P Neuman,,,,,0,0,0,0,0,0,0,0,9
Louis Farinella,,,,,,0,20,20,17,16,1,0,9
Kathy Enggasser,,,,,,,2,14,17,14,1,0,9
Mary Ann Quartullo,,,,,,,,0,15,15,1,0,9
Barbara A Deeley,,,,,,,,,0,15,1,0,9
Patrick Parkinson,,,,,,,,,,0,1,0,9
Larry King,,,,,,,,,,,0,0,9
Jacqulyne Scott,,,,,,,,,,,,0,9
Total,81,3,1,1,0,38,36,24,20,17,1,0,9
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,10
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Jacqulyne Scott,Larry King,10
Mike Stack,13,0,0,0,0,26,23,22,19,17,0,0,10
Mark Smith,,1,0,0,0,0,0,1,0,0,0,0,10
Mark Critz,,,0,0,0,0,1,0,0,0,0,0,10
Brad Koplinski,,,,0,0,0,0,0,0,0,0,0,10
Brandon P Neuman,,,,,0,0,0,0,0,0,0,0,10
Kathy Enggasser,,,,,,0,14,17,14,15,0,0,10
Louis Farinella,,,,,,,0,15,17,16,0,0,10
Barbara A Deeley,,,,,,,,0,16,16,0,0,10
Patrick Parkinson,,,,,,,,,0,15,0,0,10
Mary Ann Quartullo,,,,,,,,,,0,0,0,10
Jacqulyne Scott,,,,,,,,,,,0,0,10
Larry King,,,,,,,,,,,,0,10
Total,53,2,1,0,0,26,24,23,19,17,0,0,10
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,11
,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Critz,Mark Smith,Kathy Enggasser,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,Barbara A Deeley,Jacqulyne Scott,Larry King,11
Mike Stack,25,0,0,0,0,22,17,12,11,11,0,0,11
Brad Koplinski,,0,0,0,0,0,0,1,2,0,0,0,11
Brandon P Neuman,,,0,0,0,0,0,1,1,1,0,0,11
Mark Critz,,,,0,0,1,0,0,0,0,0,0,11
Mark Smith,,,,,0,1,0,0,0,0,0,0,11
Kathy Enggasser,,,,,,0,9,9,10,9,0,0,11
Louis Farinella,,,,,,,0,7,7,7,0,0,11
Mary Ann Quartullo,,,,,,,,0,9,8,0,0,11
Patrick Parkinson,,,,,,,,,0,9,0,0,11
Barbara A Deeley,,,,,,,,,,0,0,0,11
Jacqulyne Scott,,,,,,,,,,,0,0,11
Larry King,,,,,,,,,,,,0,11
Total,61,3,2,1,1,24,17,14,14,12,0,0,11
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,12
,Mike Stack,Brandon P Neuman,Brad Koplinski,Mark Smith,Mark Critz,Kathy Enggasser,Louis Farinella,Patrick Parkinson,Barbara A Deeley,Mary Ann Quartullo,Jacqulyne Scott,Larry King,12
Mike Stack,21,0,0,0,0,20,17,15,15,10,0,0,12
Brandon P Neuman,,1,0,0,0,1,1,1,1,1,0,0,12
Brad Koplinski,,,1,0,0,0,0,0,0,0,0,0,12
Mark Smith,,,,0,0,0,0,1,0,0,0,0,12
Mark Critz,,,,,0,0,0,0,0,0,0,0,12
Kathy Enggasser,,,,,,0,12,11,10,9,0,0,12
Louis Farinella,,,,,,,0,12,12,10,0,0,12
Patrick Parkinson,,,,,,,,0,12,9,0,0,12
Barbara A Deeley,,,,,,,,,0,10,0,0,12
Mary Ann Quartullo,,,,,,,,,,0,0,0,12
Jacqulyne Scott,,,,,,,,,,,0,0,12
Larry King,,,,,,,,,,,,0,12
Total,55,2,1,1,0,22,18,18,16,11,0,0,12
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,13
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,Louis Farinella,Kathy Enggasser,Patrick Parkinson,Barbara A Deeley,Mary Ann Quartullo,Larry King,Jacqulyne Scott,13
Mike Stack,13,0,0,0,0,33,27,18,17,16,1,0,13
Mark Smith,,0,0,0,0,1,1,2,1,2,0,0,13
Mark Critz,,,0,0,0,1,1,1,0,0,0,0,13
Brad Koplinski,,,,0,0,0,0,0,0,0,0,0,13
Brandon P Neuman,,,,,0,0,0,0,0,0,0,0,13
Louis Farinella,,,,,,0,17,16,13,13,1,0,13
Kathy Enggasser,,,,,,,0,15,15,15,1,0,13
Patrick Parkinson,,,,,,,,0,15,16,1,0,13
Barbara A Deeley,,,,,,,,,0,15,1,0,13
Mary Ann Quartullo,,,,,,,,,,0,1,0,13
Larry King,,,,,,,,,,,0,0,13
Jacqulyne Scott,,,,,,,,,,,,0,13
Total,61,2,1,0,0,35,29,21,18,18,1,0,13
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,14
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,Kathy Enggasser,Louis Farinella,Patrick Parkinson,Mary Ann Quartullo,Barbara A Deeley,Jacqulyne Scott,Larry King,14
Mike Stack,26,0,0,0,0,36,35,27,22,19,0,0,14
Mark Smith,,0,0,0,0,2,3,2,2,2,0,0,14
Brandon P Neuman,,,1,0,0,0,0,1,0,0,0,0,14
Brad Koplinski,,,,0,0,1,1,1,1,1,0,0,14
Mark Critz,,,,,0,0,0,0,0,0,0,0,14
Kathy Enggasser,,,,,,0,22,22,19,19,0,0,14
Louis Farinella,,,,,,,0,20,21,19,0,0,14
Patrick Parkinson,,,,,,,,0,20,20,0,0,14
Mary Ann Quartullo,,,,,,,,,0,21,0,0,14
Barbara A Deeley,,,,,,,,,,0,0,0,14
Jacqulyne Scott,,,,,,,,,,,0,0,14
Larry King,,,,,,,,,,,,0,14
Total,88,3,2,1,0,39,39,31,25,22,0,0,14
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,15
,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Smith,Mark Critz,Kathy Enggasser,Barbara A Deeley,Louis Farinella,Mary Ann Quartullo,Patrick Parkinson,Jacqulyne Scott,Larry King,15
Mike Stack,23,0,0,0,0,30,24,23,18,16,0,0,15
Brad Koplinski,,0,0,0,0,2,0,0,0,0,0,0,15
Brandon P Neuman,,,0,0,0,0,0,0,0,2,0,0,15
Mark Smith,,,,0,0,1,1,1,1,1,0,0,15
Mark Critz,,,,,0,0,0,0,0,0,0,0,15
Kathy Enggasser,,,,,,0,17,14,15,15,0,0,15
Barbara A Deeley,,,,,,,0,14,16,14,0,0,15
Louis Farinella,,,,,,,,0,15,13,0,0,15
Mary Ann Quartullo,,,,,,,,,0,14,0,0,15
Patrick Parkinson,,,,,,,,,,0,0,0,15
Jacqulyne Scott,,,,,,,,,,,0,0,15
Larry King,,,,,,,,,,,,0,15
Total,73,2,2,1,0,33,25,24,19,19,0,0,15
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,16
,Mike Stack,Brandon P Neuman,Mark Smith,Brad Koplinski,Mark Critz,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Mary Ann Quartullo,Patrick Parkinson,Jacqulyne Scott,Larry King,16
Mike Stack,17,0,0,0,0,17,15,13,13,13,0,0,16
Brandon P Neuman,,1,0,0,0,0,0,0,0,0,0,0,16
Mark Smith,,,1,0,0,0,0,0,0,0,0,0,16
Brad Koplinski,,,,0,0,0,0,0,0,0,0,0,16
Mark Critz,,,,,0,0,0,0,0,0,0,0,16
Kathy Enggasser,,,,,,0,7,10,8,10,0,0,16
Louis Farinella,,,,,,,0,8,8,8,0,0,16
Barbara A Deeley,,,,,,,,0,8,10,0,0,16
Mary Ann Quartullo,,,,,,,,,0,9,0,0,16
Patrick Parkinson,,,,,,,,,,0,0,0,16
Jacqulyne Scott,,,,,,,,,,,0,0,16
Larry King,,,,,,,,,,,,0,16
Total,49,1,1,0,0,17,15,13,13,13,0,0,16
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,17
,Mike Stack,Brad Koplinski,Mark Smith,Brandon P Neuman,Mark Critz,Louis Farinella,Kathy Enggasser,Mary Ann Quartullo,Barbara A Deeley,Patrick Parkinson,Jacqulyne Scott,Larry King,17
Mike Stack,9,0,0,0,0,14,13,8,9,7,0,0,17
Brad Koplinski,,0,0,0,0,0,0,2,0,0,0,0,17
Mark Smith,,,0,0,0,2,2,2,1,2,0,0,17
Brandon P Neuman,,,,0,0,0,0,0,0,0,0,0,17
Mark Critz,,,,,0,0,0,0,0,0,0,0,17
Louis Farinella,,,,,,0,9,9,8,8,0,0,17
Kathy Enggasser,,,,,,,0,7,6,8,0,0,17
Mary Ann Quartullo,,,,,,,,0,8,8,0,0,17
Barbara A Deeley,,,,,,,,,0,7,0,0,17
Patrick Parkinson,,,,,,,,,,0,0,0,17
Jacqulyne Scott,,,,,,,,,,,0,0,17
Larry King,,,,,,,,,,,,0,17
Total,32,2,2,0,0,16,15,12,10,9,0,0,17
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,18
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Larry King,Jacqulyne Scott,18
Mike Stack,28,0,0,0,0,26,26,17,15,12,1,0,18
Mark Smith,,1,0,0,0,2,3,3,4,3,0,0,18
Brad Koplinski,,,1,0,0,0,0,1,0,2,0,0,18
Brandon P Neuman,,,,0,0,1,0,1,0,0,0,0,18
Mark Critz,,,,,0,0,1,0,1,1,0,0,18
Kathy Enggasser,,,,,,2,14,16,14,12,1,0,18
Louis Farinella,,,,,,,1,14,14,12,1,0,18
Barbara A Deeley,,,,,,,,0,15,12,1,0,18
Patrick Parkinson,,,,,,,,,1,12,1,0,18
Mary Ann Quartullo,,,,,,,,,,0,1,0,18
Larry King,,,,,,,,,,,0,0,18
Jacqulyne Scott,,,,,,,,,,,,0,18
Total,73,7,3,1,1,31,31,22,21,18,1,0,18
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,19
,Mike Stack,Brad Koplinski,Mark Smith,Mark Critz,Brandon P Neuman,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Larry King,Jacqulyne Scott,19
Mike Stack,20,0,0,0,0,30,18,13,13,12,1,0,19
Brad Koplinski,,2,0,0,0,0,1,0,0,0,0,0,19
Mark Smith,,,3,0,0,0,0,0,0,0,0,0,19
Mark Critz,,,,0,0,1,1,0,0,1,0,0,19
Brandon P Neuman,,,,,1,0,0,0,0,0,0,0,19
Kathy Enggasser,,,,,,0,12,10,10,10,1,0,19
Louis Farinella,,,,,,,0,9,9,10,1,0,19
Barbara A Deeley,,,,,,,,1,11,10,1,0,19
Patrick Parkinson,,,,,,,,,0,9,0,0,19
Mary Ann Quartullo,,,,,,,,,,0,1,0,19
Larry King,,,,,,,,,,,0,0,19
Jacqulyne Scott,,,,,,,,,,,,0,19
Total,63,3,3,2,1,31,20,15,14,13,1,0,19
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,20
,Mike Stack,Brandon P Neuman,Mark Smith,Brad Koplinski,Mark Critz,Kathy Enggasser,Barbara A Deeley,Patrick Parkinson,Louis Farinella,Mary Ann Quartullo,Larry King,Jacqulyne Scott,20
Mike Stack,20,0,0,0,0,38,31,23,23,21,2,1,20
Brandon P Neuman,,0,0,0,0,3,5,3,2,2,0,0,20
Mark Smith,,,1,0,0,1,0,1,1,0,0,0,20
Brad Koplinski,,,,0,0,1,1,1,1,1,0,0,20
Mark Critz,,,,,0,0,0,0,0,0,0,0,20
Kathy Enggasser,,,,,,1,24,21,19,19,2,1,20
Barbara A Deeley,,,,,,,0,23,19,21,2,1,20
Patrick Parkinson,,,,,,,,1,20,21,2,1,20
Louis Farinella,,,,,,,,,0,21,2,1,20
