col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In Congress 2nd District - Democrat,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Chaka Fattah,Darrell L Clarke,Matthew D Myers,Marylouise Isaacson,Micah Mahjoubian,Michelle L Rumbaugh,Nekisha Fulton,Domenick demuro,Albert C Littlepage,Thomas J Rumbaugh,All
Chaka Fattah,"1,178","3,493","2,740","2,683","2,580","2,240","2,106","1,638","1,593","1,564",All
Darrell L Clarke,,149,"2,355","2,168","2,184","1,869","1,799","1,419","1,387","1,366",All
Matthew D Myers,,,88,"2,147","2,202","1,900","1,803","1,545","1,445","1,459",All
Marylouise Isaacson,,,,52,"2,036","2,207","2,043","1,534","1,543","1,534",All
Micah Mahjoubian,,,,,61,"1,745","1,718","1,392","1,279","1,355",All
Michelle L Rumbaugh,,,,,,8,"1,870","1,324","1,323","1,419",All
Nekisha Fulton,,,,,,,2,"1,306","1,322","1,333",All
Domenick demuro,,,,,,,,26,"1,276",978,All
Albert C Littlepage,,,,,,,,,16,990,All
Thomas J Rumbaugh,,,,,,,,,,3,All
Total,"5,888","3,842","3,078","2,989","2,845","2,459","2,263","1,837","1,768","1,692",All
