col_1,col_2,col_3,col_4,col_5,division
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,All
,Armond James,Denise Furey,Calvin R Tucker,Walt Vogler,All
Armond James,3,40,38,35,All
Denise Furey,,1,34,32,All
Calvin R Tucker,,,0,32,All
Walt Vogler,,,,0,All
Total,51,42,39,36,All
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,1
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,1
Armond James,0,6,5,5,1
Calvin R Tucker,,0,5,5,1
Denise Furey,,,0,5,1
Walt Vogler,,,,0,1
Total,6,6,5,5,1
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,2
,Armond James,Denise Furey,Calvin R Tucker,Walt Vogler,2
Armond James,0,5,3,3,2
Denise Furey,,0,3,3,2
Calvin R Tucker,,,0,2,2
Walt Vogler,,,,0,2
Total,5,5,3,3,2
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,3
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,3
Armond James,0,1,1,1,3
Calvin R Tucker,,0,1,1,3
Denise Furey,,,0,1,3
Walt Vogler,,,,0,3
Total,1,1,1,1,3
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,4
,Armond James,Denise Furey,Calvin R Tucker,Walt Vogler,4
Armond James,1,1,0,0,4
Denise Furey,,0,0,0,4
Calvin R Tucker,,,0,0,4
Walt Vogler,,,,0,4
Total,2,1,0,0,4
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,6
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,6
Armond James,1,3,2,2,6
Calvin R Tucker,,0,3,3,6
Denise Furey,,,0,3,6
Walt Vogler,,,,0,6
Total,4,4,3,3,6
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,7
,Armond James,Denise Furey,Calvin R Tucker,Walt Vogler,7
Armond James,0,5,5,4,7
Denise Furey,,1,4,4,7
Calvin R Tucker,,,0,4,7
Walt Vogler,,,,0,7
Total,6,6,5,4,7
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,8
,Armond James,Walt Vogler,Calvin R Tucker,Denise Furey,8
Armond James,0,2,1,0,8
Walt Vogler,,0,1,0,8
Calvin R Tucker,,,0,0,8
Denise Furey,,,,0,8
Total,2,2,1,0,8
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,9
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,9
Armond James,0,2,2,2,9
Calvin R Tucker,,0,2,2,9
Denise Furey,,,0,2,9
Walt Vogler,,,,0,9
Total,2,2,2,2,9
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,10
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,10
Armond James,0,2,2,2,10
Calvin R Tucker,,0,2,2,10
Denise Furey,,,0,2,10
Walt Vogler,,,,0,10
Total,2,2,2,2,10
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,11
,Armond James,Walt Vogler,Calvin R Tucker,Denise Furey,11
Armond James,0,4,3,3,11
Walt Vogler,,0,3,3,11
Calvin R Tucker,,,0,3,11
Denise Furey,,,,0,11
Total,4,4,3,3,11
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,12
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,12
Armond James,0,1,1,1,12
Calvin R Tucker,,0,1,1,12
Denise Furey,,,0,1,12
Walt Vogler,,,,0,12
Total,1,1,1,1,12
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,14
,Armond James,Calvin R Tucker,Denise Furey,Walt Vogler,14
Armond James,0,1,1,0,14
Calvin R Tucker,,0,1,0,14
Denise Furey,,,0,0,14
Walt Vogler,,,,0,14
Total,1,1,1,0,14
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,15
,Armond James,Calvin R Tucker,Walt Vogler,Denise Furey,15
Armond James,0,1,1,0,15
Calvin R Tucker,,0,0,0,15
Walt Vogler,,,0,0,15
Denise Furey,,,,0,15
Total,2,1,1,0,15
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,16
,Armond James,Denise Furey,Calvin R Tucker,Walt Vogler,16
Armond James,0,6,5,5,16
Denise Furey,,0,5,5,16
Calvin R Tucker,,,0,5,16
Walt Vogler,,,,0,16
Total,6,6,5,5,16
,Representative In Congress 2nd District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,17
,Armond James,Denise Furey,Calvin R Tucker,Walt Vogler,17
Armond James,1,6,4,3,17
Denise Furey,,0,4,3,17
Calvin R Tucker,,,0,3,17
Walt Vogler,,,,0,17
Total,7,6,4,3,17
