col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Governor - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,All
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Vanessa L Brown,Wanda Logan,Isaac N Patterson V,All
Tom Wolf,45,0,0,0,95,79,30,All
Allyson Y Schwartz,,21,0,0,57,35,8,All
Robert M Mccord,,,12,0,34,18,6,All
Katie Mcginty,,,,5,9,8,2,All
Vanessa L Brown,,,,,10,0,0,All
Wanda Logan,,,,,,3,0,All
Isaac N Patterson V,,,,,,,1,All
Total,249,121,70,24,205,143,47,All
,Governor - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,6
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Wanda Logan,Vanessa L Brown,Isaac N Patterson V,6
Tom Wolf,21,0,0,0,46,28,21,6
Allyson Y Schwartz,,8,0,0,22,17,5,6
Robert M Mccord,,,4,0,7,9,1,6
Katie Mcginty,,,,5,2,2,2,6
Wanda Logan,,,,,3,0,0,6
Vanessa L Brown,,,,,,4,0,6
Isaac N Patterson V,,,,,,,1,6
Total,116,52,21,11,80,60,30,6
,Representative In The General Assembly 190th District - Democrat,,,Governor - Democrat,,,,7
,Vanessa L Brown,Wanda Logan,Isaac N Patterson V,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,7
Vanessa L Brown,2,0,0,27,13,7,0,7
Wanda Logan,,0,0,8,4,3,3,7
Isaac N Patterson V,,,0,0,2,0,0,7
Tom Wolf,,,,6,0,0,0,7
Allyson Y Schwartz,,,,,3,0,0,7
Robert M Mccord,,,,,,2,0,7
Katie Mcginty,,,,,,,0,7
Total,49,18,2,41,22,12,3,7
,Governor - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,8
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Vanessa L Brown,Wanda Logan,Isaac N Patterson V,8
Tom Wolf,9,0,0,0,18,9,5,8
Allyson Y Schwartz,,6,0,0,10,4,1,8
Robert M Mccord,,,2,0,8,4,2,8
Katie Mcginty,,,,0,3,1,0,8
Vanessa L Brown,,,,,1,0,0,8
Wanda Logan,,,,,,0,0,8
Isaac N Patterson V,,,,,,,0,8
Total,41,21,16,4,40,18,8,8
,Representative In The General Assembly 190th District - Democrat,,,Governor - Democrat,,,,16
,Vanessa L Brown,Wanda Logan,Isaac N Patterson V,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,16
Vanessa L Brown,2,0,0,10,8,5,1,16
Wanda Logan,,0,0,8,3,3,2,16
Isaac N Patterson V,,,0,2,0,1,0,16
Tom Wolf,,,,4,0,0,0,16
Allyson Y Schwartz,,,,,2,0,0,16
Robert M Mccord,,,,,,3,0,16
Katie Mcginty,,,,,,,0,16
Total,26,16,3,24,13,12,3,16
,Representative In The General Assembly 190th District - Democrat,,,Governor - Democrat,,,,17
,Vanessa L Brown,Wanda Logan,Isaac N Patterson V,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,17
Vanessa L Brown,1,0,0,12,9,5,3,17
Wanda Logan,,0,0,8,2,1,0,17
Isaac N Patterson V,,,0,2,0,2,0,17
Tom Wolf,,,,5,0,0,0,17
Allyson Y Schwartz,,,,,2,0,0,17
Robert M Mccord,,,,,,1,0,17
Katie Mcginty,,,,,,,0,17
Total,30,11,4,27,13,9,3,17
