col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 181st District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,W Curtis Thomas,Kenneth T Walker Jr,K Williams Medley,Emily Rodriguez,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
W Curtis Thomas,565,0,0,0,"1,148",737,782,583,650,513,350,347,286,290,16,All
Kenneth T Walker Jr,,264,0,0,214,303,183,149,150,143,152,118,108,111,7,All
K Williams Medley,,,52,0,294,86,75,191,67,185,68,64,66,42,21,All
Emily Rodriguez,,,,83,114,122,104,127,94,68,111,120,88,62,3,All
Latrice Y Bryant,,,,,24,896,878,695,813,685,517,447,423,370,25,All
Gwen Collins,,,,,,12,864,492,819,489,547,463,445,393,18,All
Barbara Carroll,,,,,,,6,487,818,443,474,440,382,365,14,All
David Rodriguez,,,,,,,,5,446,638,459,489,404,343,27,All
Elaine Tomlin,,,,,,,,,0,430,454,405,378,362,14,All
Edward M Lloyd Jr,,,,,,,,,,4,446,410,383,325,31,All
Karen Voss,,,,,,,,,,,2,445,431,360,10,All
Humberto Perez,,,,,,,,,,,,4,414,297,13,All
Louis Agre,,,,,,,,,,,,,0,282,8,All
Ruth I Birchett,,,,,,,,,,,,,,3,8,All
Dawn Thomas,,,,,,,,,,,,,,,2,All
Total,"2,324",741,447,350,"1,833","1,291","1,184","1,070",995,926,691,662,554,515,52,All
