col_1,col_2,col_3,division
,Lieutenant Governor - Republican,Representative In Congress 2nd District - Republican,2
,Jim Cawley,Armond James,2
Jim Cawley,1,1,2
Armond James,,0,2
Total,2,1,2
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,3
,Armond James,Jim Cawley,3
Armond James,0,1,3
Jim Cawley,,0,3
Total,1,1,3
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,5
,Armond James,Jim Cawley,5
Armond James,0,1,5
Jim Cawley,,0,5
Total,1,1,5
,Lieutenant Governor - Republican,Representative In Congress 2nd District - Republican,6
,Jim Cawley,Armond James,6
Jim Cawley,1,0,6
Armond James,,0,6
Total,1,0,6
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,9
,Armond James,Jim Cawley,9
Armond James,0,1,9
Jim Cawley,,0,9
Total,1,1,9
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,12
,Armond James,Jim Cawley,12
Armond James,0,1,12
Jim Cawley,,0,12
Total,1,1,12
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,14
,Armond James,Jim Cawley,14
Armond James,0,1,14
Jim Cawley,,0,14
Total,1,1,14
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,16
,Armond James,Jim Cawley,16
Armond James,0,2,16
Jim Cawley,,0,16
Total,2,2,16
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,17
,Armond James,Jim Cawley,17
Armond James,1,1,17
Jim Cawley,,0,17
Total,2,1,17
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,19
,Armond James,Jim Cawley,19
Armond James,0,1,19
Jim Cawley,,0,19
Total,1,1,19
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,23
,Armond James,Jim Cawley,23
Armond James,1,1,23
Jim Cawley,,0,23
Total,2,1,23
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,28
,Armond James,Jim Cawley,28
Armond James,0,1,28
Jim Cawley,,0,28
Total,1,1,28
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,29
,Armond James,Jim Cawley,29
Armond James,0,2,29
Jim Cawley,,0,29
Total,2,2,29
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,All
,Armond James,Jim Cawley,All
Armond James,2,14,All
Jim Cawley,,2,All
Total,16,16,All
