col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 5th Senatorial District,,,,,,,All
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Kathy Enggasser,Louis Farinella,Barbara A Deeley,Patrick Parkinson,Mary Ann Quartullo,Larry King,Jacqulyne Scott,All
Mike Stack,"6,676",0,0,0,0,"6,620","5,260","4,452","4,147","3,811",132,118,All
Mark Smith,,289,0,0,0,300,262,197,198,173,7,5,All
Brad Koplinski,,,185,0,0,147,135,139,187,137,3,2,All
Brandon P Neuman,,,,134,0,160,101,136,170,80,6,5,All
Mark Critz,,,,,104,158,130,57,68,57,4,11,All
Kathy Enggasser,,,,,,125,"3,729","3,662","3,514","3,480",129,112,All
Louis Farinella,,,,,,,60,"3,290","3,336","3,317",134,107,All
Barbara A Deeley,,,,,,,,46,"3,397","3,455",134,104,All
Patrick Parkinson,,,,,,,,,41,"3,236",133,107,All
Mary Ann Quartullo,,,,,,,,,,15,126,101,All
Larry King,,,,,,,,,,,0,18,All
Jacqulyne Scott,,,,,,,,,,,,0,All
Total,"17,211",801,534,467,377,"7,569","5,999","5,079","4,857","4,315",152,141,All
