col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 197th District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Leslie Acosta,Danilo R Burgos,Ben Ramos,Jose P Miranda,Latrice Y Bryant,David Rodriguez,Gwen Collins,Edward M Lloyd Jr,Elaine Tomlin,Barbara Carroll,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Leslie Acosta,318,0,0,0,234,177,120,145,115,115,74,73,46,51,5,All
Danilo R Burgos,,218,0,0,112,124,122,89,115,94,121,86,76,49,2,All
Ben Ramos,,,137,0,93,133,54,76,51,49,53,32,28,24,3,All
Jose P Miranda,,,,66,43,42,50,33,49,47,26,33,28,25,0,All
Latrice Y Bryant,,,,,4,226,233,237,235,233,146,157,112,113,3,All
David Rodriguez,,,,,,5,166,225,162,159,166,157,130,107,6,All
Gwen Collins,,,,,,,1,180,240,235,154,176,131,118,3,All
Edward M Lloyd Jr,,,,,,,,6,168,169,146,158,122,112,6,All
Elaine Tomlin,,,,,,,,,2,243,146,155,114,120,2,All
Barbara Carroll,,,,,,,,,,0,147,161,116,120,2,All
Humberto Perez,,,,,,,,,,,0,154,125,95,4,All
Karen Voss,,,,,,,,,,,,1,134,111,4,All
Louis Agre,,,,,,,,,,,,,0,79,4,All
Ruth I Birchett,,,,,,,,,,,,,,0,3,All
Dawn Thomas,,,,,,,,,,,,,,,0,All
Total,734,498,381,169,494,483,355,352,341,315,275,227,180,152,10,All
,Representative In The General Assembly 197th District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,1
,Ben Ramos,Jose P Miranda,Leslie Acosta,Danilo R Burgos,Latrice Y Bryant,David Rodriguez,Edward M Lloyd Jr,Elaine Tomlin,Gwen Collins,Barbara Carroll,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,1
Ben Ramos,5,0,0,0,8,8,7,7,9,5,5,4,4,3,0,1
Jose P Miranda,,4,0,0,4,5,5,8,4,5,4,5,4,3,0,1
Leslie Acosta,,,2,0,6,4,4,2,2,4,3,3,3,3,0,1
Danilo R Burgos,,,,3,5,2,2,2,4,1,2,2,2,2,1,1
Latrice Y Bryant,,,,,1,10,10,9,6,8,8,8,9,8,1,1
David Rodriguez,,,,,,0,9,8,7,7,9,8,9,6,1,1
Edward M Lloyd Jr,,,,,,,1,9,7,9,8,8,10,10,1,1
