col_1,col_2,division
,Representative In Congress 1st District - Republican,1
,Megan Rath,1
Megan Rath,7,1
Total,7,1
,Representative In Congress 1st District - Republican,2
,Megan Rath,2
Megan Rath,6,2
Total,6,2
,Representative In Congress 1st District - Republican,4
,Megan Rath,4
Megan Rath,4,4
Total,4,4
,Representative In Congress 1st District - Republican,5
,Megan Rath,5
Megan Rath,3,5
Total,3,5
,Representative In Congress 1st District - Republican,6
,Megan Rath,6
Megan Rath,4,6
Total,4,6
,Representative In Congress 1st District - Republican,7
,Megan Rath,7
Megan Rath,2,7
Total,2,7
,Representative In Congress 1st District - Republican,8
,Megan Rath,8
Megan Rath,4,8
Total,4,8
,Representative In Congress 1st District - Republican,9
,Megan Rath,9
Megan Rath,3,9
Total,3,9
,Representative In Congress 1st District - Republican,10
,Megan Rath,10
Megan Rath,3,10
Total,3,10
,Representative In Congress 1st District - Republican,11
,Megan Rath,11
Megan Rath,6,11
Total,6,11
,Representative In Congress 1st District - Republican,12
,Megan Rath,12
Megan Rath,4,12
Total,4,12
,Representative In Congress 1st District - Republican,13
,Megan Rath,13
Megan Rath,4,13
Total,4,13
,Representative In Congress 1st District - Republican,15
,Megan Rath,15
Megan Rath,2,15
Total,2,15
,Representative In Congress 1st District - Republican,16
,Megan Rath,16
Megan Rath,1,16
Total,1,16
,Representative In Congress 1st District - Republican,20
,Megan Rath,20
Megan Rath,3,20
Total,3,20
,Representative In Congress 1st District - Republican,23
,Megan Rath,23
Megan Rath,4,23
Total,4,23
,Representative In Congress 1st District - Republican,24
,Megan Rath,24
Megan Rath,1,24
Total,1,24
,Representative In Congress 1st District - Republican,All
,Megan Rath,All
Megan Rath,61,All
Total,61,All
