col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,All
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Leslie Acosta,Danilo R Burgos,Ben Ramos,Jose P Miranda,All
Tom Wolf,83,0,0,0,228,104,80,38,All
Robert M Mccord,,21,0,0,94,119,27,17,All
Allyson Y Schwartz,,,19,0,52,45,17,29,All
Katie Mcginty,,,,1,8,12,1,8,All
Leslie Acosta,,,,,20,0,0,0,All
Danilo R Burgos,,,,,,22,0,0,All
Ben Ramos,,,,,,,9,0,All
Jose P Miranda,,,,,,,,10,All
Total,533,278,162,30,402,302,134,102,All
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,1
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Jose P Miranda,Leslie Acosta,Ben Ramos,Danilo R Burgos,1
Tom Wolf,8,0,0,0,13,13,10,2,1
Robert M Mccord,,2,0,0,3,3,3,3,1
Allyson Y Schwartz,,,2,0,1,3,1,3,1
Katie Mcginty,,,,0,2,0,0,0,1
Jose P Miranda,,,,,8,0,0,0,1
Leslie Acosta,,,,,,1,0,0,1
Ben Ramos,,,,,,,0,0,1
Danilo R Burgos,,,,,,,,1,1
Total,46,14,10,2,27,20,14,9,1
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,2
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Leslie Acosta,Danilo R Burgos,Ben Ramos,Jose P Miranda,2
Tom Wolf,9,0,0,0,29,12,1,0,2
Robert M Mccord,,2,0,0,8,8,3,0,2
Allyson Y Schwartz,,,1,0,6,4,2,5,2
Katie Mcginty,,,,1,0,4,0,0,2
Leslie Acosta,,,,,7,0,0,0,2
Danilo R Burgos,,,,,,6,0,0,2
Ben Ramos,,,,,,,0,0,2
Jose P Miranda,,,,,,,,0,2
Total,51,21,18,5,50,34,6,5,2
,Representative In The General Assembly 197th District - Democrat,,,,Governor - Democrat,,,,3
,Leslie Acosta,Danilo R Burgos,Ben Ramos,Jose P Miranda,Robert M Mccord,Tom Wolf,Allyson Y Schwartz,Katie Mcginty,3
Leslie Acosta,1,0,0,0,45,20,2,1,3
Danilo R Burgos,,0,0,0,14,3,3,0,3
Ben Ramos,,,1,0,1,3,1,0,3
Jose P Miranda,,,,0,0,0,0,0,3
Robert M Mccord,,,,,2,0,0,0,3
Tom Wolf,,,,,,2,0,0,3
Allyson Y Schwartz,,,,,,,1,0,3
Katie Mcginty,,,,,,,,0,3
Total,69,20,6,0,62,28,7,1,3
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,7
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Danilo R Burgos,Leslie Acosta,Ben Ramos,Jose P Miranda,7
Tom Wolf,10,0,0,0,14,14,6,6,7
Robert M Mccord,,3,0,0,15,7,2,0,7
Allyson Y Schwartz,,,2,0,8,6,1,2,7
Katie Mcginty,,,,0,1,0,0,2,7
Danilo R Burgos,,,,,3,0,0,0,7
Leslie Acosta,,,,,,3,0,0,7
Ben Ramos,,,,,,,2,0,7
Jose P Miranda,,,,,,,,0,7
Total,50,27,19,3,41,30,11,10,7
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,8
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Leslie Acosta,Danilo R Burgos,Ben Ramos,Jose P Miranda,8
Tom Wolf,11,0,0,0,30,14,9,7,8
Allyson Y Schwartz,,3,0,0,7,9,4,8,8
Robert M Mccord,,,1,0,11,3,5,1,8
Katie Mcginty,,,,0,3,0,1,2,8
Leslie Acosta,,,,,1,0,0,0,8
Danilo R Burgos,,,,,,1,0,0,8
Ben Ramos,,,,,,,3,0,8
Jose P Miranda,,,,,,,,0,8
Total,71,31,21,6,52,27,22,18,8
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,11
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Leslie Acosta,Danilo R Burgos,Ben Ramos,Jose P Miranda,11
Tom Wolf,12,0,0,0,36,15,9,3,11
Robert M Mccord,,4,0,0,5,22,6,5,11
Allyson Y Schwartz,,,1,0,9,2,1,2,11
Katie Mcginty,,,,0,1,1,0,0,11
Leslie Acosta,,,,,1,0,0,0,11
Danilo R Burgos,,,,,,1,0,0,11
Ben Ramos,,,,,,,0,0,11
Jose P Miranda,,,,,,,,0,11
Total,75,42,15,2,52,41,16,10,11
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,13
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Leslie Acosta,Ben Ramos,Danilo R Burgos,Jose P Miranda,13
Tom Wolf,5,0,0,0,30,22,5,3,13
Allyson Y Schwartz,,3,0,0,7,4,2,2,13
Robert M Mccord,,,2,0,7,4,2,2,13
Katie Mcginty,,,,0,1,0,1,0,13
Leslie Acosta,,,,,6,0,0,0,13
Ben Ramos,,,,,,2,0,0,13
Danilo R Burgos,,,,,,,3,0,13
Jose P Miranda,,,,,,,,0,13
Total,65,18,17,2,51,32,13,7,13
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,19
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Danilo R Burgos,Leslie Acosta,Ben Ramos,Jose P Miranda,19
Tom Wolf,13,0,0,0,10,26,14,2,19
Robert M Mccord,,3,0,0,17,3,1,4,19
Allyson Y Schwartz,,,4,0,8,4,1,8,19
Katie Mcginty,,,,0,4,1,0,2,19
Danilo R Burgos,,,,,4,0,0,0,19
Leslie Acosta,,,,,,0,0,0,19
Ben Ramos,,,,,,,1,0,19
Jose P Miranda,,,,,,,,1,19
Total,65,28,25,7,43,34,17,17,19
,Governor - Democrat,,,,Representative In The General Assembly 197th District - Democrat,,,,20
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Danilo R Burgos,Leslie Acosta,Ben Ramos,Jose P Miranda,20
Tom Wolf,13,0,0,0,29,30,6,4,20
Robert M Mccord,,2,0,0,35,5,2,2,20
Allyson Y Schwartz,,,2,0,6,8,2,1,20
Katie Mcginty,,,,0,1,1,0,0,20
Danilo R Burgos,,,,,3,0,0,0,20
Leslie Acosta,,,,,,0,0,0,20
Ben Ramos,,,,,,,0,0,20
Jose P Miranda,,,,,,,,1,20
Total,82,46,19,2,74,44,10,8,20
