col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,,,All
,Darrell L Clarke,Micah Mahjoubian,Matthew D Myers,Marylouise Isaacson,Domenick demuro,Nekisha Fulton,Albert C Littlepage,Michelle L Rumbaugh,Thomas J Rumbaugh,W Curtis Thomas,Emily Rodriguez,K Williams Medley,Kenneth T Walker Jr,All
Darrell L Clarke,34,560,563,416,433,374,353,324,258,877,200,86,57,All
Micah Mahjoubian,,3,530,381,401,345,327,292,236,405,165,88,36,All
Matthew D Myers,,,5,365,417,337,325,287,242,427,146,68,36,All
Marylouise Isaacson,,,,1,345,379,347,339,260,276,202,28,39,All
Domenick demuro,,,,,1,316,325,262,232,312,142,22,35,All
Nekisha Fulton,,,,,,0,323,314,239,241,154,22,31,All
Albert C Littlepage,,,,,,,4,264,233,229,130,21,29,All
Michelle L Rumbaugh,,,,,,,,1,196,203,149,19,26,All
Thomas J Rumbaugh,,,,,,,,,0,167,93,18,22,All
W Curtis Thomas,,,,,,,,,,205,0,0,0,All
Emily Rodriguez,,,,,,,,,,,94,0,0,All
K Williams Medley,,,,,,,,,,,,21,0,All
Kenneth T Walker Jr,,,,,,,,,,,,,21,All
Total,"1,269",711,697,549,523,451,416,400,301,"1,235",435,169,110,All
