col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,All
,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,Ken Washington,Willie Jordan,Jacque Whaumbush,Kathryn S Huggins,Lisa Rhodes,Monica Maria Djerassi,All
Mike Stack,193,0,0,0,0,528,494,304,250,251,212,All
Mark Smith,,11,0,0,0,45,31,28,19,22,15,All
Brandon P Neuman,,,5,0,0,18,16,10,21,13,23,All
Mark Critz,,,,4,0,18,9,17,7,5,5,All
Brad Koplinski,,,,,1,9,13,10,10,11,14,All
Ken Washington,,,,,,33,267,282,243,241,225,All
Willie Jordan,,,,,,,48,229,234,241,227,All
Jacque Whaumbush,,,,,,,,6,221,229,213,All
Kathryn S Huggins,,,,,,,,,11,236,218,All
Lisa Rhodes,,,,,,,,,,2,213,All
Monica Maria Djerassi,,,,,,,,,,,5,All
Total,"1,126",85,45,34,27,663,622,387,327,312,282,All
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,1
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,Ken Washington,Willie Jordan,Jacque Whaumbush,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,1
Mike Stack,9,0,0,0,0,31,29,20,20,16,16,1
Mark Smith,,0,0,0,0,2,1,0,0,0,0,1
Brandon P Neuman,,,0,0,0,1,0,0,0,1,0,1
Brad Koplinski,,,,0,0,0,0,0,0,0,0,1
Mark Critz,,,,,0,0,0,0,0,0,0,1
Ken Washington,,,,,,1,14,17,14,13,13,1
Willie Jordan,,,,,,,0,13,14,12,12,1
Jacque Whaumbush,,,,,,,,1,14,11,12,1
Kathryn S Huggins,,,,,,,,,2,11,13,1
Monica Maria Djerassi,,,,,,,,,,1,12,1
Lisa Rhodes,,,,,,,,,,,0,1
Total,67,3,1,0,0,36,30,22,22,18,16,1
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 7th Senatorial District,,,,,,2
,Mike Stack,Mark Smith,Brad Koplinski,Mark Critz,Brandon P Neuman,Ken Washington,Jacque Whaumbush,Kathryn S Huggins,Willie Jordan,Lisa Rhodes,Monica Maria Djerassi,2
Mike Stack,9,0,0,0,0,38,26,21,23,20,19,2
Mark Smith,,2,0,0,0,2,3,1,2,3,0,2
Brad Koplinski,,,0,0,0,0,0,1,0,0,1,2
Mark Critz,,,,0,0,2,0,1,1,0,0,2
Brandon P Neuman,,,,,0,1,1,1,1,1,1,2
Ken Washington,,,,,,1,26,19,19,17,18,2
Jacque Whaumbush,,,,,,,1,19,18,20,18,2
