col_1,col_2,col_3,col_4,col_5,division
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,All
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,All
Robert A Brady,43,622,189,181,All
Christine M Tartaglione,,90,0,0,All
Tomas Sanchez,,,54,0,All
Danny Savage,,,,49,All
Total,"1,035",712,243,230,All
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,1
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,1
Robert A Brady,3,28,10,10,1
Christine M Tartaglione,,3,0,0,1
Danny Savage,,,3,0,1
Tomas Sanchez,,,,2,1
Total,51,31,13,12,1
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,2
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,2
Robert A Brady,0,20,3,0,2
Christine M Tartaglione,,2,0,0,2
Tomas Sanchez,,,1,0,2
Danny Savage,,,,0,2
Total,23,22,4,0,2
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,3
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,3
Robert A Brady,1,22,12,5,3
Christine M Tartaglione,,1,0,0,3
Danny Savage,,,3,0,3
Tomas Sanchez,,,,1,3
Total,40,23,15,6,3
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,4
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,4
Robert A Brady,6,52,21,7,4
Christine M Tartaglione,,9,0,0,4
Tomas Sanchez,,,2,0,4
Danny Savage,,,,2,4
Total,86,61,23,9,4
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,5
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,5
Robert A Brady,0,62,19,8,5
Christine M Tartaglione,,4,0,0,5
Danny Savage,,,3,0,5
Tomas Sanchez,,,,5,5
Total,89,66,22,13,5
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,6
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,6
Robert A Brady,0,22,9,9,6
Christine M Tartaglione,,1,0,0,6
Tomas Sanchez,,,4,0,6
Danny Savage,,,,1,6
Total,40,23,13,10,6
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,8
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,8
Robert A Brady,0,21,13,6,8
Christine M Tartaglione,,8,0,0,8
Tomas Sanchez,,,5,0,8
Danny Savage,,,,4,8
Total,40,29,18,10,8
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,9
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,9
Robert A Brady,2,15,12,7,9
Christine M Tartaglione,,10,0,0,9
Tomas Sanchez,,,5,0,9
Danny Savage,,,,0,9
Total,36,25,17,7,9
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,10
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,10
Robert A Brady,1,11,6,3,10
Christine M Tartaglione,,4,0,0,10
Tomas Sanchez,,,2,0,10
Danny Savage,,,,2,10
Total,21,15,8,5,10
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,11
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,11
Robert A Brady,7,33,16,14,11
Christine M Tartaglione,,7,0,0,11
Tomas Sanchez,,,5,0,11
Danny Savage,,,,5,11
Total,70,40,21,19,11
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,12
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,12
Robert A Brady,1,35,6,6,12
Christine M Tartaglione,,4,0,0,12
Tomas Sanchez,,,4,0,12
Danny Savage,,,,0,12
Total,48,39,10,6,12
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,13
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,13
Robert A Brady,3,36,17,17,13
Christine M Tartaglione,,5,0,0,13
Danny Savage,,,5,0,13
Tomas Sanchez,,,,3,13
Total,73,41,22,20,13
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,14
,Robert A Brady,Christine M Tartaglione,Tomas Sanchez,Danny Savage,14
Robert A Brady,3,44,20,15,14
Christine M Tartaglione,,4,0,0,14
Tomas Sanchez,,,4,0,14
Danny Savage,,,,4,14
Total,82,48,24,19,14
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,15
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,15
Robert A Brady,2,31,14,7,15
Christine M Tartaglione,,4,0,0,15
Danny Savage,,,5,0,15
Tomas Sanchez,,,,4,15
Total,54,35,19,11,15
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,16
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,16
Robert A Brady,3,57,19,16,16
Christine M Tartaglione,,5,0,0,16
Danny Savage,,,4,0,16
Tomas Sanchez,,,,4,16
Total,95,62,23,20,16
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,17
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,17
Robert A Brady,4,37,11,4,17
Christine M Tartaglione,,4,0,0,17
Danny Savage,,,1,0,17
Tomas Sanchez,,,,1,17
Total,56,41,12,5,17
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,18
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,18
Robert A Brady,3,41,3,8,18
Christine M Tartaglione,,5,0,0,18
Danny Savage,,,6,0,18
Tomas Sanchez,,,,0,18
Total,55,46,9,8,18
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 2nd District - Democrat,,,19
,Robert A Brady,Christine M Tartaglione,Danny Savage,Tomas Sanchez,19
Robert A Brady,4,55,9,8,19
Christine M Tartaglione,,10,0,0,19
Danny Savage,,,1,0,19
Tomas Sanchez,,,,2,19
Total,76,65,10,10,19
