col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Darrell L Clarke,Matthew D Myers,Micah Mahjoubian,Marylouise Isaacson,Domenick demuro,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,All
Mike Stack,"3,532",0,0,0,0,"11,226","10,088","8,835","7,681","6,595","6,540","5,735","4,888","4,797",All
Mark Smith,,279,0,0,0,700,616,497,476,368,404,358,348,288,All
Brad Koplinski,,,266,0,0,427,390,398,546,354,430,367,324,262,All
Brandon P Neuman,,,,111,0,369,299,283,417,320,284,271,274,192,All
Mark Critz,,,,,136,315,315,283,225,176,187,173,170,137,All
Darrell L Clarke,,,,,,536,"8,807","7,910","6,756","6,016","5,844","5,501","4,849","4,415",All
Matthew D Myers,,,,,,,207,"8,020","6,738","6,671","6,048","5,546","5,116","4,880",All
Micah Mahjoubian,,,,,,,,56,"6,597","5,708","5,564","5,385","4,686","4,170",All
Marylouise Isaacson,,,,,,,,,64,"5,675","6,906","6,395","5,438","4,566",All
Domenick demuro,,,,,,,,,,120,"4,943","4,745","4,758","3,804",All
Michelle L Rumbaugh,,,,,,,,,,,20,"5,727","4,622","4,354",All
Nekisha Fulton,,,,,,,,,,,,14,"4,608","3,785",All
Albert C Littlepage,,,,,,,,,,,,,20,"3,468",All
Thomas J Rumbaugh,,,,,,,,,,,,,,34,All
Total,"19,870","1,428","1,162",831,720,"13,876","12,245","10,572","9,649","8,165","8,106","7,099","6,152","5,888",All
