col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 175th District - Democrat,,Governor - Democrat,,,,All
,Sean Sullivan,Michael H O Brien,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,All
Sean Sullivan,7,0,178,172,56,25,All
Michael H O Brien,,4,154,151,76,21,All
Allyson Y Schwartz,,,50,0,0,0,All
Tom Wolf,,,,54,0,0,All
Robert M Mccord,,,,,23,0,All
Katie Mcginty,,,,,,6,All
Total,438,406,382,377,155,52,All
,Representative In The General Assembly 175th District - Democrat,,Governor - Democrat,,,,1
,Sean Sullivan,Michael H O Brien,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,1
Sean Sullivan,1,0,33,32,7,4,1
Michael H O Brien,,1,27,21,18,6,1
Tom Wolf,,,8,0,0,0,1
Allyson Y Schwartz,,,,3,0,0,1
Robert M Mccord,,,,,5,0,1
Katie Mcginty,,,,,,1,1
Total,77,73,68,56,30,11,1
,Representative In The General Assembly 175th District - Democrat,,Governor - Democrat,,,,15
,Sean Sullivan,Michael H O Brien,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,15
Sean Sullivan,2,0,30,21,8,3,15
Michael H O Brien,,2,22,25,4,2,15
Allyson Y Schwartz,,,8,0,0,0,15
Tom Wolf,,,,8,0,0,15
Robert M Mccord,,,,,0,0,15
Katie Mcginty,,,,,,0,15
Total,64,55,60,54,12,5,15
,Representative In The General Assembly 175th District - Democrat,,Governor - Democrat,,,,16
,Sean Sullivan,Michael H O Brien,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,16
Sean Sullivan,3,0,42,40,17,7,16
Michael H O Brien,,0,25,29,11,2,16
Allyson Y Schwartz,,,16,0,0,0,16
Tom Wolf,,,,10,0,0,16
Robert M Mccord,,,,,5,0,16
Katie Mcginty,,,,,,1,16
Total,109,67,83,79,33,10,16
,Governor - Democrat,,,,Representative In The General Assembly 175th District - Democrat,,25
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Michael H O Brien,Sean Sullivan,25
Tom Wolf,12,0,0,0,19,23,25
Allyson Y Schwartz,,8,0,0,21,18,25
Robert M Mccord,,,3,0,10,5,25
Katie Mcginty,,,,2,2,4,25
Michael H O Brien,,,,,0,0,25
Sean Sullivan,,,,,,0,25
Total,54,47,18,8,52,50,25
,Representative In The General Assembly 175th District - Democrat,,Governor - Democrat,,,,26
,Michael H O Brien,Sean Sullivan,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,26
Michael H O Brien,0,0,40,23,21,5,26
Sean Sullivan,,1,32,31,7,3,26
Allyson Y Schwartz,,,6,0,0,0,26
Tom Wolf,,,,7,0,0,26
Robert M Mccord,,,,,5,0,26
Katie Mcginty,,,,,,2,26
Total,89,74,78,61,33,10,26
,Representative In The General Assembly 175th District - Democrat,,Governor - Democrat,,,,27
,Michael H O Brien,Sean Sullivan,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,27
Michael H O Brien,1,0,28,25,12,4,27
Sean Sullivan,,0,24,24,12,4,27
Tom Wolf,,,9,0,0,0,27
Allyson Y Schwartz,,,,9,0,0,27
Robert M Mccord,,,,,5,0,27
Katie Mcginty,,,,,,0,27
Total,70,64,61,58,29,8,27
