col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,All
,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,Janet Thompson,M Karen Bojar,Art Haywood,Leanna Washington,Brian D Gralnick,All
Jalila D Parker,27,"1,722","1,283","1,001",891,790,498,465,"1,449",765,241,All
Nedia S Ralston,,15,"1,159",882,808,710,401,415,"1,318",643,166,All
Cindy Bass,,,22,689,848,744,498,452,954,565,102,All
Sherrie Cohen,,,,11,537,423,386,419,630,577,169,All
Ron Couser,,,,,4,731,309,343,629,334,81,All
Bill Durham,,,,,,3,343,208,596,288,51,All
Janet Thompson,,,,,,,3,262,288,311,56,All
M Karen Bojar,,,,,,,,4,251,251,61,All
Art Haywood,,,,,,,,,495,0,0,All
Leanna Washington,,,,,,,,,,257,0,All
Brian D Gralnick,,,,,,,,,,,42,All
Total,"2,538","2,185","1,677","1,409","1,069",957,671,581,"2,402","1,507",387,All
,Senator In The General Assembly 4th District - Democrat,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,1
,Art Haywood,Leanna Washington,Brian D Gralnick,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,M Karen Bojar,Janet Thompson,1
Art Haywood,24,0,0,60,50,41,24,27,25,7,9,1
Leanna Washington,,3,0,20,14,14,16,11,8,11,7,1
Brian D Gralnick,,,3,8,6,3,6,4,4,2,3,1
Jalila D Parker,,,,0,56,43,37,35,29,15,17,1
Nedia S Ralston,,,,,2,34,29,31,29,12,12,1
Cindy Bass,,,,,,0,21,29,24,14,15,1
Sherrie Cohen,,,,,,,0,22,18,13,11,1
Ron Couser,,,,,,,,0,30,12,10,1
Bill Durham,,,,,,,,,0,8,13,1
M Karen Bojar,,,,,,,,,,0,7,1
Janet Thompson,,,,,,,,,,,0,1
Total,106,36,15,88,72,58,46,42,37,20,19,1
,Senator In The General Assembly 4th District - Democrat,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,2
,Art Haywood,Leanna Washington,Brian D Gralnick,Jalila D Parker,Nedia S Ralston,Cindy Bass,Ron Couser,Bill Durham,Sherrie Cohen,M Karen Bojar,Janet Thompson,2
Art Haywood,29,0,0,76,72,49,44,41,28,8,4,2
Leanna Washington,,7,0,15,16,13,3,5,8,3,5,2
Brian D Gralnick,,,2,6,6,1,1,1,4,0,1,2
Jalila D Parker,,,,0,80,52,41,39,33,9,6,2
Nedia S Ralston,,,,,1,51,41,39,30,9,7,2
Cindy Bass,,,,,,2,38,36,16,9,7,2
Ron Couser,,,,,,,0,44,17,8,6,2
Bill Durham,,,,,,,,0,14,5,6,2
Sherrie Cohen,,,,,,,,,0,7,2,2
M Karen Bojar,,,,,,,,,,0,2,2
Janet Thompson,,,,,,,,,,,0,2
Total,124,40,8,98,96,65,48,47,40,11,10,2
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,3
,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,Janet Thompson,M Karen Bojar,Art Haywood,Leanna Washington,Brian D Gralnick,3
Jalila D Parker,3,91,46,39,33,28,23,15,81,25,6,3
Nedia S Ralston,,0,38,33,25,21,17,16,74,21,5,3
Cindy Bass,,,0,24,27,23,19,11,30,15,3,3
Sherrie Cohen,,,,1,23,11,15,11,23,17,6,3
Ron Couser,,,,,0,20,14,9,18,12,3,3
Bill Durham,,,,,,0,14,5,16,12,1,3
Janet Thompson,,,,,,,0,8,11,12,2,3
M Karen Bojar,,,,,,,,0,9,6,2,3
Art Haywood,,,,,,,,,19,0,0,3
Leanna Washington,,,,,,,,,,13,0,3
Brian D Gralnick,,,,,,,,,,,1,3
Total,118,102,48,47,34,30,25,17,110,46,9,3
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,4
,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,M Karen Bojar,Janet Thompson,Art Haywood,Leanna Washington,Brian D Gralnick,4
Jalila D Parker,1,41,32,29,21,21,16,18,42,30,7,4
Nedia S Ralston,,0,27,24,19,21,16,15,33,16,4,4
Cindy Bass,,,2,26,25,22,20,17,28,17,3,4
Sherrie Cohen,,,,1,18,15,18,17,24,21,5,4
Ron Couser,,,,,0,20,13,15,19,10,3,4
Bill Durham,,,,,,0,8,15,21,8,1,4
M Karen Bojar,,,,,,,1,12,15,8,3,4
Janet Thompson,,,,,,,,0,10,13,3,4
Art Haywood,,,,,,,,,12,0,0,4
Leanna Washington,,,,,,,,,,8,0,4
Brian D Gralnick,,,,,,,,,,,2,4
Total,81,53,51,51,32,30,27,26,72,59,11,4
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,5
,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,Janet Thompson,M Karen Bojar,Leanna Washington,Art Haywood,Brian D Gralnick,5
Jalila D Parker,0,63,47,34,28,25,18,14,31,39,15,5
Nedia S Ralston,,0,42,31,28,24,15,16,28,35,10,5
Cindy Bass,,,0,20,24,23,17,16,17,30,6,5
Sherrie Cohen,,,,0,15,13,12,14,20,13,8,5
Ron Couser,,,,,0,24,8,11,10,17,4,5
Bill Durham,,,,,,0,11,7,12,17,2,5
Janet Thompson,,,,,,,0,12,11,8,3,5
M Karen Bojar,,,,,,,,0,8,8,4,5
Leanna Washington,,,,,,,,,13,0,0,5
Art Haywood,,,,,,,,,,12,0,5
Brian D Gralnick,,,,,,,,,,,1,5
Total,86,74,54,41,32,31,22,21,58,56,18,5
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,6
,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,M Karen Bojar,Janet Thompson,Art Haywood,Leanna Washington,Brian D Gralnick,6
Jalila D Parker,0,64,46,35,33,27,20,17,48,27,7,6
Nedia S Ralston,,0,46,36,33,25,17,17,44,28,8,6
Cindy Bass,,,1,25,31,23,19,17,30,22,4,6
Sherrie Cohen,,,,2,22,14,16,15,13,25,7,6
Ron Couser,,,,,0,24,14,11,22,15,4,6
Bill Durham,,,,,,1,7,11,16,13,3,6
M Karen Bojar,,,,,,,0,15,10,12,2,6
Janet Thompson,,,,,,,,0,9,13,2,6
Art Haywood,,,,,,,,,22,0,0,6
Leanna Washington,,,,,,,,,,11,0,6
Brian D Gralnick,,,,,,,,,,,1,6
Total,86,83,60,49,42,34,26,24,83,55,13,6
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,7
,Jalila D Parker,Nedia S Ralston,Cindy Bass,Sherrie Cohen,Ron Couser,Bill Durham,M Karen Bojar,Janet Thompson,Art Haywood,Leanna Washington,Brian D Gralnick,7
Jalila D Parker,1,47,35,29,27,18,14,9,35,27,14,7
