col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 2nd District - Democrat,,,All
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,Christine M Tartaglione,Tomas Sanchez,Danny Savage,All
Mike Stack,29,0,0,0,0,264,144,198,All
Mark Critz,,7,0,0,0,32,50,21,All
Mark Smith,,,2,0,0,26,17,14,All
Brandon P Neuman,,,,6,0,14,6,7,All
Brad Koplinski,,,,,3,15,9,3,All
Christine M Tartaglione,,,,,,131,0,0,All
Tomas Sanchez,,,,,,,133,0,All
Danny Savage,,,,,,,,36,All
Total,635,110,59,33,30,482,359,279,All
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 2nd District - Democrat,,,1
,Mike Stack,Mark Critz,Mark Smith,Brad Koplinski,Brandon P Neuman,Christine M Tartaglione,Tomas Sanchez,Danny Savage,1
Mike Stack,2,0,0,0,0,23,8,7,1
Mark Critz,,2,0,0,0,2,1,0,1
Mark Smith,,,0,0,0,1,1,1,1
Brad Koplinski,,,,0,0,0,2,0,1
Brandon P Neuman,,,,,0,0,1,0,1
Christine M Tartaglione,,,,,,6,0,0,1
Tomas Sanchez,,,,,,,11,0,1
Danny Savage,,,,,,,,1,1
Total,40,5,3,2,1,32,24,9,1
,Senator In The General Assembly 2nd District - Democrat,,,Lieutenant Governor - Democrat,,,,,2
,Tomas Sanchez,Christine M Tartaglione,Danny Savage,Mike Stack,Mark Critz,Mark Smith,Brad Koplinski,Brandon P Neuman,2
Tomas Sanchez,19,0,0,10,7,2,0,0,2
Christine M Tartaglione,,7,0,15,0,1,1,0,2
Danny Savage,,,1,8,0,0,0,0,2
Mike Stack,,,,1,0,0,0,0,2
Mark Critz,,,,,0,0,0,0,2
Mark Smith,,,,,,0,0,0,2
Brad Koplinski,,,,,,,0,0,2
Brandon P Neuman,,,,,,,,0,2
Total,38,24,9,34,7,3,1,0,2
,Senator In The General Assembly 2nd District - Democrat,,,Lieutenant Governor - Democrat,,,,,3
,Christine M Tartaglione,Tomas Sanchez,Danny Savage,Mike Stack,Brad Koplinski,Mark Smith,Mark Critz,Brandon P Neuman,3
Christine M Tartaglione,6,0,0,21,3,2,2,2,3
Tomas Sanchez,,5,0,7,0,1,0,0,3
Danny Savage,,,0,7,2,1,1,0,3
Mike Stack,,,,0,0,0,0,0,3
Brad Koplinski,,,,,0,0,0,0,3
Mark Smith,,,,,,0,0,0,3
Mark Critz,,,,,,,0,0,3
Brandon P Neuman,,,,,,,,0,3
Total,36,13,11,35,5,4,3,2,3
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 2nd District - Democrat,,,4
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,Christine M Tartaglione,Tomas Sanchez,Danny Savage,4
Mike Stack,3,0,0,0,0,18,12,6,4
Mark Critz,,0,0,0,0,1,2,0,4
Mark Smith,,,0,0,0,2,1,0,4
Brandon P Neuman,,,,0,0,0,0,1,4
Brad Koplinski,,,,,0,0,0,0,4
Christine M Tartaglione,,,,,,6,0,0,4
Tomas Sanchez,,,,,,,10,0,4
Danny Savage,,,,,,,,2,4
Total,39,3,3,1,0,27,25,9,4
,Lieutenant Governor - Democrat,,,,,Senator In The General Assembly 2nd District - Democrat,,,5
,Mike Stack,Mark Critz,Mark Smith,Brandon P Neuman,Brad Koplinski,Christine M Tartaglione,Tomas Sanchez,Danny Savage,5
Mike Stack,1,0,0,0,0,20,7,16,5
Mark Critz,,1,0,0,0,1,6,1,5
Mark Smith,,,0,0,0,3,0,0,5
