col_1,col_2,col_3,col_4,division
,Special Election Council At Large,,,1
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,1
Ed Neilson,15,0,0,1
Matt Wolfe,,2,0,1
Nikki Allen Poe,,,1,1
Total,15,2,1,1
,Special Election Council At Large,,,2
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,2
Ed Neilson,28,0,0,2
Matt Wolfe,,5,0,2
Nikki Allen Poe,,,0,2
Total,28,5,0,2
,Special Election Council At Large,,,3
,Ed Neilson,Nikki Allen Poe,Matt Wolfe,3
Ed Neilson,24,0,0,3
Nikki Allen Poe,,2,0,3
Matt Wolfe,,,1,3
Total,24,2,1,3
,Special Election Council At Large,,,4
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,4
Ed Neilson,42,0,0,4
Matt Wolfe,,3,0,4
Nikki Allen Poe,,,3,4
Total,42,3,3,4
,Special Election Council At Large,,,5
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,5
Ed Neilson,30,0,0,5
Matt Wolfe,,9,0,5
Nikki Allen Poe,,,1,5
Total,30,9,1,5
,Special Election Council At Large,,,6
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,6
Ed Neilson,31,0,0,6
Matt Wolfe,,7,0,6
Nikki Allen Poe,,,4,6
Total,31,7,4,6
,Special Election Council At Large,,,7
,Ed Neilson,Nikki Allen Poe,Matt Wolfe,7
Ed Neilson,36,0,0,7
Nikki Allen Poe,,3,0,7
Matt Wolfe,,,2,7
Total,36,3,2,7
,Special Election Council At Large,,,8
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,8
Ed Neilson,40,0,0,8
Matt Wolfe,,6,0,8
Nikki Allen Poe,,,1,8
Total,40,6,1,8
,Special Election Council At Large,,,9
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,9
Ed Neilson,83,0,0,9
Matt Wolfe,,32,0,9
Nikki Allen Poe,,,9,9
Total,83,32,9,9
,Special Election Council At Large,,,10
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,10
Ed Neilson,74,0,0,10
Matt Wolfe,,27,0,10
Nikki Allen Poe,,,3,10
Total,74,27,3,10
,Special Election Council At Large,,,11
,Ed Neilson,Nikki Allen Poe,Matt Wolfe,11
Ed Neilson,43,0,0,11
Nikki Allen Poe,,3,0,11
Matt Wolfe,,,2,11
Total,43,3,2,11
,Special Election Council At Large,,,12
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,12
Ed Neilson,23,0,0,12
Matt Wolfe,,2,0,12
Nikki Allen Poe,,,0,12
Total,23,2,0,12
,Special Election Council At Large,,,13
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,13
Ed Neilson,65,0,0,13
Matt Wolfe,,21,0,13
Nikki Allen Poe,,,6,13
Total,65,21,6,13
,Special Election Council At Large,,,14
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,14
Ed Neilson,39,0,0,14
Matt Wolfe,,15,0,14
Nikki Allen Poe,,,4,14
Total,39,15,4,14
,Special Election Council At Large,,,15
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,15
Ed Neilson,18,0,0,15
Matt Wolfe,,4,0,15
Nikki Allen Poe,,,0,15
Total,18,4,0,15
,Special Election Council At Large,,,16
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,16
Ed Neilson,50,0,0,16
Matt Wolfe,,2,0,16
Nikki Allen Poe,,,2,16
Total,50,2,2,16
,Special Election Council At Large,,,17
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,17
Ed Neilson,63,0,0,17
Matt Wolfe,,3,0,17
Nikki Allen Poe,,,0,17
Total,63,3,0,17
,Special Election Council At Large,,,18
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,18
Ed Neilson,40,0,0,18
Matt Wolfe,,1,0,18
Nikki Allen Poe,,,0,18
Total,40,1,0,18
,Special Election Council At Large,,,19
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,19
Ed Neilson,42,0,0,19
Matt Wolfe,,3,0,19
Nikki Allen Poe,,,0,19
Total,42,3,0,19
,Special Election Council At Large,,,20
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,20
Ed Neilson,48,0,0,20
Matt Wolfe,,6,0,20
Nikki Allen Poe,,,3,20
Total,48,6,3,20
,Special Election Council At Large,,,21
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,21
Ed Neilson,35,0,0,21
Matt Wolfe,,6,0,21
Nikki Allen Poe,,,1,21
Total,35,6,1,21
,Special Election Council At Large,,,22
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,22
Ed Neilson,31,0,0,22
Matt Wolfe,,2,0,22
Nikki Allen Poe,,,1,22
Total,31,2,1,22
,Special Election Council At Large,,,23
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,23
Ed Neilson,31,0,0,23
Matt Wolfe,,3,0,23
Nikki Allen Poe,,,1,23
Total,31,3,1,23
,Special Election Council At Large,,,All
,Ed Neilson,Matt Wolfe,Nikki Allen Poe,All
Ed Neilson,931,0,0,All
Matt Wolfe,,164,0,All
Nikki Allen Poe,,,48,All
Total,931,164,48,All
