col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,1
,Mike Stack,Mark Smith,Brandon P Neuman,Brad Koplinski,Mark Critz,Cindy Bass,Jalila D Parker,M Karen Bojar,Nedia S Ralston,Ron Couser,Bill Durham,Sherrie Cohen,Janet Thompson,1
Mike Stack,17,0,0,0,0,134,122,99,93,87,84,53,41,1
Mark Smith,,0,0,0,0,9,5,9,2,4,6,8,3,1
Brandon P Neuman,,,0,0,0,6,3,5,2,3,2,4,3,1
Brad Koplinski,,,,0,0,3,2,3,0,2,1,1,2,1
Mark Critz,,,,,0,1,2,1,1,0,0,1,0,1
Cindy Bass,,,,,,4,113,106,87,91,86,53,44,1
Jalila D Parker,,,,,,,2,93,91,86,78,46,41,1
M Karen Bojar,,,,,,,,1,82,76,75,44,28,1
Nedia S Ralston,,,,,,,,,2,69,68,34,24,1
Ron Couser,,,,,,,,,,0,70,34,26,1
Bill Durham,,,,,,,,,,,0,24,32,1
Sherrie Cohen,,,,,,,,,,,,1,25,1
Janet Thompson,,,,,,,,,,,,,0,1
Total,183,15,7,4,2,160,138,122,101,97,93,70,49,1
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,2
,Mike Stack,Mark Smith,Brad Koplinski,Mark Critz,Brandon P Neuman,M Karen Bojar,Cindy Bass,Jalila D Parker,Nedia S Ralston,Bill Durham,Ron Couser,Sherrie Cohen,Janet Thompson,2
Mike Stack,17,0,0,0,0,182,149,110,90,87,83,71,44,2
Mark Smith,,1,0,0,0,5,3,3,5,4,2,5,2,2
Brad Koplinski,,,0,0,0,6,1,1,3,2,2,2,1,2
Mark Critz,,,,0,0,3,2,3,2,1,2,3,1,2
Brandon P Neuman,,,,,0,3,3,2,2,1,1,2,1,2
M Karen Bojar,,,,,,12,136,100,91,81,77,62,42,2
Cindy Bass,,,,,,,2,102,86,79,76,62,46,2
Jalila D Parker,,,,,,,,0,87,68,71,50,35,2
Nedia S Ralston,,,,,,,,,0,64,67,45,27,2
Bill Durham,,,,,,,,,,0,69,34,23,2
Ron Couser,,,,,,,,,,,0,37,16,2
Sherrie Cohen,,,,,,,,,,,,0,38,2
Janet Thompson,,,,,,,,,,,,,0,2
Total,236,12,7,6,4,217,167,124,106,95,90,88,53,2
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,3
,Mike Stack,Brandon P Neuman,Brad Koplinski,Mark Smith,Mark Critz,Cindy Bass,M Karen Bojar,Sherrie Cohen,Jalila D Parker,Ron Couser,Nedia S Ralston,Bill Durham,Janet Thompson,3
Mike Stack,11,0,0,0,0,197,156,107,109,82,86,81,33,3
Brandon P Neuman,,0,0,0,0,8,8,5,6,4,3,4,3,3
Brad Koplinski,,,0,0,0,7,5,6,5,2,1,2,1,3
Mark Smith,,,,1,0,5,3,2,1,4,1,3,1,3
Mark Critz,,,,,0,1,0,0,0,0,0,0,0,3
Cindy Bass,,,,,,4,159,106,100,85,84,84,33,3
M Karen Bojar,,,,,,,1,86,78,74,75,71,23,3
Sherrie Cohen,,,,,,,,3,47,35,33,34,27,3
Jalila D Parker,,,,,,,,,1,74,80,72,26,3
Ron Couser,,,,,,,,,,0,62,71,19,3
Nedia S Ralston,,,,,,,,,,,0,62,18,3
Bill Durham,,,,,,,,,,,,0,23,3
Janet Thompson,,,,,,,,,,,,,0,3
Total,238,15,11,7,1,225,175,126,124,92,91,90,38,3
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,4
