col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Member Of - Democratic State Committee 4th Senatorial District,,,,,,,,Senator In The General Assembly 4th District - Democrat,,,All
,Jalila D Parker,Cindy Bass,Sherrie Cohen,Nedia S Ralston,Ron Couser,Bill Durham,Janet Thompson,M Karen Bojar,Leanna Washington,Art Haywood,Brian D Gralnick,All
Jalila D Parker,170,"8,542","6,069","7,512","5,614","5,023","4,118","3,550","5,986","4,906","2,347",All
Cindy Bass,,392,"5,968","6,274","6,207","5,555","4,634","4,196","5,493","5,208","2,269",All
Sherrie Cohen,,,145,"4,256","3,766","3,251","3,431","3,246","3,943","3,582","1,850",All
Nedia S Ralston,,,,56,"4,459","3,910","2,678","2,956","3,887","3,536","1,618",All
Ron Couser,,,,,21,"4,905","2,960","2,947","2,795","2,899","1,352",All
Bill Durham,,,,,,26,"3,102","2,316","2,546","2,725","1,204",All
Janet Thompson,,,,,,,40,"2,235","2,297","2,309",945,All
M Karen Bojar,,,,,,,,31,"1,584","2,018","1,529",All
Leanna Washington,,,,,,,,,"1,226",0,0,All
Art Haywood,,,,,,,,,,"1,576",0,All
Brian D Gralnick,,,,,,,,,,,544,All
Total,"13,746","13,745","9,723","9,340","7,277","6,651","5,696","5,298","10,269","9,797","4,568",All
