col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,All
,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,All
Mike Stack,30,0,0,0,0,671,386,150,27,All
Mark Smith,,3,0,0,0,44,10,24,1,All
Brandon P Neuman,,,0,0,0,8,28,2,20,All
Mark Critz,,,,0,0,29,8,21,0,All
Brad Koplinski,,,,,2,7,14,2,7,All
Tom Wolf,,,,,,245,0,0,0,All
Allyson Y Schwartz,,,,,,,104,0,0,All
Robert M Mccord,,,,,,,,38,0,All
Katie Mcginty,,,,,,,,,14,All
Total,"1,264",82,58,58,32,"1,004",550,237,69,All
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,1
,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,1
Mike Stack,2,0,0,0,0,20,9,2,0,1
Mark Smith,,0,0,0,0,0,2,1,0,1
Brandon P Neuman,,,0,0,0,0,0,0,2,1
Mark Critz,,,,0,0,0,0,2,0,1
Brad Koplinski,,,,,0,0,0,0,0,1
Tom Wolf,,,,,,5,0,0,0,1
Allyson Y Schwartz,,,,,,,1,0,0,1
Robert M Mccord,,,,,,,,0,0,1
Katie Mcginty,,,,,,,,,0,1
Total,33,3,2,2,0,25,12,5,2,1
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,2
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,Allyson Y Schwartz,Tom Wolf,Katie Mcginty,Robert M Mccord,2
Mike Stack,2,0,0,0,0,15,10,3,2,2
Mark Smith,,0,0,0,0,0,2,0,1,2
Mark Critz,,,0,0,0,1,1,0,0,2
Brad Koplinski,,,,0,0,0,0,1,0,2
Brandon P Neuman,,,,,0,0,0,1,0,2
Allyson Y Schwartz,,,,,,6,0,0,0,2
Tom Wolf,,,,,,,8,0,0,2
Katie Mcginty,,,,,,,,2,0,2
Robert M Mccord,,,,,,,,,1,2
Total,32,3,2,1,1,22,21,7,4,2
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,3
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,3
Mike Stack,3,0,0,0,0,24,12,9,1,3
Mark Smith,,0,0,0,0,0,1,1,0,3
Mark Critz,,,0,0,0,0,0,1,0,3
Brad Koplinski,,,,0,0,0,0,0,0,3
Brandon P Neuman,,,,,0,0,0,0,0,3
Tom Wolf,,,,,,11,0,0,0,3
Allyson Y Schwartz,,,,,,,1,0,0,3
Robert M Mccord,,,,,,,,1,0,3
Katie Mcginty,,,,,,,,,0,3
Total,49,2,1,0,0,35,14,12,1,3
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,4
,Mike Stack,Brandon P Neuman,Mark Smith,Brad Koplinski,Mark Critz,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,4
Mike Stack,1,0,0,0,0,20,18,9,1,4
Brandon P Neuman,,0,0,0,0,0,3,0,0,4
Mark Smith,,,0,0,0,2,0,1,0,4
Brad Koplinski,,,,0,0,1,1,0,0,4
Mark Critz,,,,,0,0,0,1,0,4
Tom Wolf,,,,,,4,0,0,0,4
Allyson Y Schwartz,,,,,,,3,0,0,4
Robert M Mccord,,,,,,,,1,0,4
Katie Mcginty,,,,,,,,,0,4
Total,49,3,3,2,1,27,25,12,1,4
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,5
,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Critz,Mark Smith,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,5
Mike Stack,0,0,0,0,0,6,6,1,1,5
Brad Koplinski,,0,0,0,0,1,0,0,0,5
Brandon P Neuman,,,0,0,0,1,0,0,0,5
Mark Critz,,,,0,0,0,0,0,0,5
Mark Smith,,,,,0,0,0,0,0,5
Allyson Y Schwartz,,,,,,1,0,0,0,5
Tom Wolf,,,,,,,3,0,0,5
Robert M Mccord,,,,,,,,1,0,5
Katie Mcginty,,,,,,,,,0,5
Total,14,1,1,0,0,9,9,2,1,5
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,6
,Mike Stack,Brad Koplinski,Brandon P Neuman,Mark Smith,Mark Critz,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,6
Mike Stack,1,0,0,0,0,18,5,5,1,6
Brad Koplinski,,0,0,0,0,1,1,0,1,6
Brandon P Neuman,,,0,0,0,1,2,0,0,6
Mark Smith,,,,0,0,1,0,2,0,6
Mark Critz,,,,,0,1,1,0,0,6
Tom Wolf,,,,,,5,0,0,0,6
Allyson Y Schwartz,,,,,,,1,0,0,6
Robert M Mccord,,,,,,,,2,0,6
Katie Mcginty,,,,,,,,,0,6
Total,30,3,3,3,2,27,10,9,2,6
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,7
,Mike Stack,Mark Critz,Brad Koplinski,Brandon P Neuman,Mark Smith,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,7
Mike Stack,0,0,0,0,0,20,6,1,1,7
Mark Critz,,0,0,0,0,1,1,1,0,7
Brad Koplinski,,,0,0,0,0,0,0,0,7
Brandon P Neuman,,,,0,0,0,0,0,0,7
Mark Smith,,,,,0,0,0,0,0,7
Tom Wolf,,,,,,1,0,0,0,7
Allyson Y Schwartz,,,,,,,3,0,0,7
Robert M Mccord,,,,,,,,1,0,7
Katie Mcginty,,,,,,,,,1,7
Total,28,3,0,0,0,22,10,3,2,7
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,8
,Mike Stack,Mark Critz,Brad Koplinski,Brandon P Neuman,Mark Smith,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,8
Mike Stack,0,0,0,0,0,6,8,3,0,8
Mark Critz,,0,0,0,0,1,0,2,0,8
Brad Koplinski,,,0,0,0,0,0,0,0,8
Brandon P Neuman,,,,0,0,0,0,0,0,8
Mark Smith,,,,,0,0,0,0,0,8
Tom Wolf,,,,,,9,0,0,0,8
Allyson Y Schwartz,,,,,,,1,0,0,8
Robert M Mccord,,,,,,,,0,0,8
Katie Mcginty,,,,,,,,,0,8
Total,17,3,0,0,0,16,9,5,0,8
,Governor - Democrat,,,,Lieutenant Governor - Democrat,,,,,9
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,9
Tom Wolf,7,0,0,0,28,4,0,0,0,9
Allyson Y Schwartz,,1,0,0,6,0,1,0,0,9
Robert M Mccord,,,0,0,3,0,0,1,0,9
Katie Mcginty,,,,1,0,0,1,0,0,9
Mike Stack,,,,,0,0,0,0,0,9
Mark Smith,,,,,,0,0,0,0,9
Brandon P Neuman,,,,,,,0,0,0,9
Mark Critz,,,,,,,,0,0,9
Brad Koplinski,,,,,,,,,0,9
Total,39,8,4,2,37,4,2,1,0,9
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,10
,Mike Stack,Brandon P Neuman,Mark Smith,Brad Koplinski,Mark Critz,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,10
Mike Stack,4,0,0,0,0,40,29,8,0,10
Brandon P Neuman,,0,0,0,0,1,2,1,1,10
Mark Smith,,,0,0,0,2,1,0,1,10
Brad Koplinski,,,,0,0,0,1,0,0,10
Mark Critz,,,,,0,1,0,0,0,10
Tom Wolf,,,,,,13,0,0,0,10
Allyson Y Schwartz,,,,,,,9,0,0,10
Robert M Mccord,,,,,,,,2,0,10
Katie Mcginty,,,,,,,,,0,10
Total,81,5,4,1,1,57,42,11,2,10
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,11
,Mike Stack,Mark Smith,Brad Koplinski,Brandon P Neuman,Mark Critz,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,11
Mike Stack,0,0,0,0,0,30,8,6,3,11
Mark Smith,,0,0,0,0,2,0,4,0,11
Brad Koplinski,,,0,0,0,0,0,0,0,11
Brandon P Neuman,,,,0,0,0,0,0,0,11
Mark Critz,,,,,0,0,0,0,0,11
Tom Wolf,,,,,,14,0,0,0,11
Allyson Y Schwartz,,,,,,,4,0,0,11
Robert M Mccord,,,,,,,,1,0,11
Katie Mcginty,,,,,,,,,0,11
Total,47,6,0,0,0,46,12,11,3,11
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,12
,Mike Stack,Brad Koplinski,Mark Critz,Mark Smith,Brandon P Neuman,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,12
Mike Stack,1,0,0,0,0,23,9,5,0,12
Brad Koplinski,,0,0,0,0,0,2,1,0,12
Mark Critz,,,0,0,0,2,0,0,0,12
Mark Smith,,,,0,0,1,0,1,0,12
Brandon P Neuman,,,,,0,0,1,0,0,12
Tom Wolf,,,,,,10,0,0,0,12
Allyson Y Schwartz,,,,,,,1,0,0,12
Robert M Mccord,,,,,,,,4,0,12
Katie Mcginty,,,,,,,,,0,12
Total,38,3,2,2,1,36,13,11,0,12
,Governor - Democrat,,,,Lieutenant Governor - Democrat,,,,,13
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Mike Stack,Brandon P Neuman,Mark Critz,Brad Koplinski,Mark Smith,13
Tom Wolf,15,0,0,0,11,0,3,1,0,13
Allyson Y Schwartz,,2,0,0,3,1,0,1,1,13
Robert M Mccord,,,0,0,5,1,0,0,0,13
Katie Mcginty,,,,0,1,1,0,0,0,13
Mike Stack,,,,,0,0,0,0,0,13
Brandon P Neuman,,,,,,0,0,0,0,13
Mark Critz,,,,,,,0,0,0,13
Brad Koplinski,,,,,,,,0,0,13
Mark Smith,,,,,,,,,0,13
Total,30,8,6,2,20,3,3,2,1,13
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,14
,Mike Stack,Brad Koplinski,Mark Critz,Mark Smith,Brandon P Neuman,Tom Wolf,Robert M Mccord,Katie Mcginty,Allyson Y Schwartz,14
Mike Stack,0,0,0,0,0,13,7,1,2,14
Brad Koplinski,,0,0,0,0,0,0,1,0,14
Mark Critz,,,0,0,0,0,1,0,0,14
Mark Smith,,,,0,0,1,0,0,0,14
Brandon P Neuman,,,,,0,0,0,0,0,14
Tom Wolf,,,,,,9,0,0,0,14
Robert M Mccord,,,,,,,1,0,0,14
Katie Mcginty,,,,,,,,1,0,14
Allyson Y Schwartz,,,,,,,,,0,14
Total,23,1,1,1,0,23,9,3,2,14
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,15
,Mike Stack,Brandon P Neuman,Mark Critz,Mark Smith,Brad Koplinski,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,15
Mike Stack,1,0,0,0,0,27,21,3,0,15
Brandon P Neuman,,0,0,0,0,1,1,0,0,15
Mark Critz,,,0,0,0,2,0,0,0,15
Mark Smith,,,,0,0,2,0,0,0,15
Brad Koplinski,,,,,0,0,0,0,1,15
Tom Wolf,,,,,,13,0,0,0,15
Allyson Y Schwartz,,,,,,,1,0,0,15
Robert M Mccord,,,,,,,,1,0,15
Katie Mcginty,,,,,,,,,0,15
Total,52,2,2,2,1,45,23,4,1,15
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,16
,Mike Stack,Mark Smith,Brandon P Neuman,Mark Critz,Brad Koplinski,Allyson Y Schwartz,Tom Wolf,Robert M Mccord,Katie Mcginty,16
Mike Stack,1,0,0,0,0,37,27,4,2,16
Mark Smith,,0,0,0,0,2,0,0,0,16
Brandon P Neuman,,,0,0,0,0,0,0,1,16
Mark Critz,,,,0,0,0,0,1,0,16
Brad Koplinski,,,,,0,0,0,0,0,16
Allyson Y Schwartz,,,,,,4,0,0,0,16
Tom Wolf,,,,,,,2,0,0,16
Robert M Mccord,,,,,,,,1,0,16
Katie Mcginty,,,,,,,,,1,16
Total,71,2,1,1,0,43,29,6,4,16
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,17
,Mike Stack,Mark Smith,Mark Critz,Brad Koplinski,Brandon P Neuman,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,17
Mike Stack,0,0,0,0,0,23,11,6,0,17
Mark Smith,,0,0,0,0,2,2,2,0,17
Mark Critz,,,0,0,0,4,1,0,0,17
Brad Koplinski,,,,2,0,1,0,0,0,17
Brandon P Neuman,,,,,0,1,0,0,1,17
Tom Wolf,,,,,,3,0,0,0,17
Allyson Y Schwartz,,,,,,,5,0,0,17
Robert M Mccord,,,,,,,,0,0,17
Katie Mcginty,,,,,,,,,0,17
Total,40,6,5,3,2,34,19,8,1,17
,Lieutenant Governor - Democrat,,,,,Governor - Democrat,,,,18
,Mike Stack,Mark Critz,Mark Smith,Brad Koplinski,Brandon P Neuman,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,18
Mike Stack,2,0,0,0,0,27,11,9,0,18
Mark Critz,,0,0,0,0,3,0,1,0,18
Mark Smith,,,0,0,0,0,3,0,0,18
