col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 195th District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Michelle F Brownlee,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Ruth I Birchett,Karen Voss,Humberto Perez,Louis Agre,Dawn Thomas,All
Michelle F Brownlee,259,711,422,414,384,364,340,240,211,193,177,14,All
Latrice Y Bryant,,9,357,350,335,283,286,154,170,152,141,3,All
Gwen Collins,,,12,343,328,173,166,150,193,163,152,4,All
Barbara Carroll,,,,5,349,159,152,148,159,143,125,4,All
Elaine Tomlin,,,,,3,162,147,142,153,139,129,3,All
David Rodriguez,,,,,,4,261,118,155,154,137,7,All
Edward M Lloyd Jr,,,,,,,6,107,152,140,134,5,All
Ruth I Birchett,,,,,,,,14,124,105,91,3,All
Karen Voss,,,,,,,,,7,162,152,2,All
Humberto Perez,,,,,,,,,,1,146,2,All
Louis Agre,,,,,,,,,,,0,2,All
Dawn Thomas,,,,,,,,,,,,1,All
Total,"1,289",752,473,449,414,382,363,268,240,218,199,17,All
,Representative In The General Assembly 195th District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,1
,Michelle F Brownlee,Latrice Y Bryant,Barbara Carroll,Elaine Tomlin,Gwen Collins,Edward M Lloyd Jr,David Rodriguez,Louis Agre,Ruth I Birchett,Humberto Perez,Karen Voss,Dawn Thomas,1
Michelle F Brownlee,10,20,14,13,13,11,9,7,8,5,5,0,1
Latrice Y Bryant,,1,12,11,12,8,6,6,5,4,4,0,1
Barbara Carroll,,,0,15,13,7,8,6,7,5,5,0,1
Elaine Tomlin,,,,0,12,7,7,6,7,5,5,0,1
Gwen Collins,,,,,0,8,7,8,6,6,6,0,1
Edward M Lloyd Jr,,,,,,0,7,7,6,5,5,0,1
David Rodriguez,,,,,,,0,5,5,4,4,0,1
Louis Agre,,,,,,,,0,5,5,5,0,1
Ruth I Birchett,,,,,,,,,0,4,4,0,1
Humberto Perez,,,,,,,,,,0,5,0,1
Karen Voss,,,,,,,,,,,0,0,1
Dawn Thomas,,,,,,,,,,,,0,1
Total,38,23,17,15,15,11,10,8,8,6,6,0,1
,Representative In The General Assembly 195th District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,2
,Michelle F Brownlee,Latrice Y Bryant,Barbara Carroll,Gwen Collins,Elaine Tomlin,Ruth I Birchett,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Karen Voss,Louis Agre,Dawn Thomas,2
Michelle F Brownlee,5,27,21,19,17,13,11,10,10,8,6,0,2
Latrice Y Bryant,,0,16,18,15,8,7,8,6,7,6,0,2
Barbara Carroll,,,0,15,16,9,7,6,8,7,4,0,2
Gwen Collins,,,,0,15,5,7,6,3,7,5,0,2
Elaine Tomlin,,,,,0,5,7,6,4,7,5,0,2
Ruth I Birchett,,,,,,0,5,3,6,4,3,0,2
David Rodriguez,,,,,,,0,6,4,7,5,0,2
Edward M Lloyd Jr,,,,,,,,0,5,5,4,0,2
Humberto Perez,,,,,,,,,0,4,3,0,2
Karen Voss,,,,,,,,,,0,5,0,2
Louis Agre,,,,,,,,,,,0,0,2
Dawn Thomas,,,,,,,,,,,,0,2
Total,46,28,23,21,19,13,11,10,10,8,6,0,2
,Representative In The General Assembly 195th District - Democrat,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,3
,Michelle F Brownlee,Latrice Y Bryant,David Rodriguez,Edward M Lloyd Jr,Gwen Collins,Elaine Tomlin,Barbara Carroll,Ruth I Birchett,Humberto Perez,Karen Voss,Louis Agre,Dawn Thomas,3
Michelle F Brownlee,9,27,26,19,17,15,14,11,10,10,6,1,3
Latrice Y Bryant,,0,16,16,15,13,12,6,10,9,5,0,3
David Rodriguez,,,0,15,11,9,9,9,10,10,5,1,3
Edward M Lloyd Jr,,,,1,9,7,8,7,8,9,4,0,3
Gwen Collins,,,,,1,15,14,8,10,10,5,1,3
Elaine Tomlin,,,,,,0,13,7,8,8,5,1,3
Barbara Carroll,,,,,,,0,7,8,9,5,1,3
Ruth I Birchett,,,,,,,,0,6,7,2,0,3
Humberto Perez,,,,,,,,,0,9,4,0,3
Karen Voss,,,,,,,,,,0,5,0,3
Louis Agre,,,,,,,,,,,0,0,3
Dawn Thomas,,,,,,,,,,,,0,3
Total,52,28,27,21,20,16,15,12,10,10,6,2,3
