col_1,col_2,division
,Senator In The General Assembly 4th District - Republican,All
,Robin Gilchrist,All
Robin Gilchrist,38,All
Total,38,All
,Senator In The General Assembly 4th District - Republican,2
,Robin Gilchrist,2
Robin Gilchrist,1,2
Total,1,2
,Senator In The General Assembly 4th District - Republican,3
,Robin Gilchrist,3
Robin Gilchrist,2,3
Total,2,3
,Senator In The General Assembly 4th District - Republican,4
,Robin Gilchrist,4
Robin Gilchrist,2,4
Total,2,4
,Senator In The General Assembly 4th District - Republican,5
,Robin Gilchrist,5
Robin Gilchrist,2,5
Total,2,5
,Senator In The General Assembly 4th District - Republican,10
,Robin Gilchrist,10
Robin Gilchrist,3,10
Total,3,10
,Senator In The General Assembly 4th District - Republican,15
,Robin Gilchrist,15
Robin Gilchrist,6,15
Total,6,15
,Senator In The General Assembly 4th District - Republican,16
,Robin Gilchrist,16
Robin Gilchrist,2,16
Total,2,16
,Senator In The General Assembly 4th District - Republican,17
,Robin Gilchrist,17
Robin Gilchrist,4,17
Total,4,17
,Senator In The General Assembly 4th District - Republican,18
,Robin Gilchrist,18
Robin Gilchrist,2,18
Total,2,18
,Senator In The General Assembly 4th District - Republican,20
,Robin Gilchrist,20
Robin Gilchrist,1,20
Total,1,20
,Senator In The General Assembly 4th District - Republican,22
,Robin Gilchrist,22
Robin Gilchrist,3,22
Total,3,22
,Senator In The General Assembly 4th District - Republican,23
,Robin Gilchrist,23
Robin Gilchrist,4,23
Total,4,23
,Senator In The General Assembly 4th District - Republican,25
,Robin Gilchrist,25
Robin Gilchrist,6,25
Total,6,25
