col_1,col_2,col_3,col_4,col_5,division
,Representative In Congress 1st District - Republican,Member Of - Republican State Committee 2nd Congressional District,,,1
,Megan Rath,Calvin R Tucker,Denise Furey,Walt Vogler,1
Megan Rath,1,0,0,0,1
Calvin R Tucker,,0,0,0,1
Denise Furey,,,0,0,1
Walt Vogler,,,,0,1
Total,1,0,0,0,1
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,2
,Calvin R Tucker,Denise Furey,Walt Vogler,Megan Rath,2
Calvin R Tucker,0,1,1,0,2
Denise Furey,,0,1,0,2
Walt Vogler,,,0,0,2
Megan Rath,,,,0,2
Total,1,1,1,0,2
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,3
,Calvin R Tucker,Denise Furey,Walt Vogler,Megan Rath,3
Calvin R Tucker,0,2,2,0,3
Denise Furey,,0,2,0,3
Walt Vogler,,,0,0,3
Megan Rath,,,,0,3
Total,2,2,2,0,3
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,4
,Calvin R Tucker,Denise Furey,Walt Vogler,Megan Rath,4
Calvin R Tucker,0,1,1,0,4
Denise Furey,,0,1,0,4
Walt Vogler,,,0,0,4
Megan Rath,,,,0,4
Total,1,1,1,0,4
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,7
,Denise Furey,Calvin R Tucker,Walt Vogler,Megan Rath,7
Denise Furey,1,0,0,0,7
Calvin R Tucker,,0,0,0,7
Walt Vogler,,,0,0,7
Megan Rath,,,,0,7
Total,1,0,0,0,7
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,8
,Walt Vogler,Calvin R Tucker,Denise Furey,Megan Rath,8
Walt Vogler,1,1,1,0,8
Calvin R Tucker,,0,1,0,8
Denise Furey,,,0,0,8
Megan Rath,,,,0,8
Total,2,1,1,0,8
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,9
,Calvin R Tucker,Denise Furey,Walt Vogler,Megan Rath,9
Calvin R Tucker,0,1,1,0,9
Denise Furey,,0,1,0,9
Walt Vogler,,,0,0,9
Megan Rath,,,,0,9
Total,1,1,1,0,9
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,11
,Denise Furey,Calvin R Tucker,Walt Vogler,Megan Rath,11
Denise Furey,1,1,1,0,11
Calvin R Tucker,,0,1,0,11
Walt Vogler,,,0,0,11
Megan Rath,,,,0,11
Total,2,1,1,0,11
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,14
,Calvin R Tucker,Denise Furey,Walt Vogler,Megan Rath,14
Calvin R Tucker,0,1,1,0,14
Denise Furey,,0,1,0,14
Walt Vogler,,,0,0,14
Megan Rath,,,,0,14
Total,1,1,1,0,14
,Member Of - Republican State Committee 2nd Congressional District,,,Representative In Congress 1st District - Republican,All
,Denise Furey,Walt Vogler,Calvin R Tucker,Megan Rath,All
Denise Furey,2,8,8,0,All
Walt Vogler,,1,8,0,All
Calvin R Tucker,,,0,0,All
Megan Rath,,,,1,All
Total,10,9,8,1,All
